SMILES,Cluster,UMAP_1,UMAP_2,Shown_in_y_positive_region
FC(C1(C(F)(F)F)OB(OC1(C(F)(F)F)C(F)(F)F)c2ccccc2)(F)F.[F],2,0.8949963,16.517836,True
B1(OC2=C(O1)C(=C(C(=C2F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F ,2,-3.4841714,7.926995,True
c1(B2Oc3c(O2)cccc3)ccccc1.[F].[F],2,-3.5609827,9.373107,True
B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,2,-3.4938617,7.727379,True
[Li+].B([O-])([O-])[O-],3,-3.61785,3.3218071,True
[Li+].B([O-])([O-])[O-],3,-3.6203334,3.3344343,True
CC1(OB(OC1(C)C)C1=CC=NC=C1)C,2,0.9572071,16.828892,True
FC(c1c(B2Oc3c(O2)cccc3)cc(C(F)(F)F)cc1)(F)F.[F],2,-3.304968,9.297529,True
[Li+].[B-]1(OC(=O)C(=O)O1)(F)F,2,-4.221935,9.212432,True
CC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(C)=C3O2)=O)C)=O)=CC=C1.[Li+],2,-4.1421885,9.240386,True
B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,1,-2.5392,6.1235533,True
B(OCCC)(OCCC)OCCC ,1,-2.7368596,5.706388,True
C[Si](C=1C=C(C=CC1)B(O)O)(C)C,2,0.89879584,11.950893,True
CC1(C(C)(OB(OCCCOB(OC2(C)C)OC(C)(C2(C)C)C)OC1(C)C)C)C,6,-1.1514487,5.628785,True
O=C1C(O[Li+]O2)=C2C3=C1O[B-]4(OC(C(C(C5=O)=O)=O)=C5O4)O3,2,-4.2174697,9.217181,True
FC(C(C(F)(F)F)O[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)(F)F.[Na+],1,-2.4725356,6.105781,True
[Na+].O=C1O[B-](F)(F)OC1=O,2,-4.2064285,9.246276,True
[Li+].[B-]12(OC3=CC=CC=C3O1)OC4=CC=CC=C4O2,2,-4.1064134,9.254666,True
C1(=C(C(=CC(=C1)C)C)B(OC)OC)C,1,-3.631068,10.271377,True
O=C(C(C)=C)OCCO[B](OCCOCC=C)OCCOCC=C,1,-2.569087,5.463167,True
[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,2,-4.2184963,9.227017,True
F[B-](F)(F)[N+]1=CC=CC(F)=C1,5,-1.3355122,8.072355,True
FC1=C(C(=C(C(=C1B(C1=C(C(=C(C(=C1F)F)F)F)F)C1=C(C(=C(C(=C1F)F)F)F)F)F)F)F)F,2,-3.5208716,7.713979,True
[Li+].[B-]12(OC3=CC=CC=C3O1)OC4=CC=CC=C4O2,2,-4.1076956,9.258511,True
B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,2,-3.5010562,7.7300563,True
F[B-]([N+]1=CC(C)=C(C)C=C1)(F)F,5,-1.4071622,8.036811,True
B1(OB(OB(O1)C)C)C,6,-1.5966395,5.4331417,True
C=C(C(OCCOB(OCCOC(C(C)=C)=O)OCCOC(C(C)=C)=O)=O)C,1,-2.5599837,5.383817,True
Fc1cc(B2OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2)cc(F)c1,2,0.86255544,16.706877,True
FC(c1c(B2Oc3c(O2)cccc3)cccc1)(F)F.[F],2,-3.502394,9.331325,True
C(#N)C1=C(C=CC=C1)B1OCC(CO1)(C)C,2,1.349932,16.84457,True
C1([B-](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1.[Li+],2,-1.894108,8.311363,True
O=C(O[B-]12OC3=C(C)C=CC=C3C(O2)=O)C4=C(O1)C(C)=CC=C4.[Li+],2,-4.195242,9.247122,True
B(F)(F)F.N1=CC=CC=C1,2,-1.7745798,8.506022,True
[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+]  ,2,-3.2755044,9.127489,True
Fc1ccc(B2Oc3c(O2)cccc3)cc1.[F],2,-3.5268805,9.365902,True
O=C1C2=CC=CC=C2O[B-](OC3=C4C=CC=C3)(OC4=O)O1.[Li+],2,-4.181847,9.245249,True
[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,1,-2.5194733,6.1549034,True
F[B-](F)(F)[N+]1=C[N+]([B-](F)(F)F)=C[N+]([B-](F)(F)F)=C1,5,-1.5101612,5.8173575,True
CC1(COB(OC1)C1=C(C=CC=C1)F)C,2,1.250013,16.820951,True
B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F ,1,-2.5508583,5.910096,True
O=C(O[B-]12OC3=C(Cl)C=C(Cl)C(Cl)=C3C(O2)=O)C4=C(O1)C(Cl)=CC(Cl)=C4Cl.[Li+],2,-4.195788,9.235137,True
B1(OC(C(O1)(C)C)(C)C)B2OC(C(O2)(C)C)(C)C,2,-0.9227217,5.638528,True
B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+],3,-3.6069949,3.3041348,True
B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,2,-2.718163,8.69601,True
CC1(COB(OC1)C1=C(C=O)C=CC=C1)C,2,1.3228225,16.724293,True
FC(C(F)(F)OC(F)(F)F)(F)OB(OC(F)(F)C(F)(F)OC(F)(F)F)OC(F)(F)C(F)(F)OC(F)(F)F,1,-2.4609585,5.8211284,True
C1(=CC=CC=C1)OB(O)O,2,-2.5796316,9.520509,True
O=C(CC(O1)=O)O[B-]1(OC(C2)=O)OC2=O.[Li+],2,-4.2359476,9.220049,True
C=CCC(C1=O)C(O[B-]2(OC(C(C(O2)=O)CC=C)=O)O1)=O.[Li+],2,-4.2193,9.232157,True
C=CC1=CC=NC=C1.FB(F)F,2,-1.6701802,8.541726,True
CC1(COB(OC1)C1=C(C(=O)OCC)C=CC=C1)C,2,1.3026793,16.669373,True
O=C1C(O[Li+]O2)=C2C3=C1O[B-](OC4=O)(OC4=O)O3,2,-4.2286634,9.220995,True
CC(=CB(O)O)C,3,-2.08116,4.7740135,True
O=C1C2=CC=CC=C2O[B-]3(OC(C4=CC=CC=C4O3)=O)O1.[Li+],2,-4.1792326,9.247769,True
B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,1,-2.5440457,5.8869658,True
FC1=C(F)C(F)=C2C(O[B-](OC3=O)(OC3=O)O2)=C1F.[Li+],2,-4.2259483,9.22447,True
[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,2,-4.220245,9.261752,True
N#CC1=CC=CN=C1.FB(F)F,2,-1.6214942,8.591708,True
[Li+].[B-]1(OC(=O)C(=O)O1)(F)F,2,-4.2475357,9.188033,True
Fc1cc(F)c(B2Oc3c(O2)cccc3)cc1.[F],2,-3.4366221,9.363355,True
B(OCCCC)(OCCCC)OCCCC,1,-2.7495036,5.761903,True
ClC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(Cl)=C3O2)=O)C)=O)=CC=C1.[Li+],2,-4.1778793,9.230662,True
C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,2,0.9251248,16.537292,True
CCOB1OB(OCC)OB(OCC)O1,6,-1.9379842,5.4813986,True
FC(C1(C(F)(F)F)OB(OC1(C(F)(F)F)C(F)(F)F)c2ccccc2)(F)F,2,0.8446093,16.54018,True
B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F ,1,-2.5277174,6.1311445,True
B(F)(F)F.CCOCC,1,-2.5618365,5.429793,True
B([O-])([O-])[O-].NC1=CC=C(C(C(=O)O)=C1)O.NC1=CC=C(C(C(=O)O)=C1)O.[Li+].[Li+].[Li+],2,-1.8050574,7.8518887,True
ClC1=C([O])C(C(O[B-]2(OC(C3=CC(Cl)=CC(Cl)=C3O2)=O)C)=O)=CC(Cl)=C1.[Li+],2,-4.152263,9.2991495,True
B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,1,-2.5308588,6.147639,True
FC1=NC=CC=C1.FB(F)F,2,-1.3053708,8.699311,True
B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,1,-2.5246937,6.1257944,True
