Prototype,CID,molecule_name,SMILES,Molecular weight,SA Score,svg_file
3,36,LiODFB,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F,143.767,4.6622,molecule_svg/LiODFB.svg
3,37,LiPAAOB,O=C(OB(OC1=O)OC1=O)C(CC)CC(C)C(O)=O.[Li+],278.959,4.4323,molecule_svg/LiPAAOB.svg
3,4,LiPVAOB,CCC1O[B-](OC2=O)(OC2=O)OC(C)C1.[Li+],221.931,5.6089,molecule_svg/LiPVAOB.svg
3,69,NaDFOB,[Na+].O=C1O[B-](F)(F)OC1=O,159.816,4.7299,molecule_svg/NaDFOB.svg
4,55,(C6F4)O2B(C6F5),c1(B2Oc3c(O2)cccc3)ccccc1.[F].[F],234.01,2.8886,molecule_svg/(C6F4)O2B(C6F5).svg
4,113,(C6F4)O2B(C6H3F2),Fc1cc(F)c(B2Oc3c(O2)cccc3)cc1.[F],250.992,2.873,molecule_svg/(C6F4)O2B(C6H3F2).svg
4,88,(C6F4)O2B(C6H4F),Fc1ccc(B2Oc3c(O2)cccc3)cc1.[F],233.002,2.7427,molecule_svg/(C6F4)O2B(C6H4F).svg
4,82,(C6F4)O2B(C7H3F6),FC(c1c(B2Oc3c(O2)cccc3)cccc1)(F)F.[F],283.009,2.9063,molecule_svg/(C6F4)O2B(C7H3F6).svg
4,60,(C6F4)O2B(C8H3F6),FC(c1c(B2Oc3c(O2)cccc3)cc(C(F)(F)F)cc1)(F)F.[F],351.006,3.0598,molecule_svg/(C6F4)O2B(C8H3F6).svg
4,15,(C6H3F)O2B(C6H3F2),Fc1cccc2c1OB(c3ccc(F)cc3F)O2,249.984,2.911,molecule_svg/(C6H3F)O2B(C6H3F2).svg
4,50,(C6H3F)O2B(C7H4F3),Fc1cccc2c1OB(c3cccc(C(F)(F)F)c3)O2,282.001,2.8808,molecule_svg/(C6H3F)O2B(C7H4F3).svg
4,5,(C6H3F)O2B(C8H3F6),Fc1cccc2c1OB(c3cc(C(F)(F)F)ccc3C(F)(F)F)O2,349.998,3.0893,molecule_svg/(C6H3F)O2B(C8H3F6).svg
4,85,3-MLBSB,O=C(O[B-]12OC3=C(C)C=CC=C3C(O2)=O)C4=C(O1)C(C)=CC=C4.[Li+],318.019,4.0297,molecule_svg/3-MLBSB.svg
4,97,B(OPh)3,B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,290.127,2.0125,molecule_svg/B(OPh)3.svg
4,76,LBBB,[Li+].[B-]12(OC3=CC=CC=C3O1)OC4=CC=CC=C4O2,233.945,3.7332,molecule_svg/LBBB.svg
4,8,LBBPB,C1(C2=C(O[B-]34OC5=C(C6=C(O3)C=CC=C6)C=CC=C5)C=CC=C2)=C(O4)C=CC=C1.[Li+],386.141,3.111,molecule_svg/LBBPB.svg
4,70,LBDOB,[Li+].[B-]12(OC3=CC=CC=C3O1)OC4=CC=CC=C4O2,233.945,3.7332,molecule_svg/LBDOB.svg
4,28,LBNB,C12=CC=CC=C1C=C(O[B-]3(OC4=CC5=CC=CC=C5C=C4O3)O6)C6=C2.[Li+],334.065,3.4874,molecule_svg/LBNB.svg
4,18,LBSB,O=C(O1)C2=CC=CC=C2O[B-]13OC4=CC=CC=C4C(O3)=O.[Li+],289.965,3.8377,molecule_svg/LBSB.svg
4,84,LiBPh4,C1([B-](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1.[Li+],326.177,2.0932,molecule_svg/LiBPh4.svg
4,107,LiBSB,O=C1C2=CC=CC=C2O[B-]3(OC(C4=CC=CC=C4O3)=O)O1.[Li+],289.965,3.8377,molecule_svg/LiBSB.svg
4,89,Li[BScB],O=C1C2=CC=CC=C2O[B-](OC3=C4C=CC=C3)(OC4=O)O1.[Li+],289.965,3.8377,molecule_svg/Li[BScB].svg
4,9,TPhBX,B1(OB(OB(O1)C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,311.751,2.7391,molecule_svg/TPhBX.svg
5,124,2F-PBF,FC1=NC=CC=C1.FB(F)F,164.898,2.7038,molecule_svg/2F-PBF.svg
5,74,3F-PBF,F[B-](F)(F)[N+]1=CC=CC(F)=C1,164.898,3.8993,molecule_svg/3F-PBF.svg
5,44,B2O3,[B]=O,26.811,5.7736,molecule_svg/B2O3.svg
5,106,DEBA,CC(=CB(O)O)C,99.926,4.0793,molecule_svg/DEBA.svg
5,38,FBA,FC(C=1C=C(C=CC1)B(O)O)(F)F,189.929,2.415,molecule_svg/FBA.svg
5,35,H3BO3,B(O)(O)O,61.833,3.4321,molecule_svg/H3BO3.svg
5,96,K2B4O5(OH)4,B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].B([O-])([O-])[O-].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+].[K+],704.412,6.0364,molecule_svg/K2B4O5(OH)4.svg
5,11,LBO,[Li+].[O-]B=O,49.751,5.8707,molecule_svg/LBO.svg
5,78,LUTID,F[B-]([N+]1=CC(C)=C(C)C=C1)(F)F,174.962,3.7009,molecule_svg/LUTID.svg
5,21,Li2TB,[Li+].[Li+].B(=O)OB([O-])OB([O-])OB=O,169.123,6.7574,molecule_svg/Li2TB.svg
5,41,Li3BO3,[Li+].B([O-])([O-])[O-],65.75,6.32,molecule_svg/Li3BO3.svg
5,121,LiB5AB,B([O-])([O-])[O-].NC1=CC=C(C(C(=O)O)=C1)O.NC1=CC=C(C(C(=O)O)=C1)O.[Li+].[Li+].[Li+],385.906,3.0656,molecule_svg/LiB5AB.svg
5,57,LiBO2,[Li+].B([O-])([O-])[O-],65.75,6.32,molecule_svg/LiBO2.svg
5,71,MDMB,C1(=C(C(=CC(=C1)C)C)B(OC)OC)C,192.067,2.9117,molecule_svg/MDMB.svg
5,86,PBF,B(F)(F)F.N1=CC=CC=C1,146.908,2.4158,molecule_svg/PBF.svg
5,111,PCN,N#CC1=CC=CN=C1.FB(F)F,171.918,2.7114,molecule_svg/PCN.svg
5,33,PRZ,F[B-](F)(F)[N+]1=CC=[N+]([B-](F)(F)F)C=C1,215.702,4.9009,molecule_svg/PRZ.svg
5,58,TEB,[Li+].B([O-])([O-])[O-],65.75,6.32,molecule_svg/TEB.svg
5,65,TMSPB,C[Si](C=1C=C(C=CC1)B(O)O)(C)C,194.115,2.9143,molecule_svg/TMSPB.svg
5,7,TRIFM,FC(C1=CC=NC=C1)(F)F.FB(F)F,214.905,2.6015,molecule_svg/TRIFM.svg
5,91,TRIZIN,F[B-](F)(F)[N+]1=C[N+]([B-](F)(F)F)=C[N+]([B-](F)(F)F)=C1,284.496,5.3179,molecule_svg/TRIZIN.svg
5,103,VPBF,C=CC1=CC=NC=C1.FB(F)F,172.946,2.8745,molecule_svg/VPBF.svg
6,25,(C3HF6O)2B(C6F5),FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F.[F],440.972,3.5477,molecule_svg/(C3HF6O)2B(C6F5).svg
6,31,(C3HF6O)2B(C6H3F2),Fc1cc(B(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)cc(F)c1,457.954,3.5944,molecule_svg/(C3HF6O)2B(C6H3F2).svg
6,13,(C3HF6O)2B(C6H5),FC(C(C(F)(F)F)OB(OC(C(F)(F)F)C(F)(F)F)c1ccccc1)(F)F,421.974,3.4174,molecule_svg/(C3HF6O)2B(C6H5).svg
6,119,ABA#1,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,511.896,3.4439,molecule_svg/ABA#1.svg
6,63,B(HFIP)3,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,511.896,3.4439,molecule_svg/B(HFIP)3.svg
6,68,Na[B(hfip)4],FC(C(C(F)(F)F)O[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)(F)F.[Na+],701.914,3.743,molecule_svg/Na[B(hfip)4].svg
6,46,TFEB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,307.905,3.4221,molecule_svg/TFEB.svg
6,125,THB,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,511.896,3.4439,molecule_svg/THB.svg
6,90,THFB,[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,511.896,3.6871,molecule_svg/THFB.svg
6,17,THFBuBO,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F,607.947,3.4329,molecule_svg/THFBuBO.svg
6,123,THFPB,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,511.896,3.4439,molecule_svg/THFPB.svg
6,99,TMF,FC(C(F)(F)OC(F)(F)F)(F)OB(OC(F)(F)C(F)(F)OC(F)(F)F)OC(F)(F)C(F)(F)OC(F)(F)F,613.863,3.6449,molecule_svg/TMF.svg
6,108,TTFB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,307.905,3.4221,molecule_svg/TTFB.svg
6,93,TTFEB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,307.905,3.4221,molecule_svg/TTFEB.svg
7,80,B-HEMA,C=C(C(OCCOB(OCCOC(C(C)=C)=O)OCCOC(C(C)=C)=O)=O)C,398.217,3.2493,molecule_svg/B-HEMA.svg
7,47,BF3·DE,B(F)(F)F.CCOCC,141.929,2.9635,molecule_svg/BF3·DE.svg
7,120,BF₃·DE,B(F)(F)F.CCOCC,141.929,2.9635,molecule_svg/BF₃·DE.svg
7,48,BPC,O=C(C(OCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C,1060.984,3.8015,molecule_svg/BPC.svg
7,26,HBC,C=C(C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C,1455.489,4.4625,molecule_svg/HBC.svg
7,10,ITD,C(C)(C)OB1OC(C(O1)(C)C)(C)C,186.06,3.6168,molecule_svg/ITD.svg
