cutoff_year,n_train_positive,n_hidden_positive,n_recommended,n_hidden_positive_hit,future_positive_recall,recommendation_precision,f1_score,random_hit_rate,enrichment_factor,screening_fraction,reduction_factor
2017,79,47,1819,5,0.10638297872340426,0.002748763056624519,0.0053590568060021436,0.0002611444795723898,10.525832524300235,0.010106846986003767,98.9428257284222
2019,83,43,2279,5,0.11627906976744186,0.002193944712593243,0.004306632213608958,0.0002389194174811226,9.182781105544048,0.012662729126499498,78.97191750767881
2021,92,34,348,3,0.08823529411764706,0.008620689655172414,0.015706806282722512,0.00018891302777577135,45.63311359026369,0.0019335804019402479,517.1752873563219
2023,106,20,825,4,0.2,0.0048484848484848485,0.009467455621301775,0.00011112531045633609,43.63078787878788,0.004583919056323864,218.1539393939394
