prototype,molecule_rank,candidate_index,prototype_similarity,smiles,svg_path,svg_file
3,6,71,0.7848528623580933,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC4=CC=CC5=C4C3=C(C=C2)C=C5,./save_figs/fig4e_top_molecule_svgs/P3_M6_sim_0.785_idx_71.svg,P3_M6_sim_0.785_idx_71.svg
3,7,0,0.7838299870491028,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=CC3=C(C4=CC=CC=C24)C5=CC=CC6=CC=CC=C65,./save_figs/fig4e_top_molecule_svgs/P3_M7_sim_0.784_idx_0.svg,P3_M7_sim_0.784_idx_0.svg
3,8,74,0.7833526730537415,B(C1=CC=CC2=CC=CC=C12)(OC3=CC=CC4=CC=CC=C43)OC5=CC=CC6=CC=CC=C65,./save_figs/fig4e_top_molecule_svgs/P3_M8_sim_0.783_idx_74.svg,P3_M8_sim_0.783_idx_74.svg
5,1,66,0.7499092221260071,B(C(CC)CCCCC)(C(CC)CCCCC)C(CC)CCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M1_sim_0.750_idx_66.svg,P5_M1_sim_0.750_idx_66.svg
5,2,63,0.749528169631958,B(C(C)C(C)C)(C(C)C(C)C)C(C)C(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M2_sim_0.750_idx_63.svg,P5_M2_sim_0.750_idx_63.svg
5,3,23,0.7494205236434937,[B](N(C(C)C)C(C)C)N(C(C)C)C(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M3_sim_0.749_idx_23.svg,P5_M3_sim_0.749_idx_23.svg
5,4,59,0.7489742040634155,B(OCCCCCCCCCCC(C)C)(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M4_sim_0.749_idx_59.svg,P5_M4_sim_0.749_idx_59.svg
5,5,73,0.7481650114059448,B(OC(CC(C)C)CC(C)C)(OC(CC(C)C)CC(C)C)OC(CC(C)C)CC(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M5_sim_0.748_idx_73.svg,P5_M5_sim_0.748_idx_73.svg
5,6,68,0.7469909191131592,B(C(C)CCCCCC)(C(C)CCCCCC)C(C)CCCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M6_sim_0.747_idx_68.svg,P5_M6_sim_0.747_idx_68.svg
5,7,46,0.740737795829773,B(OC(C)CC(C)C)(OC(C)CC(C)C)OC(C)CC(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M7_sim_0.741_idx_46.svg,P5_M7_sim_0.741_idx_46.svg
5,8,40,0.7400968074798584,B(CCCCCC)(C(C)C(C)C)C(C)C(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M8_sim_0.740_idx_40.svg,P5_M8_sim_0.740_idx_40.svg
5,9,7,0.738734245300293,B(OCCCCCCCCCCCCC)(OCCCCCCCCCCCCC)OCCCCCCCCCCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M9_sim_0.739_idx_7.svg,P5_M9_sim_0.739_idx_7.svg
5,10,1,0.737576425075531,B(OCC(CCC)CCCCC)(OCC(CCC)CCCCC)OCC(CCC)CCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M10_sim_0.738_idx_1.svg,P5_M10_sim_0.738_idx_1.svg
5,11,58,0.7374493479728699,B(CCCCCCCCCCC(C)C)(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M11_sim_0.737_idx_58.svg,P5_M11_sim_0.737_idx_58.svg
5,12,4,0.7361975312232971,B(OCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M12_sim_0.736_idx_4.svg,P5_M12_sim_0.736_idx_4.svg
5,13,12,0.7356507182121277,B(OCCCCCCC(C)C)(OCCCCCCC(C)C)OCCCCCCC(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M13_sim_0.736_idx_12.svg,P5_M13_sim_0.736_idx_12.svg
5,14,37,0.7332116961479187,B(CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M14_sim_0.733_idx_37.svg,P5_M14_sim_0.733_idx_37.svg
5,15,60,0.7307010889053345,B(C#C)(N(C(C)C)C(C)C)N(C(C)C)C(C)C,./save_figs/fig4e_top_molecule_svgs/P5_M15_sim_0.731_idx_60.svg,P5_M15_sim_0.731_idx_60.svg
5,16,61,0.7300816178321838,B(CCCCCCCC)(CCCCCCCC)C(=CCCCCCC)CCCCCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M16_sim_0.730_idx_61.svg,P5_M16_sim_0.730_idx_61.svg
5,17,56,0.7240414023399353,B(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,./save_figs/fig4e_top_molecule_svgs/P5_M17_sim_0.724_idx_56.svg,P5_M17_sim_0.724_idx_56.svg
5,18,10,0.7239757180213928,B(OCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M18_sim_0.724_idx_10.svg,P5_M18_sim_0.724_idx_10.svg
5,19,75,0.7137600779533386,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC,./save_figs/fig4e_top_molecule_svgs/P5_M19_sim_0.714_idx_75.svg,P5_M19_sim_0.714_idx_75.svg
