AUC,Precision,Recall,F1
0.9117647058823529,1.0,0.8235294117647058,0.9032258064516129
1.0,1.0,1.0,1.0
0.875,0.7142857142857143,1.0,0.8333333333333334
0.95,1.0,0.9,0.9473684210526315
1.0,1.0,1.0,1.0
0.8076923076923077,1.0,0.6153846153846154,0.7619047619047619
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334
0.7833333333333333,0.8888888888888888,0.6666666666666666,0.7619047619047619
0.9166666666666667,0.9230769230769231,1.0,0.96
0.8214285714285714,1.0,0.6428571428571429,0.782608695652174
