AUC,Precision,Recall,F1
0.8823529411764706,1.0,0.7647058823529411,0.8666666666666667
1.0,1.0,1.0,1.0
0.875,0.7142857142857143,1.0,0.8333333333333334
0.95,1.0,0.9,0.9473684210526315
0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523
0.8076923076923077,1.0,0.6153846153846154,0.7619047619047619
0.7357142857142857,0.75,0.9,0.8181818181818182
0.825,0.9,0.75,0.8181818181818182
0.9166666666666667,0.9230769230769231,1.0,0.96
0.8809523809523809,0.8666666666666667,0.9285714285714286,0.896551724137931
