AUC,Precision,Recall,F1
0.875,0.8571428571428571,1.0,0.9230769230769231
0.75,0.75,1.0,0.8571428571428571
0.625,0.6666666666666666,1.0,0.8
0.7708333333333333,0.8888888888888888,0.6666666666666666,0.7619047619047619
0.7386363636363636,0.8,0.7272727272727273,0.7619047619047619
0.5,0.8421052631578947,1.0,0.9142857142857143
0.5714285714285714,0.6666666666666666,1.0,0.8
0.8444444444444444,0.8,0.8888888888888888,0.8421052631578947
0.6931818181818181,0.7777777777777778,0.6363636363636364,0.7
0.5,0.631578947368421,1.0,0.7741935483870968
