AUC,Precision,Recall,F1
0.5357142857142857,0.6666666666666666,0.5,0.5714285714285714
0.5284090909090909,0.6666666666666666,0.18181818181818182,0.2857142857142857
0.6444444444444444,0.8,0.4,0.5333333333333333
0.5238095238095237,0.6666666666666666,0.3333333333333333,0.4444444444444444
0.41477272727272724,0.5,0.45454545454545453,0.47619047619047616
0.6193181818181819,0.8,0.36363636363636365,0.5
0.7333333333333334,1.0,0.4666666666666667,0.6363636363636364
0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471
0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471
0.5923076923076923,0.8333333333333334,0.38461538461538464,0.5263157894736842
