AUC,Precision,Recall,F1
0.8235294117647058,1.0,0.6470588235294118,0.7857142857142857
1.0,1.0,1.0,1.0
0.8375,0.8,0.8,0.8
0.95,1.0,0.9,0.9473684210526315
0.8636363636363636,1.0,0.7272727272727273,0.8421052631578947
0.8076923076923077,1.0,0.6153846153846154,0.7619047619047619
0.6285714285714286,0.8,0.4,0.5333333333333333
0.7416666666666668,0.875,0.5833333333333334,0.7
0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043
0.7440476190476191,0.8888888888888888,0.5714285714285714,0.6956521739130435
