AUC,Precision,Recall,F1
0.7058823529411764,1.0,0.4117647058823529,0.5833333333333334
0.8888888888888888,1.0,0.7777777777777778,0.875
0.8375,0.8,0.8,0.8
0.9,1.0,0.8,0.8888888888888888
0.9090909090909092,1.0,0.8181818181818182,0.9
0.7243589743589745,0.8,0.6153846153846154,0.6956521739130435
0.55,1.0,0.1,0.18181818181818182
0.7833333333333333,0.8888888888888888,0.6666666666666666,0.7619047619047619
0.8333333333333334,0.8571428571428571,1.0,0.9230769230769231
0.6726190476190477,0.8571428571428571,0.42857142857142855,0.5714285714285714
