AUC,Precision,Recall,F1
0.7352941176470589,1.0,0.47058823529411764,0.64
0.8888888888888888,1.0,0.7777777777777778,0.875
0.8375,0.8,0.8,0.8
0.85,1.0,0.7,0.8235294117647058
0.7727272727272727,1.0,0.5454545454545454,0.7058823529411765
0.6891025641025642,0.8571428571428571,0.46153846153846156,0.6
0.6857142857142857,0.7272727272727273,0.8,0.7619047619047619
0.7666666666666667,0.7692307692307693,0.8333333333333334,0.8
0.7083333333333335,0.875,0.5833333333333334,0.7
0.7440476190476191,0.8888888888888888,0.5714285714285714,0.6956521739130435
