AUC,Precision,Recall,F1
0.7619047619047619,0.8888888888888888,0.6666666666666666,0.7619047619047619
0.8465909090909092,0.9,0.8181818181818182,0.8571428571428571
0.5777777777777778,0.6,0.6,0.6
0.5773809523809523,0.7,0.5833333333333334,0.6363636363636364
0.6590909090909092,0.6923076923076923,0.8181818181818182,0.75
0.5397727272727273,0.625,0.45454545454545453,0.5263157894736842
0.8666666666666667,1.0,0.7333333333333333,0.8461538461538461
0.5555555555555556,0.5384615384615384,0.7777777777777778,0.6363636363636364
0.6111111111111112,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.7461538461538462,0.9,0.6923076923076923,0.782608695652174
