AUC,Precision,Recall,F1
0.6011904761904762,0.6875,0.9166666666666666,0.7857142857142857
0.75,0.7333333333333333,1.0,0.8461538461538461
0.6666666666666667,0.625,1.0,0.7692307692307693
0.6726190476190476,0.7333333333333333,0.9166666666666666,0.8148148148148148
0.5795454545454546,0.625,0.9090909090909091,0.7407407407407407
0.75,0.7333333333333333,1.0,0.8461538461538461
0.9,1.0,0.8,0.8888888888888888
0.6666666666666667,0.6,1.0,0.75
0.6666666666666666,0.6153846153846154,0.8888888888888888,0.7272727272727273
0.6615384615384616,0.8,0.9230769230769231,0.8571428571428571
