AUC,Precision,Recall,F1
0.811764705882353,0.9333333333333333,0.8235294117647058,0.875
1.0,1.0,1.0,1.0
0.9375,0.8333333333333334,1.0,0.9090909090909091
0.95,1.0,0.9,0.9473684210526315
1.0,1.0,1.0,1.0
0.798076923076923,0.7857142857142857,0.8461538461538461,0.8148148148148148
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334
0.8166666666666668,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.8333333333333334,0.8571428571428571,1.0,0.9230769230769231
0.875,0.8235294117647058,1.0,0.9032258064516129
