AUC,Precision,Recall,F1
0.8235294117647058,1.0,0.6470588235294118,0.7857142857142857
0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353
0.775,0.6666666666666666,0.8,0.7272727272727273
0.7,1.0,0.4,0.5714285714285714
0.9090909090909092,1.0,0.8181818181818182,0.9
0.7275641025641025,0.875,0.5384615384615384,0.6666666666666666
0.55,1.0,0.1,0.18181818181818182
0.7083333333333334,1.0,0.4166666666666667,0.5882352941176471
0.7083333333333334,0.8181818181818182,0.75,0.782608695652174
0.7321428571428572,0.7692307692307693,0.7142857142857143,0.7407407407407407
