AUC,Precision,Recall,F1
0.8571428571428572,0.8666666666666667,1.0,0.9285714285714286
0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353
0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091
0.8444444444444444,0.8421052631578947,0.8888888888888888,0.8648648648648649
0.8388888888888888,0.8181818181818182,0.9,0.8571428571428571
0.6136363636363635,0.7,0.5,0.5833333333333334
0.7333333333333333,0.8888888888888888,0.6666666666666666,0.7619047619047619
0.9375,0.9090909090909091,1.0,0.9523809523809523
0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231
0.75,0.9285714285714286,1.0,0.9629629629629629
