AUC,Precision,Recall,F1
0.8529411764705883,1.0,0.7058823529411765,0.8275862068965517
0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353
0.9,1.0,0.8,0.8888888888888888
0.95,1.0,0.9,0.9473684210526315
0.9090909090909092,1.0,0.8181818181818182,0.9
0.7948717948717949,0.75,0.9230769230769231,0.8275862068965517
0.6357142857142857,0.7,0.7,0.7
0.7416666666666668,0.875,0.5833333333333334,0.7
0.9166666666666667,0.9230769230769231,1.0,0.96
0.8154761904761905,0.9090909090909091,0.7142857142857143,0.8
