AUC,Precision,Recall,F1
0.6875,0.8571428571428571,0.5,0.631578947368421
0.5416666666666667,0.6363636363636364,0.5833333333333334,0.6086956521739131
0.5208333333333334,0.625,0.4166666666666667,0.5
0.6458333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556
0.6477272727272727,0.75,0.5454545454545454,0.631578947368421
0.5520833333333334,0.875,0.4375,0.5833333333333334
0.6071428571428571,0.75,0.5,0.6
0.538888888888889,0.5,0.7777777777777778,0.6086956521739131
0.4318181818181819,0.5,0.36363636363636365,0.42105263157894735
0.636904761904762,0.8333333333333334,0.4166666666666667,0.5555555555555556
