AUC,Precision,Recall,F1
0.8705882352941177,0.9411764705882353,0.9411764705882353,0.9411764705882353
0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353
0.775,0.6666666666666666,0.8,0.7272727272727273
0.95,1.0,0.9,0.9473684210526315
0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523
0.7307692307692308,1.0,0.46153846153846156,0.631578947368421
0.6357142857142857,0.7,0.7,0.7
0.825,0.9,0.75,0.8181818181818182
0.9166666666666667,0.9230769230769231,1.0,0.96
0.7678571428571428,0.7857142857142857,0.7857142857142857,0.7857142857142857
