AUC,Precision,Recall,F1
0.9411764705882353,1.0,0.8823529411764706,0.9375
0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353
0.875,0.7142857142857143,1.0,0.8333333333333334
0.95,1.0,0.9,0.9473684210526315
0.9090909090909092,1.0,0.8181818181818182,0.9
0.8076923076923077,1.0,0.6153846153846154,0.7619047619047619
0.6857142857142857,0.7272727272727273,0.8,0.7619047619047619
0.825,0.9,0.75,0.8181818181818182
0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8695652173913043
0.7440476190476191,0.8888888888888888,0.5714285714285714,0.6956521739130435
