AUC,Precision,Recall,F1
0.8705882352941177,0.9411764705882353,0.9411764705882353,0.9411764705882353
1.0,1.0,1.0,1.0
0.8125,0.625,1.0,0.7692307692307693
0.95,1.0,0.9,0.9473684210526315
1.0,1.0,1.0,1.0
0.8012820512820513,0.8333333333333334,0.7692307692307693,0.8
0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334
0.7833333333333333,0.8888888888888888,0.6666666666666666,0.7619047619047619
0.7916666666666667,0.8461538461538461,0.9166666666666666,0.88
0.8392857142857143,0.8125,0.9285714285714286,0.8666666666666667
