AUC,Precision,Recall,F1
0.7142857142857143,0.75,1.0,0.8571428571428571
0.625,0.6470588235294118,1.0,0.7857142857142857
0.6666666666666667,0.625,1.0,0.7692307692307693
0.6428571428571428,0.7058823529411765,1.0,0.8275862068965517
0.5795454545454546,0.625,0.9090909090909091,0.7407407407407407
0.5625,0.6111111111111112,1.0,0.7586206896551724
0.9666666666666667,1.0,0.9333333333333333,0.9655172413793104
0.5555555555555556,0.5294117647058824,1.0,0.6923076923076923
0.5,0.5,0.7777777777777778,0.6086956521739131
0.5,0.7222222222222222,1.0,0.8387096774193549
