AUC,Precision,Recall,F1
0.7333333333333334,1.0,0.4666666666666667,0.6363636363636364
0.45054945054945056,0.6153846153846154,0.6153846153846154,0.6153846153846154
0.6,0.6666666666666666,0.4,0.5
0.6722222222222223,0.8,0.4444444444444444,0.5714285714285714
0.6785714285714286,0.8571428571428571,0.5,0.631578947368421
0.35833333333333334,0.7,0.4666666666666667,0.56
0.5227272727272727,0.6,0.5454545454545454,0.5714285714285714
0.6477272727272727,0.75,0.5454545454545454,0.631578947368421
0.4277777777777778,0.42857142857142855,0.3,0.35294117647058826
0.6071428571428571,0.75,0.5,0.6
