AUC,Precision,Recall,F1
0.8666666666666667,1.0,0.7333333333333333,0.8461538461538461
0.8131868131868133,0.9090909090909091,0.7692307692307693,0.8333333333333334
0.7,0.625,1.0,0.7692307692307693
0.9,0.8181818181818182,1.0,0.9
0.6011904761904762,0.6875,0.9166666666666666,0.7857142857142857
0.5,0.7894736842105263,1.0,0.8823529411764706
0.5625,0.6111111111111112,1.0,0.7586206896551724
0.7386363636363636,0.8,0.7272727272727273,0.7619047619047619
0.7388888888888888,0.7777777777777778,0.7,0.7368421052631579
0.5,0.631578947368421,1.0,0.7741935483870968
