AUC,Precision,Recall,F1
0.875,1.0,0.75,0.8571428571428571
0.875,1.0,0.75,0.8571428571428571
0.7083333333333333,0.7333333333333333,0.9166666666666666,0.8148148148148148
0.875,0.8571428571428571,1.0,0.9230769230769231
0.7670454545454546,0.7692307692307693,0.9090909090909091,0.8333333333333334
0.6770833333333335,0.9166666666666666,0.6875,0.7857142857142857
0.648809523809524,0.7777777777777778,0.5833333333333334,0.6666666666666666
0.85,0.75,1.0,0.8571428571428571
0.8465909090909092,0.9,0.8181818181818182,0.8571428571428571
0.7142857142857143,0.75,1.0,0.8571428571428571
