AUC,Precision,Recall,F1
0.75,0.75,1.0,0.8571428571428571
0.75,0.75,1.0,0.8571428571428571
0.5416666666666667,0.625,0.8333333333333334,0.7142857142857143
0.6458333333333333,0.6875,0.9166666666666666,0.7857142857142857
0.625,0.6470588235294118,1.0,0.7857142857142857
0.6354166666666667,0.8823529411764706,0.9375,0.9090909090909091
0.6011904761904762,0.6875,0.9166666666666666,0.7857142857142857
0.55,0.5,1.0,0.6666666666666666
0.6420454545454546,0.6666666666666666,0.9090909090909091,0.7692307692307693
0.6011904761904762,0.6875,0.9166666666666666,0.7857142857142857
