AUC,Precision,Recall,F1
0.8666666666666668,0.9333333333333333,0.9333333333333333,0.9333333333333333
0.7857142857142857,0.8125,1.0,0.896551724137931
0.65,0.6,0.9,0.72
0.6444444444444444,0.5714285714285714,0.8888888888888888,0.6956521739130435
0.6428571428571428,0.7058823529411765,1.0,0.8275862068965517
0.5916666666666667,0.8235294117647058,0.9333333333333333,0.875
0.5965909090909092,0.6428571428571429,0.8181818181818182,0.72
0.5795454545454546,0.625,0.9090909090909091,0.7407407407407407
0.7277777777777777,0.6923076923076923,0.9,0.782608695652174
0.6726190476190476,0.7333333333333333,0.9166666666666666,0.8148148148148148
