AUC,Precision,Recall,F1
0.9230769230769231,1.0,0.8461538461538461,0.9166666666666666
0.8333333333333333,1.0,0.6666666666666666,0.8
0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091
0.9055555555555556,0.8947368421052632,0.9444444444444444,0.918918918918919
0.8333333333333334,0.7692307692307693,1.0,0.8695652173913043
0.685064935064935,0.75,0.6428571428571429,0.6923076923076923
0.7750000000000001,0.9,0.75,0.8181818181818182
0.8,1.0,0.6,0.75
0.8928571428571428,1.0,0.7857142857142857,0.88
0.8076923076923077,1.0,0.6153846153846154,0.7619047619047619
