,P1,P2,P3,P4,P5,P6,P7
NP1,5.931818181818182,2.494318181818181,2.022727272727272,1.6168831168831164,15.548128342245988,13.667272727272731,30.47186147186147
NP2,1.3831168831168832,0.42613636363636354,0.2886363636363635,0.4959415584415584,1.9050802139037428,1.7463636363636368,3.591991341991341
NP3,1.6850649350649354,0.47017045454545436,0.29204545454545444,0.6290584415584414,1.835561497326203,1.699090909090909,3.3733766233766236
NP4,3.310064935064935,0.786931818181818,0.4374999999999998,1.341720779220779,2.3836898395721926,2.118181818181818,3.5984848484848486
NP5,1.952922077922078,0.7031249999999998,0.4568181818181816,0.6501623376623376,3.304812834224599,2.978181818181819,6.347402597402597
NP6,15.852272727272727,17.430397727272734,2.1227272727272717,6.5349025974025965,9.65508021390374,11.752727272727272,16.34523809523809
NP7,1.8555194805194808,0.4971590909090907,0.24772727272727263,0.7889610389610389,1.1671122994652403,1.229090909090909,1.804112554112554
