cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
15520532,B(C)(C)C1=C(C(=C(C(=C1F)F)F)F)F,Full model,6,0.8051011,0.089465335,0.7156358,-0.2020276,-0.2065828,-0.28411198,-0.17695156,0.089465335,0.8051011,-0.31065023
25112575,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C4=CC=CC=C4C(=C3C=C2)C5=CC6=CC=CC=C6C=C5)C7=CC8=CC=CC=C8C=C7,Full model,3,0.7902145,0.053785197,0.7364293,0.053785197,0.014593069,0.7902145,-0.21188147,-0.23015669,-0.20158297,-0.018896103
21424,B(OC(C)CC(C)C)(OC(C)CC(C)C)OC(C)CC(C)C,Full model,5,0.7402586,0.03539123,0.70486736,-0.39812994,-0.52076304,-0.35549667,-0.2877477,0.7402586,0.03539123,-0.20548192
54472851,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F,Full model,6,0.80454886,0.083317526,0.72123134,-0.20741472,-0.20158187,-0.28246504,-0.15659882,0.083317526,0.80454886,-0.31558725
71428745,B(C1=CC(=C(C(=C1)C(F)(F)F)C(F)(F)F)C(F)(F)F)(C2=CC(=C(C(=C2)C(F)(F)F)C(F)(F)F)C(F)(F)F)C3=CC(=C(C(=C3)C(F)(F)F)C(F)(F)F)C(F)(F)F,Full model,6,0.79087496,0.053010132,0.73786485,-0.19502129,-0.16618119,-0.2659714,-0.13089004,0.053010132,0.79087496,-0.3070402
11050988,B(C1=C2C(=C(C(=C1F)F)F)C(=C(C(=C2F)F)F)F)(C3=C4C(=C(C(=C3F)F)F)C(=C(C(=C4F)F)F)F)C5=C6C(=C(C(=C5F)F)F)C(=C(C(=C6F)F)F)F,Full model,6,0.81913984,0.11718767,0.70195216,-0.2224621,-0.22927512,-0.30524576,-0.17806491,0.11718767,0.81913984,-0.32886577
25068199,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=C(C1=O)C=CC(=C2OC)F)C3CC3,Full model,1,0.801687,0.024294117,0.77739286,0.801687,-0.0230744,0.024294117,-0.1286283,-0.24735114,-0.099687845,-0.057795025
23115783,B(C1=C(C=C(C=C1C)C)C)(C2=C(C=C(C=C2C)C)C)C3=C4C=CC=CC4=C(C5=CC=CC=C35)C6=CC=CC=C6,Full model,3,0.80727667,0.06711631,0.74016035,0.06711631,0.044593565,0.80727667,-0.14820378,-0.2599061,-0.2088944,-0.02299403
22722373,B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(C(=C(C(=C3F)F)F)F)F,Full model,6,0.79091746,0.07853282,0.71238464,-0.22341861,-0.2173371,-0.26030463,-0.20406543,0.07853282,0.79091746,-0.28474665
12626668,B(C1=C(C(=C(C(=C1F)F)F)F)F)(Cl)Cl,Full model,6,0.80081064,0.07805894,0.7227517,-0.19025633,-0.2022347,-0.27793676,-0.16371304,0.07805894,0.80081064,-0.3096206
12159360,B(C1=C(C(=C(C(=C1F)F)F)F)B(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)(C4=C(C(=C(C(=C4F)F)F)F)F)C5=C(C(=C(C(=C5F)F)F)F)F,Full model,6,0.8113753,0.10268977,0.7086855,-0.21397816,-0.21782267,-0.2910653,-0.18104076,0.10268977,0.8113753,-0.31642893
4438527,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,Full model,6,0.80851996,0.096973106,0.71154684,-0.21156739,-0.21565919,-0.28766555,-0.1796463,0.096973106,0.80851996,-0.31219304
144241,B(N=C(C(F)(F)F)C(F)(F)F)(N(C)C)N(C)C,Full model,6,0.78341866,0.047387153,0.73603153,-0.1372633,-0.195261,-0.27686137,-0.14636369,0.047387153,0.78341866,-0.31252736
17177,B(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,Full model,5,0.72660685,-0.008530797,0.73513764,-0.39444137,-0.5080539,-0.35498825,-0.23830862,0.72660685,-0.008530797,-0.18428595
17178,B(OCCCCCCCCCCCC)(OCCCCCCCCCCCC)OCCCCCCCCCCCC,Full model,5,0.7289938,0.0197702,0.70922357,-0.4506416,-0.5427861,-0.38643634,-0.1932632,0.7289938,0.0197702,-0.20695242
52915087,B(OCC(C(F)F)(F)F)(OCC(C(F)F)(F)F)OCC(C(F)F)(F)F,Full model,6,0.8017792,0.076455556,0.7253237,-0.18436447,-0.21110371,-0.28712595,-0.13741557,0.076455556,0.8017792,-0.3261908
71334465,B(CCCCCCCCCCC(C)C)(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,Full model,5,0.7377426,0.02121692,0.7165257,-0.45772406,-0.537176,-0.382091,-0.21118836,0.7377426,0.02121692,-0.20387259
108841,B(OCCCCCCCCCCC(C)C)(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C,Full model,5,0.7474627,0.035526384,0.7119363,-0.45173568,-0.53811514,-0.3864382,-0.23991188,0.7474627,0.035526384,-0.21191913
71386315,B(CCCCCCCC)(CCCCCCCC)C(=CCCCCCC)CCCCCCCC,Full model,5,0.7288164,0.0044880053,0.7243284,-0.45519304,-0.52614355,-0.37876812,-0.19765888,0.7288164,0.0044880053,-0.19301668
582056,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,Full model,6,0.80987453,0.09966885,0.7102057,-0.21234256,-0.21428378,-0.28959373,-0.18055882,0.09966885,0.80987453,-0.31501815
71384846,B(C(C)CCCCCC)(C(C)CCCCCC)C(C)CCCCCC,Full model,5,0.7456689,0.029648291,0.7160206,-0.44907477,-0.5262734,-0.38032436,-0.25431374,0.7456689,0.029648291,-0.20583083
122587,B(C(C)C(C)C)(C(C)C(C)C)C(C)C(C)C,Full model,5,0.74328583,0.061403666,0.68188214,-0.42419043,-0.5321642,-0.36498275,-0.3337927,0.74328583,0.061403666,-0.21242699
15158954,B(CC)(CC)C1=CN=CN=C1,Full model,2,0.8240423,0.03544822,0.7885941,0.010246096,0.8240423,0.03544822,-0.011423704,-0.2725007,-0.13305178,-0.042799823
15887311,B(OC1=C(C(=C(C(=C1F)F)F)F)F)(OC2=C(C(=C(C(=C2F)F)F)F)F)OC3=C(C(=C(C(=C3F)F)F)F)F,Full model,6,0.79980534,0.07833234,0.721473,-0.19485924,-0.19905856,-0.2769843,-0.1720545,0.07833234,0.79980534,-0.30721298
517955,B(C)(C)CC,Full model,1,0.80548805,0.017239265,0.7882488,0.80548805,-0.013410333,0.017239265,-0.09991269,-0.21872118,-0.17414746,-0.030817406
71384845,B(C(CC)CCCCC)(C(CC)CCCCC)C(CC)CCCCC,Full model,5,0.7611173,0.036249243,0.72486806,-0.45249364,-0.5244635,-0.39163464,-0.21743242,0.7611173,0.036249243,-0.22187737
11327649,B(C1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,Full model,6,0.8061318,0.09446316,0.7116686,-0.21260206,-0.2161715,-0.28285295,-0.18540959,0.09446316,0.8061318,-0.30891207
