cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
3599767,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,Full model,6,0.78906745,0.04983017,0.7392373,1.0,0.0,46,TFEB,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F ,SP2,halide (C-X); boronate (B-O),-0.16303824,-0.1839144,-0.27820483,-0.114004575,0.04983017,0.78906745,-0.31961322
21846318,B(C1=CC=C(C2=CC=CC=C12)F)(OC)OC,Full model,3,0.8386079,0.13052733,0.7080806,0.2571428571428571,0.7428571428571429,71,MDMB,C1(=C(C(=CC(=C1)C)C)B(OC)OC)C,SP2,benzene ring; boronate (B-O),0.13052733,0.09632539,0.8386079,-0.015649635,-0.29652417,-0.28619677,0.007705028
78020,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,Full model,1,0.8131058,0.03204696,0.78105885,1.0,0.0,0,TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,SP2,boronate (B-O),0.8131058,0.007661219,0.03204696,-0.08166468,-0.28714666,-0.07542201,-0.04484832
71346374,[B](N(C(C)C)C(C)C)N(C(C)C)C(C)C,Full model,5,0.75479984,0.07554256,0.6792573,0.13636363636363635,0.8636363636363636,16,TiPBx,CC(C)OB1OB(OC(C)C)OB(OC(C)C)O1,SP2; SP2; SP2,boronate (B-O),-0.41289297,-0.56638104,-0.3794917,-0.30806014,0.75479984,0.07554256,-0.23505044
4121732,B(N1CCCC1)(N2CCCC2)N3CCCC3,Full model,6,0.7910691,0.18271846,0.60835063,0.19047619047619047,0.8095238095238095,24,NHCABT,FB(F)F.CN1CCN(C)C1,SP2,None,-0.14208572,-0.34096166,-0.32671753,-0.21213117,0.18271846,0.7910691,-0.39514378
13789232,B(C1=CC=CC=C1B(Cl)Cl)(Cl)Cl,Full model,1,0.81063825,0.20587908,0.60475916,0.2727272727272727,0.7272727272727273,97,B(OPh)3,B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,SP2,benzene ring; boronate (B-O),0.81063825,0.040673714,0.17417388,-0.27453238,-0.39626676,-0.30591923,0.20587908
15877487,B(C1=CC=CC=C1OC)(OC)OC,Full model,1,0.8181096,0.17232367,0.6457859,0.2903225806451613,0.7096774193548387,71,MDMB,C1(=C(C(=CC(=C1)C)C)B(OC)OC)C,SP2,benzene ring; boronate (B-O),0.8181096,0.10943778,0.17232367,-0.22325319,-0.39539173,-0.29762802,0.13799796
10876447,B(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)(C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F)C5=C(C6=C(C(=C5F)F)C(=C(C(=C6F)F)F)F)F,Full model,6,0.8199266,0.11981003,0.7001166,0.7333333333333333,0.2666666666666667,56,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,SP2,benzene ring,-0.22355393,-0.23138765,-0.30631465,-0.1814192,0.11981003,0.8199266,-0.32690737
75360847,B(OCC(C(F)(F)F)(F)F)(OCC(C(F)(F)F)(F)F)OCC(C(F)(F)F)(F)F,Full model,6,0.80483866,0.081568725,0.72326994,0.7,0.30000000000000004,17,THFBuBO,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F ,SP2,halide (C-X); boronate (B-O),-0.20305933,-0.20055147,-0.28313476,-0.14701694,0.081568725,0.80483866,-0.31896487
18329245,B(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Full model,6,0.80611646,0.08916649,0.71694994,0.48148148148148145,0.5185185185185186,17,THFBuBO,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F ,SP2,halide (C-X); boronate (B-O),-0.21476665,-0.20400922,-0.28179708,-0.16867247,0.08916649,0.80611646,-0.31259242
22663171,B(CC)(CC)C1=CC(=CN=C1)SC,Full model,2,0.826267,0.05505615,0.77121085,0.16666666666666666,0.8333333333333334,65,TMSPB,C[Si](C=1C=C(C=CC1)B(O)O)(C)C,SP2,hydroxyl (-OH); benzene ring; boronate (B-O),0.026753018,0.826267,0.028342182,0.05505615,-0.33964354,-0.11450515,-0.046496574
71447200,B(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,Full model,6,0.8041573,0.08570756,0.7184498,0.2692307692307692,0.7307692307692308,17,THFBuBO,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F ,SP2,halide (C-X); boronate (B-O),-0.21318181,-0.19904028,-0.2796276,-0.17004484,0.08570756,0.8041573,-0.30844253
