Method,After screening number,Prototype similarity ↑,Prototype coverage,Assignment entropy ↑,Known-additive similarity,Novelty score ↑,High similarity ratio >0.75,Moderate similarity ratio 0.40-0.75,Low similarity ratio <0.40,Candidate diversity ↑,Post-screening survival ↑,Silhouette ↑
Full model,71,0.7898 ± 0.0306,5/7,0.7232,0.4025 ± 0.2446,0.5975 ± 0.2446,12.68%,25.35%,61.97%,0.8982,0.2305%,0.9761
Random selection,647,0.5217 ± 0.1478,7/7,0.5297,0.3565 ± 0.0910,0.6435 ± 0.0910,0.62%,24.42%,74.96%,0.7830,2.1006%,0.5965
Morgan fingerprints,1598,0.4971 ± 0.1772,7/7,0.8369,0.3696 ± 0.0875,0.6304 ± 0.0875,0.75%,29.10%,70.15%,0.7474,5.1883%,0.4084
PCL encoder only,404,0.7286 ± 0.0457,3/7,0.4044,0.3794 ± 0.1127,0.6206 ± 0.1127,1.73%,29.21%,69.06%,0.7755,1.3117%,0.9689
USL encoder only,1622,0.0854 ± 0.0108,4/7,0.3495,0.3677 ± 0.0889,0.6323 ± 0.0889,0.43%,30.70%,68.87%,0.7517,5.2662%,-0.1852
PCL encoder clustering,341,0.5711 ± 0.1105,6/7,0.4266,0.3449 ± 0.0744,0.6551 ± 0.0744,0.00%,22.29%,77.71%,0.7713,1.1071%,0.9160
USL encoder clustering,155,0.0799 ± 0.0212,4/7,0.2604,0.3238 ± 0.0607,0.6762 ± 0.0607,0.00%,10.32%,89.68%,0.7673,0.5032%,0.7860
w/o EMA,573,0.1413 ± 0.0366,7/7,0.6693,0.3278 ± 0.1029,0.6722 ± 0.1029,1.22%,12.91%,85.86%,0.8101,1.8604%,0.2533
w/o decorrelation,1741,0.0807 ± 0.0149,4/7,0.0371,0.3730 ± 0.0817,0.6270 ± 0.0817,0.75%,30.21%,69.04%,0.7338,5.6526%,-0.2245
w/o top-K,297,0.2572 ± 0.0000,1/7,-0.0000,0.3442 ± 0.2060,0.6558 ± 0.2060,7.07%,23.91%,69.02%,0.8660,0.9643%,nan
