cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
53217169,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC(=C2)OC(C)C)C(F)(F)F,Random selection,6,0.70079356,-0.03574084,0.7365344,-0.16667975,-0.03574084,-0.1944724,-0.0644188,-0.07743945,0.70079356,-0.24115317
2734771,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CC3=CC=CC=C3,Random selection,2,0.6795793,0.12719895,0.5523804,-0.11442241,0.6795793,0.0035056982,-0.16081943,-0.272786,0.12719895,-0.046171654
72208008,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC3=NNC(=C23)C,Random selection,6,0.47979367,0.09633127,0.3834624,-0.26090032,0.09633127,-0.09414911,-0.22333199,-0.12047642,0.47979367,-0.056525197
45786218,B1(OC(C(O1)(C)C)(C)C)C2=CSC(=N2)C3=CC=CC=C3F,Random selection,6,0.3831704,0.068286344,0.31488407,-0.06301204,0.068286344,0.042954322,-0.06085029,-0.2973509,0.3831704,-0.001133504
71306529,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C3=CC=C(C=C3)OC,Random selection,6,0.42483333,0.03833456,0.38649878,-0.103171855,-0.058834992,0.03833456,-0.1550384,-0.22065389,0.42483333,-0.016019361
56924967,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)N(C4=CC=CC=C43)C,Random selection,3,0.7075774,-0.0024636902,0.7100411,-0.0024636902,-0.044265546,0.7075774,-0.22746857,-0.2415761,-0.053823914,-0.013383953
71345688,B(C1=CC(=CC=C1)C(F)(F)F)(C2=CC(=CC=C2)C(F)(F)F)F,Random selection,6,0.75832146,-0.004486983,0.76280844,-0.18028623,-0.10765716,-0.22450429,-0.076245956,-0.004486983,0.75832146,-0.29060343
17750240,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)N(C)C3CCCCC3,Random selection,6,0.6406247,-0.04050025,0.6811249,-0.19350879,-0.04050025,-0.15402631,-0.18501112,-0.07873707,0.6406247,-0.19871092
66521128,B1(OC(C(O1)(C)C)(C)C)C2=NC=C(C=C2)N3C=CC=CC3=O,Random selection,2,0.30763066,0.12266213,0.18496853,-0.18404107,0.30763066,0.027572798,-0.5073165,-0.16934183,0.12266213,0.089614466
71299067,B1(OC(C(O1)(C)C)(C)C)C2=NC3=C(C=C2)OCCO3,Random selection,6,0.5100487,0.029986227,0.48006245,-0.059640534,0.029986227,-0.06843811,-0.17894034,-0.23461622,0.5100487,-0.06443863
12421677,B(CCC)(CCC)OCCCCCC,Random selection,5,0.6803301,-0.05619173,0.73652184,-0.28438896,-0.51306134,-0.36663073,-0.13164541,0.6803301,-0.05619173,-0.17654161
45785761,B1(OC(C(O1)(C)C)(C)C)C2=NC(=CC=C2)C3CCCCC3,Random selection,6,0.5928639,-0.076883115,0.66974705,-0.16321355,-0.11860016,-0.13025403,-0.26947373,-0.076883115,0.5928639,-0.13786826
59583139,B(C1=C(C=CC=C1C)C)(OC)OC,Random selection,1,0.5710063,0.1796786,0.39132768,0.5710063,0.08748697,0.07407914,0.13231358,-0.4182156,0.1796786,-0.07674536
67086953,B1(OC(C(O1)(C)C)(C)C)C2=C(C=C(C=C2)F)C(=O)OC,Random selection,6,0.47152534,0.04973129,0.42179406,0.04973129,0.02106139,-0.033913717,-0.13042794,-0.28405464,0.47152534,-0.0468147
17841701,[B]C1=CC=CC=N1,Random selection,2,0.785455,0.0222967,0.76315826,-0.007533086,0.785455,0.0222967,-0.114971004,-0.2258566,-0.17012708,-0.033070672
92134427,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC3=C2C=NN3)Cl,Random selection,6,0.40404648,0.39139694,0.012649536,-0.19871388,0.39139694,-0.06715167,-0.13997689,-0.20265597,0.40404648,-0.11645707
58293793,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)[C@@H]3CCCN(C3)C(=O)OC(C)(C)C,Random selection,6,0.58928734,0.035731554,0.5535558,-0.106727615,0.035731554,-0.097460285,-0.11392144,-0.16364829,0.58928734,-0.181621
45786090,B1(OC(C(O1)(C)C)(C)C)C2=CSC(=N2)C3=CC=CS3,Random selection,3,0.14935054,0.10691953,0.04243101,-0.06527994,0.10240909,0.14935054,0.06652803,-0.30616304,0.10691953,0.06525938
46739746,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(S2)CN3CCCC3,Random selection,6,0.60366833,-0.09163946,0.6953078,-0.13569187,-0.13289501,-0.12446211,-0.09750531,-0.09163946,0.60366833,-0.1780834
58340519,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C3=CC4=C(C=C3)N(C5=CC=CC=C54)C6=CC=CC=C6,Random selection,3,0.75606096,0.020435732,0.7356252,0.020435732,-0.035255797,0.75606096,-0.29021755,-0.18576825,-0.22155163,0.014890875
59460047,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=C4C3=C(C=C2)C5=CC=CC=C54,Random selection,3,0.73867923,0.023474341,0.7152049,0.023474341,-0.028729817,0.73867923,-0.29220796,-0.23879895,-0.102076754,0.00098587
53302321,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(CCN(C3)C(=O)OC(C)(C)C)C=C2,Random selection,6,0.5220509,0.001837031,0.5202139,0.001837031,-0.029865464,-0.07900342,-0.10643641,-0.22472695,0.5220509,-0.104821794
45786371,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CS2)C3=CC=CC(=C3)C,Random selection,6,0.3102424,0.07060629,0.23963612,-0.08007499,-0.029249499,0.07060629,0.0139568215,-0.25001198,0.3102424,0.0057003708
21982074,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C4=C(C3(CCCCCCCC)CCCCCCCC)C=C(C=C4)B5OC(C(O5)(C)C)(C)C,Random selection,6,0.51871973,-0.051842865,0.5705626,-0.20414267,-0.19778651,-0.11284438,-0.22445437,-0.051842865,0.51871973,-0.075430796
75486941,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C3C=CNC3=C2)C(=O)OC,Random selection,6,0.32947242,0.07576427,0.25370815,-0.077923045,-0.07447807,-0.028417835,-0.3635375,-0.16434135,0.32947242,0.07576427
3864964,B1(OC(C(O1)(C)C)(C)C)CC2=CC=CC=C2,Random selection,6,0.4141508,0.03566868,0.37848213,-0.12205142,-0.15345237,-0.018440804,-0.47464794,-0.096237525,0.4141508,0.03566868
45786204,B1(OC(C(O1)(C)C)(C)C)C2=CSC(=N2)C3=CC(=CC=C3)OC,Random selection,6,0.40079054,0.0669102,0.33388034,-0.07278197,0.0669102,-0.00027956974,-0.08577909,-0.2791781,0.40079054,-0.030214934
4461877,B(CCCC)(Cl)Cl,Random selection,1,0.7868533,0.010163602,0.7766897,0.7868533,-0.05090271,0.010163602,-0.1509606,-0.16872425,-0.20977016,-0.016581437
71755791,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)CN3C=CN=C3,Random selection,2,0.7004263,0.13022453,0.57020175,-0.09304876,0.7004263,-0.003960223,-0.12619707,-0.27583686,0.13022453,-0.07475284
89895369,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CC3COCCO3,Random selection,6,0.6024976,0.19530648,0.4071911,-0.19791268,0.19530648,-0.14878637,-0.11850637,-0.1202917,0.6024976,-0.22972503
68636917,B1(OC(C(O1)(C)C)(C)C)C2=C3C4=CC=CC=C4C(C3=CC=C2)(C5=CC=CC=C5)C6=CC=CC=C6,Random selection,3,0.36020106,0.29171136,0.0684897,-0.03486223,-0.15819295,0.36020106,-0.5789942,-1.9110268e-05,-0.3293931,0.29171136
45786328,B1(OC(C(O1)(C)C)(C)C)C2=NC=C(C=C2)C3CCCCC3,Random selection,6,0.63851166,-0.07269115,0.7112028,-0.18630204,-0.08386578,-0.15823098,-0.20239595,-0.07269115,0.63851166,-0.18477611
71100131,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)N(C4=CC=CC=C43)C5=CC=C(C=C5)C6=CC=CC=C6,Random selection,3,0.75514996,0.018314987,0.736835,0.018314987,-0.034570094,0.75514996,-0.28916624,-0.18671823,-0.21606238,0.010382042
72218562,B1(OC(C(O1)(C)C)(C)C)C2=COCCN2C(=O)OC(C)(C)C,Random selection,6,0.43105516,0.38236016,0.048694998,0.38236016,-0.0401807,-0.056961466,-0.15275963,-0.27076307,0.43105516,-0.15865727
12550146,B(C1=CC=CC=C1)(C2=CC=CC=C2)OCC(C)C,Random selection,5,0.48612782,0.03969965,0.44642818,-0.25842962,-0.34835222,-0.097644895,-0.4255776,0.48612782,-0.20536087,0.03969965
58127671,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)OC3=CC=CC=C3,Random selection,6,0.2762648,0.1227058,0.15355898,-0.13852605,-0.09646747,0.03525177,-0.4500068,-0.15161982,0.2762648,0.1227058
12489059,B(CSC1=CC=CC=C1)(OCCCC)OCCCC,Random selection,5,0.5070967,0.00080376357,0.50629294,-0.19430435,-0.40095937,-0.19945352,-0.3951862,0.5070967,-0.18725318,0.00080376357
45785758,B1(OC(C(O1)(C)C)(C)C)C2=NC(=CC=C2)C(C)(C)C,Random selection,6,0.5855228,0.03463919,0.5508836,-0.1057614,0.03463919,-0.09903477,-0.08033443,-0.19197093,0.5855228,-0.14728805
10958346,B(C1CCCCC1)(C2CCCCC2)OS(=O)(=O)C(F)(F)F,Random selection,6,0.5266313,0.36613736,0.16049394,0.36613736,-0.20841932,-0.21272002,-0.17301524,-0.057716057,0.5266313,-0.29980344
59477219,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)N(C=N3)C(=O)OC(C)(C)C,Random selection,6,0.507154,0.0496118,0.45754218,-0.11880283,0.0496118,-0.089379154,-0.12292875,-0.19764897,0.507154,-0.0946882
43811063,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C=C2)CN3CCOCC3)F,Random selection,6,0.67612916,-0.07824502,0.7543742,-0.15380673,-0.10394623,-0.17626302,-0.09266454,-0.07824502,0.67612916,-0.21465519
11289092,B1(OC(C(O1)(C)C)(C)C)C2=CCC(CC2)C3=CC=CC=C3,Random selection,6,0.19573922,0.1248323,0.07090692,-0.14613694,-0.31094295,-0.017215557,-0.62908083,0.1248323,0.19573922,0.08276498
75412371,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CC3=C(C=C(C=C3)Cl)Cl,Random selection,2,0.5851258,0.29969326,0.28543255,-0.09288675,0.5851258,-0.038254388,-0.00068812084,-0.30768818,0.29969326,-0.1305911
44119509,B1(OC(C(O1)(C)C)(C)C)C2=CC3=CN(N=C3C=C2C)C,Random selection,6,0.5268636,0.1903985,0.33646506,-0.17774035,0.1903985,-0.09375374,-0.055379525,-0.19475712,0.5268636,-0.14662339
69093306,B1(OC(C(O1)(C)C)(C)C)C2=CC3=NC=NC=C3C=C2,Random selection,2,0.5957928,0.223773,0.37201977,-0.15376356,0.5957928,-0.035511255,-0.15804417,-0.24526298,0.223773,-0.065341085
71422784,B(C1=CC=C(C=C1)C2=CC(=NC(=C2)C3=CC=CC=N3)C4=CC=CC=N4)(C5=C(C=C(C=C5C)C)C)C6=C(C=C(C=C6C)C)C,Random selection,2,0.7998418,0.09395139,0.7058904,-0.015532139,0.7998418,0.09395139,0.07234767,-0.34307584,-0.07805297,-0.045632984
66520268,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C=N2)C(C)C)Br,Random selection,6,0.48223323,0.055635236,0.42659798,-0.10029249,0.055635236,-0.04562793,-0.018693186,-0.24043012,0.48223323,-0.096158125
49758896,B1(OC(C(O1)(C)C)(C)C)C2=C(N(C3=C2C=CC=N3)S(=O)(=O)C4=CC=CC=C4)C,Random selection,6,0.23038404,0.12270091,0.10768313,-0.07070581,-0.1460537,0.026764577,-0.505286,-0.11546054,0.23038404,0.12270091
12105368,B(C1=CC=C(C=C1)C)(C2=CC=C(C=C2)C)Cl,Random selection,3,0.73416615,0.05981663,0.67434955,0.05981663,0.02122936,0.73416615,-0.25334722,-0.2685221,-0.23166917,0.026582226
45786352,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CO2)C3=CC=CC=C3C,Random selection,6,0.45951295,-0.0128662,0.47237915,-0.13175394,-0.023160215,-0.015568192,-0.18269378,-0.20262371,0.45951295,-0.0128662
91825788,B1(OC(C(O1)(C)C)(C)C)C2=NN(C=C2)C3=CC=C(C=C3)F,Random selection,2,0.6215917,0.23630328,0.38528842,-0.11062797,0.6215917,-0.04645571,-0.1139074,-0.27793032,0.23630328,-0.10443029
45785867,[2H]C([2H])([2H])OC1=CC=CC=C1C2=NC=C(N=C2)B3OC(C(O3)(C)C)(C)C,Random selection,6,0.74006665,-0.007928661,0.7479953,-0.21137528,-0.015826432,-0.23136674,-0.14800893,-0.007928661,0.74006665,-0.2879796
16414210,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)N3CCCCC3,Random selection,6,0.6274492,-0.039177254,0.66662645,-0.18520531,-0.039177254,-0.15370755,-0.17311303,-0.0927331,0.6274492,-0.19048664
74789504,B1(OC(C(O1)(C)C)(C)C)C2CCC(CC2)(F)F,Random selection,6,0.73604196,-0.0028501232,0.7388921,-0.16737328,-0.17522871,-0.22079903,-0.15901107,-0.0028501232,0.73604196,-0.25976577
22722373,B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(C(=C(C(=C3F)F)F)F)F,Random selection,6,0.793079,0.080136076,0.71294296,-0.22283496,-0.21599156,-0.26314595,-0.19928825,0.080136076,0.793079,-0.28735745
60146090,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CCC(=O)OC,Random selection,6,0.42705366,0.4202246,0.006829053,-0.12731498,0.4202246,-0.07427194,-0.071679,-0.24813962,0.42705366,-0.15085177
91001245,B1(OC(C(O1)(C)C)(C)C)C2=NN(C=C2C)C,Random selection,6,0.5661702,0.21589543,0.3502748,-0.13980094,0.21589543,-0.117049724,-0.05391277,-0.20253228,0.5661702,-0.18513072
557750,B(CC)(CC)OC1=CCCCCCCCCCC1,Random selection,1,0.66002774,0.04984279,0.61018497,0.66002774,-0.19083674,-0.13294724,-0.13866958,-0.022912687,0.04984279,-0.2086744
45786236,B1(OC(C(O1)(C)C)(C)C)C2=CN=CC(=N2)OC(C)(C)C,Random selection,6,0.44687834,0.42871338,0.018164963,-0.11004476,0.42871338,-0.09355285,-0.019743185,-0.26395988,0.44687834,-0.16701074
56737726,B1(OC(C(O1)(C)C)(C)C)C2=CCN(CC2)C(=O)C3CC3,Random selection,6,0.5580686,0.1358907,0.42217785,0.1358907,-0.27484256,-0.15909708,-0.35227212,-0.01486415,0.5580686,-0.2220083
53398498,B1(OC(C(O1)(C)C)(C)C)C2=NC(=CC=C2)C(=O)OC(C)(C)C,Random selection,6,0.5297627,0.020867677,0.508895,-0.0340831,0.020867677,-0.077931404,-0.117488496,-0.22996294,0.5297627,-0.112892926
12159360,B(C1=C(C(=C(C(=C1F)F)F)F)B(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)(C4=C(C(=C(C(=C4F)F)F)F)F)C5=C(C(=C(C(=C5F)F)F)F)F,Random selection,6,0.80930007,0.09873843,0.71056163,-0.21058485,-0.21416482,-0.28846022,-0.18108875,0.09873843,0.80930007,-0.3155333
54775464,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)CN,Random selection,6,0.5139065,0.24155279,0.2723537,-0.16312423,0.24155279,-0.100975364,-0.12865078,-0.20377949,0.5139065,-0.15776935
57703574,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)C3=CC=C(C=C3)Cl,Random selection,6,0.29258963,0.23974137,0.052848265,-0.09629163,-0.08714349,0.23974137,-0.2496477,-0.22154732,0.29258963,0.00075524877
58453980,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C4C(=C2)C=CC5=C4C(=CC(=C5)C(C)(C)C)C=C3,Random selection,3,0.7563664,0.055068813,0.7012976,0.055068813,0.026781218,0.7563664,-0.12357271,-0.2869831,-0.059287112,-0.074506335
66521593,B1(OC(C(O1)(C)C)(C)C)C2=CN(C=N2)CCOC(=O)C,Random selection,6,0.45441502,0.3677566,0.08665842,-0.11233482,0.3677566,-0.07197832,-0.083525255,-0.2494034,0.45441502,-0.15402836
44755165,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)N(C)CC3=CC=CC=C3,Random selection,2,0.32567918,0.24564578,0.08003341,-0.18473046,0.32567918,0.009498884,-0.33273414,-0.20621173,0.24564578,-0.011142785
45588143,[B-](CN1CCOCC1)(F)(F)F,Random selection,6,0.75092834,0.022660412,0.7282679,-0.054875117,-0.21430315,-0.27676022,-0.10803582,0.022660412,0.75092834,-0.3415678
59292152,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)N3CCCN(CC3)C,Random selection,6,0.64637846,-0.059072543,0.705451,-0.18737394,-0.098546304,-0.16517524,-0.20591348,-0.059072543,0.64637846,-0.19904454
71429829,B(C1=CC=C(C=C1)OC)(C2=CC=C(C=C2)Cl)OCC(C)C,Random selection,7,0.1619513,0.107900545,0.05405076,-0.097315036,-0.068781406,0.100758664,-0.13696417,0.107900545,-0.3726651,0.1619513
53216816,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N2C)C=CC(=C3)Br,Random selection,6,0.40061638,0.04118978,0.3594266,-0.06649667,-0.022669125,0.04118978,0.035411607,-0.23760687,0.40061638,-0.04319974
91658876,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC3=C2CC(C3)OC(=O)C)Br,Random selection,6,0.25856137,0.17235693,0.08620444,0.17235693,-0.05631919,0.047568053,-0.24071409,-0.27495778,0.25856137,0.024968445
72214428,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=N2)Br)Br,Random selection,6,0.25021777,0.15408096,0.09613681,0.024572685,0.10455528,0.08406288,0.15408096,-0.3397334,0.25021777,-0.012993369
24208794,B1(OC(C(O1)(C)C)(C)C)C2=C(N=CC=C2)OCC(F)(F)F,Random selection,6,0.69400764,-0.05770073,0.7517084,-0.1558986,-0.05770073,-0.18526402,-0.10782681,-0.07977444,0.69400764,-0.23321562
24824346,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C=C2)C(=O)OC)C,Random selection,6,0.39205864,0.10664508,0.28541356,0.10664508,0.006846906,0.019840116,-0.16920748,-0.3104188,0.39205864,-0.00312234
72214324,B1(OC(C(O1)(C)C)(C)C)C2=CC(=O)C=C(N2)C=O,Random selection,6,0.37471023,-0.014147059,0.3888573,-0.1359809,-0.13794547,-0.04495868,-0.50053805,-0.07410988,0.37471023,-0.014147059
53398554,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C(=C2C)[N+](=O)[O-])OC,Random selection,6,0.52213454,0.047087967,0.47504658,-0.019176727,0.047087967,-0.05707331,-0.1277684,-0.24990499,0.52213454,-0.10035509
