cid,doi,literature_type,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
9816075,KR-20230118087-A,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,LIB,0
9816075,CN-113506685-A,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,ZIB,0
9816075,CN-113506685-B,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,ZIB,0
9816075,CN-113013461-A,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,Other,0
9816075,US-9960422-B2,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,LIB,0
9816075,CN-107699935-A,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,Other,-1
9816075,CN-112886063-B,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,LMB,1
9816075,CN-116601811-A,patent,B4K2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[K+].[K+],00000371038038000060000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,233.929036,13,LIB,0
10887183,EP-3559008-B1,patent,C3BF9O9S3,B(OS(=O)(=O)C(F)(F)F)(OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F,0000037102403DC06000000000000000000000000000000000000000000000000000000000000801040000000000000000100000000000020000000000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,155.0,457.8653787,25,LIB,1
10887183,ES-2934229-T3,patent,C3BF9O9S3,B(OS(=O)(=O)C(F)(F)F)(OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F,0000037102403DC06000000000000000000000000000000000000000000000000000000000000801040000000000000000100000000000020000000000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,155.0,457.8653787,25,LIB,1
157732883,KR-20130065691-A,patent,C9H15BO4,B(C1=CC=C(C=C1)OC)(O)O.CCO,00000371C2703800000000000000000000000000000000000000300000000000000000010000281A00000800000804A090023206800006008000204200000208002020000888000608880C362284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,69.9,198.1063391,14,Other,0
150745108,CN-102471729-A,patent,C6H6BClO4,B(O)(O)OC1=CC=CC=C1OCl,0000037182603800040000000000000000000000000000000000300000000000000000010000081A0000080000080480900030068000000080002042000002000020200008880006888809262280111280300024C0110888078040000000000000000040000000000000008000000000000000,58.9,188.0047665,12,Other,0
4431894,JP-5112148-B2,patent,C6H7BO2S,B(C1=CC=C(C=C1)S)(O)O,00000371826030004000000000000000000000000000000000003000000000000000000100002818040008000008008050003001800000048000204200000200002000000888180000880820228011108020002080000888070000000000000000000000000000000000000000000000000000,41.5,154.0259808,10,LIB,1
