cid,doi,literature_type,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
5462311,CN-114988494-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,WO-2023162694-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-9871247-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-116947004-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,SIB,0
5462311,JP-2006185919-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-113809310-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,JP-2015076336-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-114497554-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-117650271-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,1
5462311,EP-3343687-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,KR-20220139316-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-111138596-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-117882154-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-113506685-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,ZIB,0
5462311,US-6022643-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-118367135-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,0
5462311,US-10316006-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-118529743-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,SIB,0
5462311,CN-111477954-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,"LIB,LMB,Other",1
5462311,EP-3771011-A3,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,KR-20110018348-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,US-11777282-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,-1
5462311,CN-117776149-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,SIB,0
5462311,JP-2012176866-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,JP-6933931-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,US-2024415033-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,KR-20240178517-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,CN-111971842-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-106252083-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,US-2021257665-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-116005055-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,US-2012094825-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,US-2017062808-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2010269893-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,CN-115692856-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,US-7951494-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,KR-101916712-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-114976081-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,US-11532807-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-7312000-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-6194067-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2022255072-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,DE-102008030659-B4,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,-1
5462311,EP-3629413-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-109148843-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-115863771-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-110911665-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2022131148-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-116199193-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,0
5462311,CN-116314895-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,CN-112038612-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,JP-6752552-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,MIB,1
5462311,US-2022216513-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-114927672-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,EP-3771011-A2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2022352537-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,-1
5462311,CN-107204485-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,KR-20240156591-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,ZIB,0
5462311,US-5563765-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,US-10811678-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-106432608-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-111226332-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2021376310-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,JP-6380608-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,EP-3559008-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,US-10497973-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,0
5462311,JP-2009280918-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-113745654-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,1
5462311,CN-118841633-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,KR-20190100952-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-118754103-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,SIB,0
5462311,CN-111009647-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,KR-20240035589-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2020028208-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,0
5462311,CN-116231073-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,CN-111082038-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,1
5462311,US-9719954-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-112164799-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2022223915-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,KR-102398467-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,KR-20130119922-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,US-11411248-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2011151340-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2022250937-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,JP-2006139930-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,US-2015140427-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-7045242-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,EP-0402514-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,US-6509120-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,WO-2024172102-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,-1
5462311,CN-111937190-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-117423897-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,0
5462311,CN-118315657-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LMB,1
5462311,US-2022246917-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,EP-1538686-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-9362555-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-110010884-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,SIB,0
5462311,KR-101318482-B1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,ES-2600647-T3,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,-1
5462311,CN-110838584-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,KR-20170113601-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,US-10680243-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-8506852-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-2010209780-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,"LIB,LMB",1
5462311,CN-118352643-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-119278528-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,MIB,1
5462311,CN-116253751-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-109493991-B,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,0
5462311,CN-117175019-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,WO-2023162716-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,CN-109545563-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,Other,1
5462311,JP-6955876-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-114573614-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,US-2022069354-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,MIB,0
5462311,EP-1160268-A1,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
5462311,US-11228057-B2,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,1
5462311,CN-115882071-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,SIB,1
5462311,CN-115832420-A,patent,B,[B],00000371020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,11.0093052,1,LIB,0
