cid,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
2773334,C7H8BClO2,B(C1=C(C=C(C=C1)C)Cl)(O)O,00000371C2603000040000000000000000000000000000000000300000000000000000010000281802000800000C028018203200800000008002204200000200002005000888000002880820228113108020002080000888070080000E00000020000000000000004000000000000000000000,40.5,170.0305874,11.0,['LIB'],0
2734315,C12H11BO2,B(C1=CC(=CC=C1)C2=CC=CC=C2)(O)O,00000371C2703000000000000000000000000000000000000000306000000000000000014000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080C00E80000000000000000000000000000000000000000000,40.5,198.0852098,15.0,['MIB'],0
3864964,C13H19BO2,B1(OC(C(O1)(C)C)(C)C)CC2=CC=CC=C2,00000371E2703000000000000000000000000000000120000000300000000000000000010000281A00000000000C448098003200800000008002204200000200002000000888000000880920228011108020002080000888070080000E80000000000000000000000000000000000000000000,18.5,218.14781,16.0,"['LIB', 'LMB']",1
2734388,C7H6BF3O2,B(C1=CC(=CC=C1)C(F)(F)F)(O)O,0000037182603180000000000000000000000000000000000000300000000000000000010000281900000800000C008018103000800000008002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,40.5,190.0412941,13.0,['Other'],0
2773315,C7H6BNO6,B(C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O)(O)O,0000037182623800000000000000000000000000000000000000300000000000000000010000281E00040800000C0881980030C880104200890224D24B00820000240200208801006CCA08263280959180710064C00108D987BCC8208E00000040000000000000008000000000000000000000,124.0,211.0288171,15.0,['LIB'],0
46856373,C9H18BNO4,B([C@@H]1CCCN1C(=O)OC(C)(C)C)(O)O,00000371E2723800000000000000000000000000000160000000000000000000000000000000281E00000800000C44C180040208030004000800000018000000000000000000000800000000000080000C00000006008000000000000000000000000000000000000000000000000000000000,70.0,215.1328882,15.0,['LIB'],1
78020,C9H27BO3Si3,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000810100000400000000000004200000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,278.1361045,16.0,"['MIB', 'LMB', 'LIB', 'ZIB', 'SIB', 'Other']",1
6918572,C9H19BN2O3,B([C@@H]1CCCN1C(=O)[C@H](C(C)C)N)(O)O,00000371E2733000000000000000000000000000000160000000000000000000000000000000281E00100800000D28C180040200034000000800011010000000000000000000818800000040100080001400000016008000000000000800000000000000000000000000000000000000000000,86.8,214.1488726,15.0,"['Other', 'LIB']",1
2734351,C8H11BO3,B(C1=CC=C(C=C1)OCC)(O)O,00000371C2703000000000000000000000000000000000000000300000000000000000010000281A00000800000804A090023206800004008000204200000208002020000888000608880C262284311A823820A4C01108A8078040000000000000000000000000000000000000000000000000,49.7,166.0801244,12.0,['Other'],0
591073,C7H7BO3,B(C1=CC=C(C=C1)C=O)(O)O,0000037182603000000000000000000000000000000000000000300000000000000000010000281A00000800000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888008E00000000000000000000000000000000000000000000,57.5,150.0488242,11.0,['LIB'],1
61766,B2O4Pb,B(=O)[O-].B(=O)[O-].[Pb+2],00000371030038000000000000000000400000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,80.3,293.97492,7.0,['Other'],0
2734395,C4H11BO2,B(CC(C)C)(O)O,00000371C2603000000000000000000000000000000000000000000000000000000000000000281800000800000D008000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,102.0852098,7.0,"['Other', 'LIB', 'LMB']",1
570673,C12H17BO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2,00000371E2703000000000000000000000000000000120000000300000000000000000010000281A00000000000C448090003200800000008000204200000200002000000888000000880920228011108020002080000888070000000880000000000000000000000000000000000000000000,18.5,204.1321599,15.0,"['Other', 'LMB', 'LIB']",1
2734374,C5H7BO2S,B(C1=CC=C(S1)C)(O)O,0000037182603000400000000000000000000000000120000000000000000000000000018000281804000800000800805000320180000008840020420000030080200810488818000088082022A011108000002080002888060000000000000000000000000000000000000000000000000000,68.7,142.0259808,9.0,['LIB'],1
