cid,smiles
3697076,B1(OC(C(O1)(C)C)(C)C)C2=CCC3(CC2)OCCO3
3699568,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2[N+](=O)[O-]
3822087,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C(=O)OC(C)(C)C
3834834,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2CBr
3868489,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)S(=O)(=O)N(C)C
4115352,B1(OC(C(O1)(C)C)(C)C)C(=CC(=O)OC)CCCCC
4141519,[B-]1(OC2=CC=CC=C2C=[O+]1)(C3=CC=CC=C3)C4=CC=CC=C4
4226419,B(OC1=CC=C(C=C1)C)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C
4438527,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F
4642098,B1(OC(C(O1)(C)C)(C)C)C2=CCN(CC2)C(=O)OC(C)(C)C
4992640,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2)C=O
5326085,B(C1=CC=CC=C1)(OCC)OCC
5326254,B(N(CC)CC)(N(CC)CC)N(CC)CC
6420914,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CCCN(C)C
9849825,B1(OB(OB(O1)C2=CC=C(C=C2)OC(C)(C)C)C3=CC=C(C=C3)OC(C)(C)C)C4=CC=C(C=C4)OC(C)(C)C
9993953,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)Br
10130356,B1(OC(C(O1)(C)C)(C)C)C(=C(C)C)C
10378363,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC=C2Cl)OC
10489716,B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC=C2C)C
10658979,B1(OC(C(O1)(C)C)(C)C)C2=CSC3=CC=CC=C23
10703628,B1(OC(C(O1)(C)C)(C)C)C2=CC=CS2
10755376,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)Br
10867233,B1(OC(C(O1)(C)C)(C)C)C2=CCOC2
10876447,B(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)(C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F)C5=C(C6=C(C(=C5F)F)C(=C(C(=C6F)F)F)F)F
10977322,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2C=O
10987217,B1(OC(C(O1)(C)C)(C)C)CCCCC
10997426,B1(OC(C(O1)(C)C)(C)C)C(=C)C
