id,label
70100,1
76100,1
8100,1
76011,1
28,1
28001,1
70000,1
8011,1
28100,1
70011,1
8,1
8001,1
76000,1
28010,1
76001,1
28011,1
8010,1
70,1
76,1
70001,1
28000,1
70010,1
8000,1
89000,1
76010,1
43001,2
43,2
1001,2
1,2
27011,2
22001,2
43011,2
43100,2
22,2
27,2
27001,2
22100,2
117001,2
117011,2
117,2
64011,2
19001,2
64,2
1010,2
27100,2
64001,2
64100,2
19,2
117100,2
1011,2
99,3
17,3
17001,3
99001,3
99000,3
63001,3
46001,3
125,3
119,3
63,3
123,3
119001,3
68001,3
123001,3
90,3
125001,3
108001,3
108,3
93,3
46,3
99010,3
68,3
90001,3
46000,3
93001,3
77001,4
56011,4
94100,4
75001,4
56001,4
75,4
56,4
77,4
77011,4
56010,4
94001,4
94,4
75011,4
75010,4
94010,4
122010,4
56000,4
75000,4
77000,4
45001,4
45,4
56100,4
77010,4
94000,4
94011,4
52,5
52000,5
52001,5
52011,5
67000,5
67,5
8001,5
52100,5
67011,5
8,5
105001,5
70,5
76,5
70001,5
107100,5
28001,5
105,5
28000,5
89001,5
105100,5
76001,5
89000,5
67100,5
105000,5
89,5
24,6
24001,6
24011,6
87000,6
24100,6
87,6
87011,6
87001,6
24000,6
24010,6
87100,6
87010,6
2001,6
2000,6
2,6
0,6
1,6
0,6
21000,6
7010,6
79,6
11,6
21,6
106011,6
2011,6
23011,7
107000,7
49100,7
89010,7
23010,7
89011,7
121000,7
23100,7
107011,7
121011,7
18000,7
23001,7
49011,7
121010,7
23,7
121100,7
49001,7
121,7
18011,7
89100,7
121001,7
49010,7
18001,7
49,7
89001,7
57010,8
44011,8
44010,8
35011,8
11011,8
96010,8
96001,8
21100,8
35010,8
96,8
21010,8
96100,8
57011,8
58011,8
41011,8
58010,8
41010,8
11010,8
41001,8
96011,8
58000,8
57,8
58,8
41,8
58001,8
87100,9
87011,9
87,9
87001,9
87010,9
38011,9
38,9
38001,9
7010,9
38100,9
5011,9
38010,9
60011,9
21011,9
7011,9
21000,9
