epoch,mean_drift,std_drift
2,0.0012534928,8.1545855e-05
3,0.0013205747,9.466412e-05
4,0.0013385438,9.330683e-05
5,0.0013531507,8.967392e-05
6,0.0013614467,8.461885e-05
7,0.001371227,7.9290774e-05
8,0.001379411,7.53937e-05
9,0.0013859572,7.277217e-05
10,0.0013871461,7.060258e-05
11,0.0013915531,6.927339e-05
12,0.0013932027,6.620207e-05
13,0.0013943361,6.755454e-05
14,0.0013927001,6.825276e-05
15,0.0013948118,6.783936e-05
16,0.0013940342,6.626386e-05
17,0.0013975458,6.5427805e-05
18,0.0013949765,6.641968e-05
19,0.0013967179,6.5695705e-05
20,0.0013966556,6.2711246e-05
21,0.0013983108,6.291845e-05
22,0.0013977729,6.287606e-05
23,0.0013970028,6.428524e-05
24,0.0013981705,6.1656305e-05
25,0.0014006986,6.807759e-05
26,0.0014002563,6.849319e-05
27,0.0014036477,6.8421105e-05
28,0.0014056318,6.9844944e-05
29,0.0014127444,6.959178e-05
30,0.0014179262,6.961214e-05
31,0.00142391,7.155999e-05
32,0.0014293015,6.969243e-05
33,0.0014324009,6.941241e-05
34,0.001434874,6.820341e-05
35,0.0014363129,6.830526e-05
36,0.0014371207,6.485224e-05
37,0.0014399545,6.178472e-05
38,0.0014399907,6.098813e-05
39,0.0014390718,5.8767495e-05
40,0.0014370971,5.8058435e-05
41,0.001432212,5.7567013e-05
42,0.0014305398,6.024713e-05
43,0.0014334018,6.1123596e-05
44,0.0014380375,6.344318e-05
45,0.001439742,6.237127e-05
46,0.0014386857,6.093936e-05
47,0.0014399462,5.790639e-05
48,0.0014382688,5.2861727e-05
49,0.0014411582,4.620348e-05
50,0.0014420605,4.0244864e-05
51,0.0014416254,3.811674e-05
52,0.0014416099,3.7573314e-05
53,0.0014416146,3.585146e-05
54,0.001438439,3.5783494e-05
55,0.0014395056,3.4068373e-05
56,0.0014377718,3.606921e-05
57,0.0014412429,3.7425252e-05
58,0.0014397928,4.101429e-05
59,0.0014382668,4.1642244e-05
60,0.0014347599,4.3493772e-05
61,0.0014304797,4.450531e-05
62,0.001431863,4.296101e-05
63,0.0014284485,4.3424694e-05
64,0.0014264022,4.5163626e-05
65,0.0014273326,4.5490164e-05
66,0.0014279718,4.721397e-05
67,0.0014257731,5.3077634e-05
68,0.0014253194,4.9744296e-05
69,0.0014242565,5.247698e-05
70,0.0014252856,4.980786e-05
71,0.0014234028,5.0726754e-05
72,0.0014203948,4.918526e-05
73,0.001415988,4.923321e-05
74,0.0014169057,4.5070654e-05
75,0.0014194319,4.4720848e-05
76,0.0014225959,4.2699114e-05
