epoch,mean_drift,std_drift
77,0.0014273112,4.2566066e-05
78,0.0014270352,4.2093096e-05
79,0.0014239107,4.4371198e-05
80,0.0014209596,4.6809007e-05
81,0.0014190789,5.2918014e-05
82,0.0014161982,6.0528873e-05
83,0.0014099935,6.720472e-05
84,0.0014061681,6.226706e-05
85,0.0013996136,6.0976043e-05
86,0.0013978486,5.9145448e-05
87,0.0013965294,6.3893625e-05
88,0.0013931132,6.5786255e-05
89,0.0013897612,6.662913e-05
90,0.0013899346,6.8193905e-05
91,0.0013903284,6.739343e-05
92,0.0013794791,6.537336e-05
93,0.0013800765,6.0593295e-05
94,0.0013873519,6.0154824e-05
95,0.0013888988,5.940325e-05
96,0.001387957,6.0514496e-05
97,0.0013857328,6.361566e-05
98,0.0013838361,6.683929e-05
99,0.0013831998,6.4492626e-05
100,0.0013817264,6.0845607e-05
101,0.0013795367,5.9060763e-05
102,0.001376007,6.0648235e-05
103,0.0013753237,5.82616e-05
104,0.0013724375,5.905051e-05
105,0.0013711553,5.3954653e-05
106,0.0013703334,5.1166888e-05
107,0.0013710537,4.9423415e-05
108,0.0013720061,5.407661e-05
109,0.0013718995,4.800591e-05
110,0.001378238,4.5555895e-05
111,0.0013757314,5.049965e-05
112,0.0013717602,5.217699e-05
113,0.0013701507,5.792349e-05
114,0.0013684097,5.802144e-05
115,0.0013636993,5.193634e-05
116,0.0013588986,5.180588e-05
117,0.0013558212,5.053783e-05
118,0.0013531653,4.791477e-05
119,0.0013501507,4.8734975e-05
120,0.0013439802,4.847608e-05
121,0.0013378055,4.9644805e-05
122,0.0013353067,5.1599014e-05
123,0.0013364975,4.785088e-05
124,0.0013361488,4.8884154e-05
125,0.0013328241,5.380094e-05
126,0.0013345046,5.150799e-05
127,0.0013297809,4.8032427e-05
128,0.0013192093,4.8272515e-05
129,0.0013188075,4.7770765e-05
130,0.0013182779,4.9860195e-05
131,0.0013159346,5.3320226e-05
132,0.0013123068,5.5648787e-05
133,0.0013128348,5.6210236e-05
134,0.0013150943,5.696758e-05
135,0.0013127177,5.8065965e-05
136,0.0013104888,5.9546936e-05
137,0.0013103844,6.164998e-05
138,0.0013147511,5.8714977e-05
139,0.0013152163,5.4517703e-05
140,0.0013170717,5.3659078e-05
141,0.0013176454,4.8513502e-05
142,0.0013208629,5.4566313e-05
143,0.001316815,5.393676e-05
144,0.0013155255,6.1039296e-05
145,0.001318478,6.4497755e-05
146,0.0013221086,6.22142e-05
147,0.0013310815,6.153768e-05
148,0.0013320702,6.677436e-05
149,0.0013328374,6.991668e-05
150,0.0013297918,6.504391e-05
151,0.0013214218,5.971076e-05
152,0.0013142785,5.6205346e-05
153,0.0013144282,5.4172775e-05
154,0.0013136115,5.47237e-05
155,0.0013119492,5.3521697e-05
156,0.00131193,5.2427567e-05
157,0.0013085207,5.0727216e-05
158,0.0013034001,4.8218026e-05
159,0.0013034525,4.7698206e-05
160,0.0012992033,4.8529055e-05
161,0.0012971528,4.3879492e-05
162,0.001293033,4.123999e-05
163,0.0012914224,4.0703853e-05
164,0.001288739,4.1225427e-05
165,0.0012853072,4.2686297e-05
166,0.0012820226,4.0322368e-05
167,0.0012784965,4.066694e-05
168,0.0012774293,4.0921845e-05
169,0.0012739548,4.5728724e-05
170,0.0012819604,5.560369e-05
171,0.0012812626,5.3984484e-05
172,0.0012790425,5.119498e-05
173,0.0012789698,4.9490925e-05
174,0.0012775429,4.5618435e-05
175,0.0012758786,4.871772e-05
176,0.0012754429,4.5316654e-05
177,0.001274748,4.6595524e-05
178,0.0012685369,4.222168e-05
179,0.0012678442,4.201943e-05
180,0.0012651093,4.3501568e-05
181,0.0012643649,4.5952704e-05
182,0.0012669982,4.4016873e-05
183,0.0012651789,4.4191638e-05
184,0.0012633383,4.379418e-05
185,0.0012602604,4.021818e-05
186,0.0012595581,3.8062226e-05
187,0.001262499,4.349588e-05
188,0.0012678287,4.7132326e-05
189,0.0012704919,5.24455e-05
190,0.0012698843,5.5362416e-05
191,0.0012709697,5.395072e-05
192,0.0012757626,5.5036344e-05
193,0.0012737105,5.5444507e-05
194,0.0012750422,5.761921e-05
195,0.0012772046,5.8797963e-05
196,0.0012807171,6.1460014e-05
197,0.0012762093,5.8898557e-05
198,0.0012734736,5.5889028e-05
199,0.0012728448,6.0550276e-05
200,0.0012768253,6.504652e-05
201,0.0012717342,6.085169e-05
202,0.0012706099,6.201449e-05
203,0.001270263,6.0636725e-05
204,0.0012631895,5.595176e-05
205,0.0012640182,6.0433133e-05
206,0.0012614337,6.253283e-05
207,0.0012600711,6.581171e-05
208,0.0012561157,7.116828e-05
209,0.0012523658,7.167497e-05
210,0.0012482571,7.1579045e-05
211,0.0012461811,6.87916e-05
212,0.0012441563,6.6595916e-05
213,0.0012416824,6.83007e-05
214,0.0012405028,6.836778e-05
215,0.0012319267,7.0240574e-05
216,0.0012294226,7.3692e-05
217,0.001231394,7.36723e-05
218,0.0012324053,7.051272e-05
219,0.0012337344,7.2629075e-05
220,0.0012314757,7.3687304e-05
221,0.0012320315,7.628721e-05
222,0.0012345302,8.243044e-05
223,0.0012348269,7.85919e-05
224,0.0012285417,7.4400334e-05
225,0.0012287033,7.79399e-05
226,0.0012257175,7.9353296e-05
227,0.0012197361,7.846218e-05
228,0.0012154832,7.9295554e-05
229,0.0012114325,7.934075e-05
230,0.0011998853,7.102776e-05
231,0.0011893304,7.040999e-05
232,0.0011866974,6.962024e-05
233,0.0011856371,7.0425114e-05
234,0.0011882945,6.654508e-05
235,0.0011928475,5.485283e-05
236,0.0011964145,5.2130814e-05
237,0.0011943532,5.1643146e-05
238,0.0011976042,4.9243583e-05
239,0.0011995296,4.710697e-05
240,0.0011983208,4.554315e-05
241,0.0011965852,4.644289e-05
242,0.0011967645,4.5353758e-05
243,0.0011964418,4.789637e-05
244,0.0012011549,4.922708e-05
245,0.0012117362,7.111841e-05
246,0.0012085018,6.013073e-05
247,0.0012082551,6.0450406e-05
248,0.0012041142,6.2759995e-05
249,0.001202739,5.837808e-05
250,0.0012016862,5.755928e-05
251,0.0012045058,5.9071772e-05
252,0.0012000927,5.9295533e-05
253,0.0011980735,6.428032e-05
254,0.0011908944,6.370506e-05
255,0.0011871874,6.026464e-05
256,0.0011995758,6.1368206e-05
257,0.0012149385,7.01285e-05
258,0.0012132277,6.274585e-05
259,0.0012090657,6.071635e-05
260,0.0012101631,5.5275963e-05
261,0.0012091002,5.2251016e-05
262,0.0012115601,4.945109e-05
263,0.0012082903,5.5338045e-05
264,0.0012179498,6.1599785e-05
265,0.0012173738,6.84061e-05
266,0.0012122848,6.597557e-05
267,0.0012126225,6.190899e-05
268,0.0012102199,6.236219e-05
269,0.0012050759,6.2576066e-05
270,0.0012039836,5.886325e-05
271,0.0012092242,5.6973797e-05
272,0.0012069031,5.002153e-05
273,0.0012073226,4.90021e-05
274,0.0012099423,4.890259e-05
275,0.0012050753,4.9508788e-05
276,0.0011979614,4.359634e-05
277,0.0011915959,4.6325353e-05
278,0.0011916017,4.8268277e-05
279,0.0011880174,4.8934042e-05
280,0.0011879153,4.996558e-05
281,0.00118842,5.2281124e-05
282,0.001187771,4.8379363e-05
283,0.0011826716,4.6364614e-05
284,0.0011856041,4.2978274e-05
285,0.0011882526,4.395753e-05
286,0.0011918958,4.3898108e-05
287,0.0011914725,3.737587e-05
288,0.001186087,4.0373106e-05
289,0.0011951928,4.647711e-05
290,0.0011959116,5.2116207e-05
291,0.0011940819,5.0967617e-05
292,0.0011948289,5.075833e-05
293,0.0012000062,5.3325777e-05
294,0.0011973425,5.899378e-05
295,0.0012041724,5.8110592e-05
296,0.00120355,5.2077492e-05
297,0.001205499,5.154265e-05
298,0.0012134786,5.4906275e-05
299,0.0012090813,5.608141e-05
300,0.0012059816,5.70589e-05
