similarity,random,model,proto_1,proto_0,proto_2,proto_3,proto_6,proto_4,proto_5
-0.010404862463474274,0.0018860578885126073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.008462151451815936,0.002139552616290369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.006519440440157601,0.002424224118002646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.004576729428499265,0.0027434237454747367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0026340184168409282,0.00310072175443361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.000691307405182591,0.0034998956876051033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012514036064757445,0.003944916026366883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00319411461813408,0.004439929486278075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005136825629792417,0.004989240393371892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0070795366414507545,0.005597290643796912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009022247653109092,0.006268638825532838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010964958664767425,0.007007939170472175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012907669676425763,0.007819921106040236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0148503806880841,0.008709370279343967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016793091699742434,0.009681112018747195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01873580271140077,0.01073999825730913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020678513723059108,0.01189089894570003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022621224734717442,0.013138698904542783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024563935746375783,0.014488300886497666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026506646758034116,0.015944635323139333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028449357769692457,0.017512676818461245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03039206878135079,0.019197466931813047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032334779793009125,0.021004142196549076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034277490804667465,0.022937965691140663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0362202018163258,0.025004359875606938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03816291282798413,0.027208937896465554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040105623839642474,0.029557530220643117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04204833485130081,0.03205620335207536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04399104586295914,0.03471126757155336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04593375687461748,0.03752927115825415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047876467886275816,0.04051697941052773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049819178897934156,0.04368133796126678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05176188990959249,0.04702942132107682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05370460092125083,0.050568369186530765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05564731193290916,0.054305314695387005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0575900229445675,0.058247310346153186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05953273395622584,0.06240125856288756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.061475444967884166,0.06677385471536906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0634181559795425,0.07137155065308926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06536086699120085,0.0762005463639332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06730357800285919,0.08126681615620152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06924628901451751,0.08657617377565688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07118900002617586,0.0921343781645049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0731317110378342,0.09794727827395577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07507442204949252,0.10402099165146919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07701713306115086,0.11036210769227357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0789598440728092,0.11697790277080265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08090255508446753,0.12387655127385673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08284526609612587,0.13106731416564044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08478797710778421,0.1385606854201489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08673068811944254,0.14636847669905523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08867339913110088,0.1545038221936928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09061611014275922,0.1629810886472672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09255882115441755,0.1718156801715001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09450153216607589,0.18102373339054342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09644424317773423,0.19062170538395595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09838695418939256,0.2006258644505405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1003296652010509,0.21105170138057724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10227237621270924,0.2219132861540555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10421508722436758,0.23322260120819946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1061577982360259,0.24498888709538186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10810050924768425,0.2572180390088072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11004322025934259,0.2699120929273096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11198593127100091,0.28306883781166814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11392864228265925,0.2966815853414194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11587135329431758,0.31073912127623143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11781406430597594,0.3252258530195851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11975677531763426,0.3401221568966759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12169948632929259,0.35540491672609725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12364219734095094,0.37104823326461056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12558490835260927,0.387024272882266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1275276193642676,0.4033042142096847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12947033037592595,0.4198592442326232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13141304138758428,0.436661550984103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1333557523992426,0.4536852589893468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13529846341090096,0.4709072560999779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1372411744225593,0.4883078661959832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1391838854342176,0.5058713310643113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14112659644587597,0.5235860759791054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1430693074575343,0.5414447463249442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14501201846919265,0.5594440161178297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14695472948085098,0.5775841825418052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1488974404925093,0.5958685727202558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15084015150416766,0.6143027990752985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15278286251582598,0.6328939071625433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1547255735274843,0.6516494643810227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15666828453914267,0.6705766392683306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.158610995550801,0.6896813192549079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16055370656245932,0.7089673100493601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16249641757411767,0.7284356527190702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.164439128585776,0.7480840856180013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16638183959743433,0.767906668277001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16832455060909268,0.7878935739199303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.170267261620751,0.8080310470887159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17220997263240934,0.8283015135744592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1741526836440677,0.8486838219868101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17609539465572602,0.8691535902604502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17803810566738434,0.8896836264748008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1799808166790427,0.9102443916966362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18192352769070103,0.9308044731550725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18386623870235935,0.9513310388030597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1858089497140177,0.9717902489647519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18775166072567603,0.9921476069554471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18969437173733436,1.0123682378331416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19163708274899272,1.0324170922658893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19357979376065104,1.0522590802931164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19552250477230937,1.071859146927187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19746521578396772,1.091182307516135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19940792679562605,1.1101936650774387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20135063780728438,1.1288584340423617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20329334881894273,1.1471419948066752,0.0,0.0,0.0,0.0,0.0,3.1e-322,0.0,0.0
0.20523605983060106,1.1650100011401674,0.0,0.0,0.0,0.0,0.0,8.2414e-319,0.0,0.0
0.20717877084225939,1.1824285580371616,0.0,0.0,0.0,0.0,0.0,2.09295711e-315,0.0,0.0
0.20912148185391774,1.1993644813598678,0.0,0.0,0.0,0.0,0.0,5.094656446054e-312,0.0,0.0
0.21106419286557607,1.2157856431680307,0.0,0.0,0.0,0.0,0.0,1.188692174647572e-308,0.0,0.0
0.21300690387723442,1.2316613985933684,0.0,0.0,0.0,0.0,0.0,2.6584218223682846e-305,0.0,0.0
0.21494961488889275,1.2469630822168478,0.0,0.0,0.0,0.0,0.0,5.698734645380163e-302,0.0,0.0
0.21689232590055108,1.2616645548389904,0.0,0.0,0.0,0.0,0.0,1.1709358237788214e-298,0.0,0.0
