molecule_id,prototypes,molecule_name,UMAP_x,UMAP_y
92001,6,[],-9.386991,1.3609917
12010,6,[],-8.893409,0.99235195
24010,6,[],-10.901471,8.305045
95010,6,[],-10.328895,8.375013
66010,6,[],-10.614784,8.605072
83010,6,[],-9.037918,1.2703532
43010,6,[],-10.70248,7.9710073
98010,6,[],-9.032709,1.3546164
6010,6,[],-10.9452,8.376576
14010,6,[],-9.314395,1.352723
92010,6,[],-9.306303,1.417439
12011,6,[],-9.5333395,1.3138279
24011,6,[],-10.7936,8.202308
30011,6,[],-10.642689,7.9699583
95011,6,[],-10.968205,8.376779
66011,6,[],-10.350992,8.413297
83011,6,[],-9.4835,1.009549
43011,6,[],-10.681042,7.966082
98011,6,[],-9.036074,0.7000888
6011,6,[],-11.040425,8.434077
32011,6,[],-9.082053,0.6411188
14011,6,[],-9.504374,1.1189421
92011,6,[],-9.475566,1.1530643
12100,6,[],-9.571929,1.1110299
24100,6,[],-10.504974,8.23143
95100,6,[],-11.002115,8.484226
66100,6,[],-10.015799,8.533135
83100,6,[],-9.328557,0.8561232
43100,6,[],-10.616315,8.049434
6100,6,[],-10.984883,8.566066
32100,6,[],-8.997565,0.7599812
59100,6,[],-8.954137,0.79077625
14100,6,[],-9.5466585,1.0054355
19,6,['C-LiMCFB'],-10.862837,8.545613
116,6,['DiOB-An'],-8.752834,1.2445062
104,6,['DPD-COOCH2CH3'],-8.915939,1.4031668
10,6,['ITD'],-9.926642,8.575611
19000,6,[],-10.841708,8.513554
104000,6,[],-8.7797365,1.3011227
10000,6,[],-9.914813,8.579356
19001,6,[],-10.914899,8.521882
116001,6,[],-8.659964,1.163856
104001,6,[],-8.982319,1.1829153
10001,6,[],-9.890952,8.579588
19010,6,[],-10.957975,8.53346
116010,6,[],-8.776592,1.3394401
104010,6,[],-8.803312,1.351295
19011,6,[],-11.093805,8.472844
116011,6,[],-8.834302,1.4084626
104011,6,[],-9.15201,1.4984448
10011,6,[],-9.876549,8.5746
19100,6,[],-10.77627,8.481894
10100,6,[],-9.855705,8.528419
27,7,['TnPBx'],1.1138406,-9.108107
47,7,['BF3·DE'],0.33336493,-7.570939
22,7,['TME'],0.9211869,-8.83974
64,7,['TPB'],0.84232414,-8.711211
120,7,['BF₃·DE'],0.36906135,-7.580227
16,7,['TiPBx'],0.6082467,-8.150208
72,7,['TAB'],0.60763544,-7.818377
79,7,['TMB'],1.5598506,-9.325988
48,7,['BPC'],1.3909484,-7.767669
29,7,['LBC'],1.3837143,-7.747006
1,7,['TCEB'],0.89729,-8.6881485
2,7,['TMBx'],1.1424373,-9.084994
114,7,['TBB'],0.891111,-8.710818
20,7,['L-LiMCFB'],1.4415112,-7.7751446
27000,7,[],1.3204381,-9.169354
47000,7,[],0.46852913,-7.916829
22000,7,[],0.88739216,-8.881481
64000,7,[],0.85089946,-8.790983
120000,7,[],0.36892587,-7.565169
16000,7,[],0.5227495,-8.095046
72000,7,[],0.5781379,-7.8813844
79000,7,[],1.5407434,-9.294836
48000,7,[],1.2885122,-7.643254
29000,7,[],1.3740015,-7.690279
1000,7,[],0.7427568,-8.421792
2000,7,[],1.09903,-9.026804
114000,7,[],0.9341032,-8.883117
20000,7,[],1.4306961,-7.840964
27001,7,[],1.1095501,-9.058577
47001,7,[],0.38897213,-7.5708017
22001,7,[],0.877481,-8.896451
64001,7,[],0.91760457,-8.800614
120001,7,[],0.33327913,-7.5091305
16001,7,[],0.52094096,-8.12529
72001,7,[],0.5738954,-7.817786
79001,7,[],1.6359696,-9.391492
48001,7,[],1.4807643,-7.809938
29001,7,[],1.4125193,-7.7600856
1001,7,[],1.1586105,-8.7920475
2001,7,[],1.420942,-9.11946
114001,7,[],1.1240195,-8.744251
20001,7,[],1.5642971,-7.871455
27010,7,[],1.3957418,-9.067444
22010,7,[],0.79091346,-8.326181
64010,7,[],0.82969916,-8.233165
