molecule_id,prototypes,molecule_name,UMAP_x,UMAP_y
109,0,['4FLBDOB'],10.947377,-6.469564
62,0,['LiBMSB'],10.422334,-8.184841
115,0,['LiBClSB'],10.8313875,-7.7699656
34,0,['DCLBSB'],11.267156,-7.1330695
3,0,['PFPBO'],10.9753,-6.453381
54,0,['PFPTFBB'],12.0876465,-7.7653775
122,0,['LiBCl2SB'],11.398829,-7.1270823
75,0,['TPF'],12.34912,-7.934346
23,0,['LiBFSB'],10.454507,-8.150463
51,0,['LiBBrSB'],11.019561,-7.5334196
62000,0,[],10.436905,-8.169261
115000,0,[],10.712192,-7.899214
34000,0,[],11.4998665,-7.2203774
3000,0,[],10.992679,-6.965216
54000,0,[],12.152021,-7.7608657
85000,0,[],10.541482,-8.0632305
122000,0,[],11.32106,-7.07057
75000,0,[],12.330019,-7.9217124
23000,0,[],10.443522,-8.162482
51000,0,[],11.246508,-7.2034516
109001,0,[],10.965306,-6.4997697
62001,0,[],10.493202,-8.11372
115001,0,[],10.716501,-7.8609176
34001,0,[],11.230272,-7.2126293
3001,0,[],10.966559,-6.4776626
54001,0,[],12.154237,-7.81261
122001,0,[],11.373008,-7.113135
75001,0,[],12.4348345,-7.9922547
23001,0,[],10.476157,-8.132701
51001,0,[],10.96426,-7.638214
109010,0,[],11.204814,-6.8591213
115010,0,[],11.011748,-7.655955
34010,0,[],11.276649,-6.8455954
54010,0,[],11.841475,-7.8220367
122010,0,[],11.209538,-6.8187785
75010,0,[],12.493475,-8.02616
51010,0,[],10.9224,-7.7259865
109011,0,[],11.170635,-6.884968
115011,0,[],10.623538,-7.9788423
34011,0,[],11.123496,-7.183019
54011,0,[],12.041691,-7.7888236
122011,0,[],11.443564,-7.180799
75011,0,[],12.513587,-8.057399
23011,0,[],10.537595,-8.068187
51011,0,[],10.956622,-7.6575556
109100,0,[],10.939638,-6.4459343
115100,0,[],10.621264,-7.9923167
34100,0,[],11.207453,-7.2181673
54100,0,[],11.270064,-7.746446
122100,0,[],11.160446,-6.694092
75100,0,[],13.149262,-8.504089
51100,0,[],10.593744,-8.027792
94,0,['TCLBSB'],11.2629795,-6.988216
77,0,['TFPB'],12.756373,-8.155847
45,0,['TFPBO'],12.793067,-8.199755
56,0,['TPFPB'],12.751487,-8.153573
94000,0,[],11.155778,-6.7304463
77000,0,[],12.701083,-8.105603
45000,0,[],13.138507,-8.487334
56000,0,[],12.822434,-8.214116
94001,0,[],11.277068,-6.976881
77001,0,[],12.778805,-8.203456
45001,0,[],12.838531,-8.244907
56001,0,[],12.763096,-8.152622
94010,0,[],11.328708,-6.8904004
77010,0,[],13.091313,-8.452921
45010,0,[],13.108655,-8.505037
56010,0,[],13.016545,-8.3892145
94011,0,[],11.270759,-6.7863708
77011,0,[],12.845734,-8.242146
45011,0,[],12.882539,-8.280154
56011,0,[],12.91145,-8.298433
94100,0,[],11.254348,-7.0259666
77100,0,[],13.178757,-8.537934
45100,0,[],13.141131,-8.501745
56100,0,[],13.19361,-8.545366
12,1,['SOFPB'],-1.1443287,7.570589
95,1,['BDB'],-1.8110152,7.639909
66,1,['BEG-1'],-2.0247674,7.756118
83,1,['DPD-CN'],1.8216504,6.8590817
98,1,['DPD-CHO'],1.8113122,6.819404
6,1,['TBDB'],-1.4857769,7.292173
32,1,['DPD'],1.7633393,6.8397317
59,1,['DiOB-Py'],-0.27094793,7.668962
14,1,['DPD-CN-OCH3'],1.8612368,6.8172364
92,1,['DPD-F'],1.8460628,6.875242
12000,1,[],-1.2332443,7.3490124
95000,1,[],-1.8804259,7.640658
66000,1,[],-2.036582,7.766407
83000,1,[],1.8844022,6.7764206
98000,1,[],1.8460422,6.72136
32000,1,[],1.9155077,6.7681155
59000,1,[],-0.23494887,7.6909084
12001,1,[],-1.1887437,7.60695
95001,1,[],-1.9079214,7.661965
66001,1,[],-2.0860786,7.750851
83001,1,[],1.8717929,6.799169
98001,1,[],1.938453,6.661718
6001,1,[],-1.4600729,7.2924433
32001,1,[],1.6536797,7.0466332
59001,1,[],-0.29370758,7.6929746
14001,1,[],1.9478098,6.955674
92001,1,[],1.7204475,6.9073563
12010,1,[],-1.0914493,7.5162673
65010,1,[],1.2169405,6.8369107
95010,1,[],-2.0793543,7.643831
66010,1,[],-2.132588,7.7182913
98010,1,[],1.8508793,6.5481377
6010,1,[],-1.4434894,7.281228
14010,1,[],1.8274689,6.6804852
92010,1,[],-1.2723244,7.2745414
12011,1,[],-1.0091199,7.5305343
95011,1,[],-1.6269624,7.5312386
66011,1,[],-2.1006813,7.694197
83011,1,[],1.454229,7.0122027
98011,1,[],1.4054213,6.953267
6011,1,[],-1.537462,7.1348476
32011,1,[],1.4303434,7.087931
59011,1,[],-0.18608226,7.6849427
14011,1,[],1.5144302,6.958925
92011,1,[],1.5084237,6.941225
12100,1,[],-1.1591878,7.44231
65100,1,[],1.3293809,6.850975
95100,1,[],-2.140529,7.665698
66100,1,[],-2.1832922,7.7000175
83100,1,[],1.4964806,7.1358137
98100,1,[],1.2372358,6.829399
6100,1,[],-1.517424,7.4801683
32100,1,[],1.4382434,7.125929
59100,1,[],-0.28342307,7.7142963
14100,1,[],1.3644112,6.853626
92100,1,[],1.3746783,7.1349916
116,1,['DiOB-An'],-0.31891447,7.6578197
104,1,['DPD-COOCH2CH3'],1.821173,7.0926375
10,1,['ITD'],-2.0504093,7.7180586
0,1,['TMSB'],-1.319108,7.407158
116000,1,[],1.0686567,6.8378105
104000,1,[],1.8358271,7.074353
0,1,['TMSB'],-1.4083403,7.386748
116001,1,[],-0.36105266,7.657452
104001,1,[],1.9045576,7.098684
10001,1,[],-2.0163257,7.6782174
1,1,['TCEB'],-1.3593717,7.401687
116010,1,[],-0.3323049,7.697804
104010,1,[],1.6785469,7.167333
10,1,['ITD'],-1.3124028,7.2913847
116011,1,[],-0.21465598,7.705552
104011,1,[],1.4418051,7.016466
11,1,['LBO'],-1.3288125,7.210612
100,1,['PBA'],-1.3565506,7.3388605
