UMAP1,UMAP2,additives,SMILES
-2.606257,1.955147,(C6H3F)O2B(C7H4F3),Fc1cccc2c1OB(c3cccc(C(F)(F)F)c3)O2
-4.161645,2.485136,LiBBrSB,BrC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(Br)=C3O2)=O)C)=O)=CC=C1.[Li+]
-3.7411764,2.3088112,LBDCB,O=C1C(O[Li+]O2)=C2C3=C1O[B-]4(O3)OC5=CC=CC=C5O4
8.19875,3.4731505,(C6F12)O2B(C6F5),FC(C1(C(F)(F)F)OB(OC1(C(F)(F)F)C(F)(F)F)c2ccccc2)(F)F.[F]
-5.466925,6.6202054,PFPTFBB,B1(OC2=C(O1)C(=C(C(=C2F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F 
-2.5352228,2.0783143,(C6F4)O2B(C6F5),c1(B2Oc3c(O2)cccc3)ccccc1.[F].[F]
-3.7840855,0.99343807,TPFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
-6.8112545,3.1796339,LiBO2,[Li+].B([O-])([O-])[O-]
-6.8115296,3.1782901,TEB,[Li+].B([O-])([O-])[O-]
8.617876,3.607757,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C
-2.498076,1.7867013,(C6F4)O2B(C8H3F6),FC(c1c(B2Oc3c(O2)cccc3)cc(C(F)(F)F)cc1)(F)F.[F]
7.543181,-5.9638596,LDFOB,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F
-4.167717,2.4624906,LiBMSB,CC1=C([O])C(C(O[B-]2(OC(C3=CC=CC(C)=C3O2)=O)C)=O)=CC=C1.[Li+]
-4.519257,4.490941,B(HFIP)3,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
-4.4684777,5.6587076,TPB,B(OCCC)(OCCC)OCCC 
1.5094706,0.64904594,TMSPB,C[Si](C=1C=C(C=CC1)B(O)O)(C)C
-4.5945363,6.4687743,BEG-1,CC1(C(C)(OB(OCCCOB(OC2(C)C)OC(C)(C2(C)C)C)OC1(C)C)C)C
-4.2594423,2.5086615,LBCB,O=C1C(O[Li+]O2)=C2C3=C1O[B-]4(OC(C(C(C5=O)=O)=O)=C5O4)O3
-4.5212812,4.3885465,Na[B(hfip)4],FC(C(C(F)(F)F)O[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)(F)F.[Na+]
7.541571,-5.957492,NaDFOB,[Na+].O=C1O[B-](F)(F)OC1=O
-3.313904,2.2398174,LBDOB,[Li+].[B-]12(OC3=CC=CC=C3O1)OC4=CC=CC=C4O2
1.0549544,5.6981077,MDMB,C1(=C(C(=CC(=C1)C)C)B(OC)OC)C
