epoch,proto_1_mean_speed,proto_1_std_speed,proto_2_mean_speed,proto_2_std_speed,proto_3_mean_speed,proto_3_std_speed,proto_4_mean_speed,proto_4_std_speed,proto_5_mean_speed,proto_5_std_speed,proto_6_mean_speed,proto_6_std_speed,proto_7_mean_speed,proto_7_std_speed,proto_8_mean_speed,proto_8_std_speed,proto_9_mean_speed,proto_9_std_speed,proto_10_mean_speed,proto_10_std_speed
2,0.0012449995,0.00013453944,0.0012588133,0.0001609891,0.0011882486,0.00021906786,0.0012994924,0.00019837328,0.0012477508,0.0001795031,0.001112439,0.00011817891,0.0009322792,9.5413845e-05,0.0011151412,0.00023217742,0.0013849573,0.00013085161,0.0014624621,0.0001227886
3,0.0012569245,0.00015831835,0.0013121912,0.0002000968,0.0012531003,0.00026466796,0.00135573,0.00021353546,0.0012457072,0.00015271029,0.0011014305,0.00014273984,0.0009877187,8.396885e-05,0.00116653,0.0002072538,0.0013638425,0.00015031666,0.0014632896,0.00012123288
4,0.0012698274,0.00018083876,0.0013314178,0.00021449581,0.0012716955,0.00026534207,0.0013779537,0.00023015932,0.0012789855,0.00015465135,0.0011139091,0.00015202964,0.0010515165,0.00015157378,0.0012209871,0.00017171753,0.0013442553,0.00015243785,0.0014522283,0.00013197018
5,0.001295729,0.00018823177,0.0013259028,0.0001932325,0.0012857132,0.00024986864,0.0013844182,0.00022172615,0.0013082392,0.00015489465,0.0011392233,0.00014718535,0.0010770174,0.00017185265,0.0012375681,0.00017074906,0.0013485764,0.00014439884,0.0014532094,0.00014427138
6,0.0013084437,0.00018972259,0.0013133177,0.00018440989,0.0013001987,0.0002446026,0.0013868896,0.00020986302,0.0013128797,0.00014834918,0.0011530386,0.000139427,0.0010900919,0.00017013833,0.0012523254,0.00016228274,0.00134853,0.00013739288,0.0014519173,0.00014851528
7,0.0013207613,0.00018769247,0.0013104577,0.00017484605,0.001297966,0.0002389719,0.0013883201,0.00020655841,0.0013214314,0.00013941556,0.0011625893,0.000133591,0.0010962306,0.00016863458,0.0012647298,0.00015304325,0.0013518317,0.00013125163,0.0014590601,0.0001530987
8,0.0013323118,0.00018846629,0.0013159333,0.00017485404,0.0013042802,0.0002375261,0.0013923494,0.00021081085,0.0013352499,0.00012541482,0.0011677857,0.00013640322,0.001095975,0.00016431637,0.0012775328,0.00014532628,0.0013556167,0.000121318044,0.0014632539,0.00017081105
9,0.0013328397,0.00018849087,0.0013160544,0.00017088847,0.0013020398,0.00024173355,0.0013998405,0.00021202567,0.001339529,0.00011669819,0.0011739904,0.000127901,0.0011032118,0.00016162843,0.0012924813,0.0001416564,0.0013527436,0.00011627464,0.0014660145,0.00016532392
10,0.0013398537,0.00019062142,0.0013194155,0.0001688426,0.0013070175,0.00023797047,0.0014034625,0.00020960765,0.0013466503,0.00011246272,0.0011839902,0.0001222712,0.0011075938,0.00015507489,0.001304586,0.00013884365,0.0013554323,0.000114029215,0.0014707615,0.0001632798
11,0.0013428091,0.00019203009,0.0013242105,0.00016502701,0.0013091613,0.00023727109,0.0014073008,0.00020390503,0.0013605162,0.000110292945,0.0011918277,0.00012121221,0.0011011952,0.00014585888,0.001306535,0.00014072483,0.0013579674,0.00011148661,0.0014741112,0.0001629483
