epoch,mean_drift_speed,std_drift_speed
2,0.0012791432964149863,0.00020751484225911554
3,0.0012830025128399332,0.0002058792710562961
4,0.001286458596587181,0.00020448605064302683
5,0.0012898036934943361,0.000203174298142337
6,0.001292935776291415,0.00020196787954773754
7,0.0012959177390887188,0.00020076460854257815
8,0.0012989937178125338,0.00019953826163795644
9,0.0013019440385202566,0.00019840286404360086
10,0.001310056122019887,0.00019592878040081512
11,0.0013166252601270875,0.00019312379008624704
12,0.0013219159872581562,0.00019068002584390342
13,0.0013263408793136478,0.0001888985619492208
14,0.0013306424564992387,0.0001877376314951107
15,0.0013347148662433029,0.0001868302565223227
16,0.0013382650989418228,0.00018597410623139393
17,0.0013414186891168357,0.0001853115517102803
18,0.0013438112490500012,0.00018502892247245956
19,0.0013452428936337431,0.00018513784937870998
20,0.001345641709243258,0.00018555261776782573
21,0.001345892739482224,0.00018561011820565908
22,0.0013458388236661752,0.00018541953274204087
23,0.0013451382207373779,0.00018545816807697218
24,0.0013439453284566601,0.00018552883120719342
25,0.0013428933064763744,0.00018563471870341647
26,0.0013415835099294781,0.0001862830142878617
27,0.001340224997450908,0.00018657604814507068
28,0.0013390553882345556,0.0001862457866081968
29,0.0013376888508598009,0.0001854867635605236
30,0.0013365930800015727,0.00018471302949668217
31,0.0013353783559675017,0.00018440723166956256
32,0.001334147977953156,0.00018439388077240437
33,0.0013333361440648636,0.00018430073105264456
34,0.0013333460316061973,0.0001841058333714803
35,0.0013336576443786423,0.00018384649980968487
36,0.0013338814256712793,0.00018385482253506779
37,0.0013336480362340808,0.0001841371529735625
38,0.001333413738757372,0.00018432305563086023
39,0.0013334948026264707,0.00018455279253733656
40,0.0013330269139260054,0.0001850503884876768
41,0.0013326481217518448,0.0001852537146381413
42,0.0013321669694657126,0.00018568105394175898
43,0.0013312154061471424,0.00018663200899027288
44,0.0013301208848133684,0.00018781279601777593
45,0.0013287884028007587,0.00018878228535565238
46,0.0013273499518012008,0.00018932847888208926
47,0.0013259358626479905,0.0001894047202464814
48,0.0013240166396523516,0.0001893493065532918
49,0.0013218604261055588,0.00018889313893547902
50,0.0013199261855334043,0.00018839007922603437
51,0.001317929127253592,0.00018833195499610156
52,0.0013161095790565013,0.00018856580136343836
53,0.0013149115334575375,0.00018875386643533906
54,0.0013137184238682191,0.0001891329341257612
55,0.0013126136735081672,0.00018928550513616453
56,0.001311384552779297,0.00018946266597292077
57,0.0013102654134854673,0.0001896307978313416
58,0.001309459051117301,0.0001897616535037135
59,0.001308710298811396,0.00019000201718881725
60,0.0013079822917158406,0.00019051054162749398
61,0.001307620651399096,0.00019084967110150804
62,0.0013077238652234276,0.00019115400694621107
63,0.001308348518796265,0.00019114565123648692
64,0.001308962640662988,0.0001910996565129608
65,0.0013096830962846676,0.00019093108421657233
66,0.001310900792789956,0.00019075978780165316
67,0.0013123735397433242,0.0001907612041880687
68,0.0013137663248926402,0.00019041837076656521
69,0.0013153076637536288,0.00019000199778626363
70,0.0013168176325658958,0.00018937438144348562
71,0.0013182383496314286,0.00018851198159003008
72,0.0013194292628516753,0.00018756907957140356
73,0.0013202961767092348,0.0001864149943382169
74,0.0013209272098417084,0.0001852191276460265
75,0.0013210876922433576,0.00018412292799136292
76,0.0013210367411375045,0.0001832151843700558
77,0.0013203753934552273,0.0001824259942319865
78,0.0013194075940797727,0.00018214526547429463
79,0.0013183982732395331,0.000182135624345392
80,0.001317026543741425,0.00018198319885414093
81,0.0013148163600514332,0.00018166099034715443
82,0.00131254141839842,0.00018102002504747361
83,0.001310181578931709,0.0001809500507079065
84,0.0013073905060688655,0.0001809564681025222
85,0.0013051960850134492,0.00018127773558565725
86,0.001303393223012487,0.00018190312839578838
87,0.0013017223915085196,0.00018251963483635337
88,0.0013000121417765817,0.000183431850746274
89,0.0012985179123158257,0.0001842654989256213
90,0.0012974743110438188,0.00018519252189435064
91,0.0012964617072915038,0.00018602106041119745
92,0.0012955260385448734,0.00018684309325180947
93,0.0012945707887411118,0.00018735903625686964
94,0.0012941441576307018,0.00018803377267128478
95,0.00129415865521878,0.00018875975511036813
96,0.0012942132617657384,0.00018956724573702862
97,0.001294757262803614,0.00019022403187894573
98,0.0012949345245336493,0.00019089917089634885
99,0.001295043108984828,0.00019129421076892564
100,0.0012937556874627867,0.0001914593439626818
101,0.0012924582697451115,0.00019174055681408692
102,0.0012908472601945201,0.00019258628017269075
103,0.0012901095595831671,0.00019319380808155984
104,0.0012891643292581043,0.00019399884913582355
105,0.001288042163165907,0.00019445093542647858
106,0.001287023878345887,0.00019478698474510262
107,0.0012862717111905416,0.00019520008063409478
108,0.0012855499129121502,0.00019575754510393987
109,0.0012845143675804139,0.00019607686748107273
110,0.0012833898809428016,0.0001969636039575562
111,0.0012827395539109906,0.00019769794404661905
112,0.0012818119799097379,0.0001984529032294328
113,0.0012809784384444356,0.00019906297190270077
114,0.0012802831440543135,0.00019983587650737415
115,0.0012804613603899877,0.0002007839357247576
116,0.0012800193935011825,0.00020164794696029276
117,0.0012796289520338178,0.00020222604798618703
118,0.00127892445307225,0.00020281641433636348
119,0.0012778529276450475,0.0002032149466685951
120,0.0012767743552103638,0.00020389712687271337
121,0.0012752149486914277,0.0002048769558314234
122,0.0012740875439097483,0.00020550664921756834
123,0.001273708821584781,0.0002057214374265944
124,0.0012733870030691226,0.0002055192734890928
125,0.0012730116723105311,0.00020496506864825886
126,0.0012726282545675834,0.00020441139058675618
127,0.0012722617791344722,0.00020361669691434752
128,0.001271585530291001,0.0002033206692431122
129,0.0012707835684219995,0.00020280638030574968
130,0.0012697383373354873,0.00020261130994185804
131,0.0012696981895714999,0.00020224668163185318
132,0.0012698180507868528,0.00020182706842509409
133,0.001269364527737101,0.0002019603329245001
134,0.001268926216289401,0.00020192491938360037
135,0.0012685442188133797,0.00020230891823302954
136,0.00126862950467815,0.00020286133609867345
137,0.0012674552233268817,0.00020379395864438264
138,0.001265480819468697,0.00020524308492895216
139,0.0012632131498927872,0.00020719003514386715
140,0.0012611265915135543,0.00020911999066205075
141,0.0012588680644209187,0.00021104286230790118
142,0.0012563338580851753,0.0002134543601035451
143,0.0012538069781536858,0.0002157065454715242
144,0.0012519374567394456,0.0002177575088959808
145,0.0012503120970601836,0.00021913792394722502
146,0.0012478577593962351,0.00022082235761142026
147,0.0012456574322034916,0.000222280186911424
148,0.0012430658408751091,0.00022352953092195094
149,0.001241044537164271,0.00022448278711332628
150,0.001238909480161965,0.000224868028696316
151,0.00123648924442629,0.00022475987498182803
152,0.001235272386111319,0.0002244750231814881
153,0.0012339294655248523,0.00022405244526453317
154,0.0012327751455207666,0.00022309859729527186
155,0.0012311223816747466,0.00022239329700823873
156,0.0012292908349384865,0.00022108445797736447
157,0.0012278399042164286,0.00021963010464484494
158,0.0012267829074213902,0.00021800892524576437
159,0.0012254095015426477,0.00021660746521471688
160,0.0012243179992462198,0.00021559165713066857
161,0.0012235389246294897,0.00021425274511178334
162,0.0012226937416320047,0.00021325463409690808
163,0.001222577621228993,0.0002114600482552002
164,0.001222559444916745,0.00020998012720762442
165,0.0012219817920898397,0.00020859620902532092
166,0.0012225158512592315,0.0002071684527133281
167,0.0012225059249127905,0.0002061753689001004
168,0.0012228901342799267,0.00020546822731072704
169,0.0012233987062548598,0.00020509894432810445
170,0.0012252558643619218,0.00020415535448895146
171,0.0012273597220579782,0.00020356739696580917
172,0.0012291883273671071,0.00020299090441161145
173,0.0012317026577269039,0.00020165536164616545
174,0.0012342276750132442,0.00020050793536938727
175,0.001236351882107556,0.0001998851968285938
176,0.001238955060640971,0.00019923664027980217
177,0.0012413034681230783,0.0001979299064259976
178,0.0012431888142600655,0.0001971388167779272
179,0.0012448146473616362,0.00019613102291865896
180,0.0012471056232849756,0.0001949047902598977
181,0.0012483775538081924,0.00019410198437981309
182,0.0012495321997751793,0.00019266520588037868
183,0.0012508098191271225,0.0001908711458478744
184,0.001251501147635281,0.00018905118631664663
185,0.0012509189468498032,0.0001880254567367956
186,0.0012501834348465006,0.00018725364934653045
187,0.0012501279668261608,0.00018629755165117484
188,0.0012488996842876076,0.00018643964334235836
189,0.0012478426254043976,0.00018631020211614668
190,0.0012476262946923575,0.0001853307835214461
191,0.0012472382203365365,0.00018446564693779994
192,0.0012464491340021292,0.00018448225358345857
193,0.0012463948611790936,0.0001841478127365311
194,0.0012464544891069333,0.0001840865705162287
195,0.001246519774819414,0.00018429914392375696
196,0.0012474871318166455,0.0001837936918794488
197,0.001248828019015491,0.0001838254538597539
198,0.0012504325636352102,0.00018377960271512468
199,0.0012524750859787066,0.00018380204952942827
200,0.0012548593571409584,0.00018327722112492967
201,0.0012572130188345909,0.0001826199363373841
202,0.0012589099118486048,0.0001819201686885208
203,0.001260999799706042,0.00018065819749608637
204,0.001262722482594351,0.00017981166020035743
205,0.0012636287603527308,0.00017929320068409046
206,0.0012637076045696933,0.00017874158026340108
207,0.0012642551135892668,0.00017785069746120523
208,0.0012642863284175595,0.00017731713499718655
209,0.0012640809485067923,0.00017697022509916376
210,0.0012635921050483982,0.00017671035408663253
211,0.001262121981320282,0.000177151402264523
212,0.0012606264324858784,0.0001772036882660662
213,0.0012592645594850182,0.0001772051347264399
214,0.0012580273517717917,0.00017745474178809673
215,0.0012568514638890823,0.00017755941080395133
216,0.0012561096887414654,0.00017741709986391168
217,0.001255406679896017,0.0001776195781227822
218,0.0012545316324879725,0.0001778739970177412
219,0.001254200004041195,0.00017753289721440525
220,0.0012538362061604857,0.0001771454243377472
221,0.001252836516747872,0.0001774646002256001
222,0.0012518747709691525,0.00017758189933374523
223,0.0012507122242823242,0.00017781404797763875
224,0.0012495873495936393,0.00017787454513988146
225,0.001248819730244577,0.00017770207196008415
226,0.0012483530833075445,0.00017716296618649116
227,0.001247039514904221,0.00017680836899671703
228,0.001244382707712551,0.000176628331731384
229,0.0012415765707070629,0.0001759354374371469
230,0.0012391176695624986,0.00017553353003071
231,0.0012369172880426049,0.00017555471664915483
232,0.001234067960952719,0.00017561027683162442
233,0.0012320540146902204,0.00017579040334870418
234,0.0012297937491287788,0.000176321809218886
235,0.001227884537850817,0.00017666058556642383
236,0.0012270983929435412,0.00017645890960314622
237,0.001225879198561112,0.00017627995500030618
238,0.0012251355374852816,0.0001758632182221239
239,0.0012245010118931531,0.0001751973080293586
240,0.0012240522618715962,0.00017501411590880404
241,0.0012238026441385348,0.0001749039685819298
242,0.001224389330794414,0.00017480289970990271
243,0.0012260679854080082,0.0001750339501692603
244,0.0012279678136110305,0.00017574323962132136
245,0.0012298208118105929,0.00017611773995061716
246,0.0012307956892376145,0.00017681925867994627
247,0.0012323259608820081,0.00017761411824418854
248,0.0012329349371915062,0.0001785679846458758
249,0.0012333810950318973,0.00017991316951035212
250,0.0012336993124336005,0.00018173955613747238
