prototype,tetra-alkoxy borate,tri-alkoxy borate,boron_oxalate,BF3-like motif,fluorinated alkoxy,C-B(OR)2 motif,pentafluorophenyl group,catechol boronate
P1,0.0,0.125,0.0,0.1875,0.0,0.5625,0.0,0.0
P2,0.25,0.0833333333333333,0.1666666666666666,0.0,0.0,0.1666666666666666,0.5,0.1666666666666666
P3,0.5714285714285714,0.0714285714285714,0.6428571428571429,0.0,0.0,0.0714285714285714,0.0,0.0714285714285714
P4,0.4210526315789473,0.0526315789473684,0.0,0.0,0.0,0.4210526315789473,0.0,0.5789473684210527
P5,0.0,0.3181818181818182,0.0,0.4090909090909091,0.0,0.0454545454545454,0.0,0.0
P6,0.0714285714285714,0.6428571428571429,0.0,0.0,0.8571428571428571,0.2142857142857142,0.0,0.0
P7,0.0416666666666666,0.7083333333333334,0.0,0.125,0.0,0.0,0.0,0.0
