,tetra-alkoxy borate,tri-alkoxy borate,boron_oxalate,BF3-like motif,fluorinated alkoxy,C-B(OR)2 motif,pentafluorophenyl group,catechol boronate
NP1,0.09090909090909091,37.63636363636363,0.13636363636363638,0.0,0.022727272727272728,0.8636363636363636,0.0,0.0
NP2,0.022727272727272728,4.431818181818182,0.0,0.022727272727272728,0.022727272727272728,1.1590909090909092,0.0,0.0
NP3,0.0,4.159090909090909,0.0,0.045454545454545456,0.0,1.6818181818181819,0.0,0.0
NP4,0.045454545454545456,4.318181818181818,0.0,0.7045454545454546,0.18181818181818182,3.954545454545454,0.0,0.11363636363636363
NP5,0.0,7.840909090909092,0.0,0.0,0.0,1.2954545454545454,0.13636363636363638,0.0
NP6,0.22727272727272727,20.113636363636363,0.045454545454545456,0.36363636363636365,4.363636363636364,20.06818181818182,36.29545454545455,0.045454545454545456
NP7,0.045454545454545456,2.181818181818182,0.0,0.25,0.3409090909090909,2.3181818181818183,0.13636363636363638,0.09090909090909091
