epoch,mean_drift_acceleration,std_drift_acceleration_across_trials,smooth_mean_drift_acceleration,smooth_std_drift_acceleration_across_trials
75,2.6596942e-06,7.890683e-06,-1.966078852433384e-06,7.70296460359532e-06
76,9.3871415e-07,5.8837286e-06,-1.8712723857561286e-06,8.14007134977146e-06
77,-5.752305e-06,6.8849076e-06,-1.9689390654775708e-06,8.547287006877013e-06
78,-1.7320993e-06,6.807899e-06,-1.2860373914236334e-06,8.484189174851054e-06
79,4.0344563e-07,9.793018e-06,-5.858964613025819e-07,8.682479710842017e-06
80,-8.7036426e-07,9.404181e-06,-7.530271631139839e-07,9.151095127890585e-06
81,-4.227004e-06,1.1125741e-05,-8.158658118873064e-07,9.24280502658803e-06
82,-5.37974e-07,9.882239e-06,-5.240055173771907e-07,9.61600080700009e-06
83,3.6706246e-07,8.385753e-06,-1.2358240013554678e-06,1.1479479962872573e-05
84,1.2205583e-06,1.54528e-05,-1.4820385985103712e-06,1.2038626209687209e-05
85,2.0313078e-06,8.807782e-06,-1.9532071178218757e-06,1.228780147357611e-05
86,3.857317e-06,9.615686e-06,-2.13906882891024e-06,1.1849884413095423e-05
87,-1.287049e-05,2.55197e-05,-1.8127713019566727e-06,1.1604758856265108e-05
88,-4.1942453e-06,1.2399361e-05,-1.3854813516900321e-06,1.1630360040726373e-05
89,-4.3082396e-06,1.22847705e-05,-1.0694183856685413e-06,1.1542243782969308e-05
90,-2.7289814e-06,5.02501e-06,-1.605327133802348e-06,1.0767242520159925e-05
91,-9.640287e-07,8.674486e-06,-2.537518957979046e-06,1.0677037016648682e-05
92,3.7349255e-06,1.0138251e-05,-2.8120186357227794e-06,1.0693946524042986e-05
93,3.5276921e-06,7.5045905e-06,-1.2171720413789444e-06,9.116202227232861e-06
94,-4.138529e-06,7.702788e-06,-1.7674989294391708e-07,9.050153903444879e-06
95,-7.2906105e-06,7.905727e-06,6.521195132336289e-07,9.35580833356653e-06
96,1.1123203e-06,9.7847815e-06,9.69322883292989e-07,9.912555151458946e-06
97,3.0779763e-06,9.742256e-06,1.0344710545950875e-06,1.0123563833985827e-05
98,6.209976e-06,1.1738878e-05,5.696203999150385e-07,1.0075382897412056e-05
99,3.9804545e-06,1.5341315e-05,2.6215653861072494e-07,1.0072921713799588e-05
100,4.4305233e-07,1.0592478e-05,6.948506523940523e-07,1.0747488659035298e-05
101,-3.1254697e-07,1.0784573e-05,7.850846685641955e-07,1.0720638556449558e-05
102,-9.1358106e-07,9.656442e-06,9.631007372945533e-07,1.0491060265849228e-05
103,4.530535e-07,7.4799786e-06,6.942169278545407e-07,1.007234900498588e-05
104,1.8841192e-07,1.44484575e-05,-5.28728747895002e-08,9.945759074980742e-06
105,-6.3882703e-06,7.637226e-06,-8.752149739166271e-07,9.536936386211891e-06
106,2.892481e-06,7.4889986e-06,-1.412418404811433e-06,9.515525698589045e-06
107,3.8913822e-07,5.5551436e-06,-1.2469376599710813e-06,9.81625821623311e-06
108,-1.2609219e-06,1.0472979e-05,-4.136490645123558e-07,1.1480377042971669e-05
109,-4.2429665e-06,1.1253088e-05,3.3590580983400287e-08,1.2509904900070979e-05
110,-4.928982e-06,1.0378371e-05,6.710877187288133e-08,1.2363137739157536e-05
111,1.3422605e-06,1.3791898e-05,7.635537372152612e-07,1.2661466371355345e-05
112,7.419305e-06,2.629763e-05,-1.7437072301618174e-07,1.2510559099609963e-05
113,4.92545e-06,1.7775257e-05,-1.6362616861442803e-08,1.2841165789723163e-05
114,5.235938e-07,1.2980786e-05,8.385717364944867e-08,1.3199599106883397e-05
115,5.7617933e-07,1.06205125e-05,9.433896480004477e-07,1.2918156062369236e-05
116,-6.4867636e-06,5.979926e-06,1.3597385418506746e-06,1.304526786043425e-05
117,1.9692193e-06,8.8612105e-06,5.154233235771244e-07,1.3253673660074129e-05
118,-2.5872396e-07,1.4057312e-05,-1.6999443346321642e-07,1.1211703349545132e-05
119,4.3523582e-06,8.4386575e-06,-9.91918096815425e-07,1.013795977087284e-05
120,-7.6549304e-07,1.1649489e-05,-1.3319968559244444e-06,9.98754590000317e-06
121,-7.1008917e-06,1.5875956e-05,-1.4300116646381866e-06,9.83935874501185e-06
122,5.651273e-07,5.877927e-06,-9.75413334458608e-07,1.0371286089139176e-05
123,-3.2937867e-06,7.0378214e-06,-1.4711151180790694e-06,1.0934410283880425e-05
124,-2.8771938e-06,1.1476647e-05,-1.3615693177371213e-06,1.097307190320862e-05
125,-4.0396876e-07,9.138641e-06,-9.292798011983905e-07,1.1442866389188567e-05
126,-1.9407803e-06,1.1299199e-05,-8.675416779624356e-07,1.1147538725708727e-05
127,-2.9877986e-06,1.44924525e-05,-4.908768346467695e-07,9.8840511554954e-06
128,8.3673405e-07,1.4443928e-05,-1.4385497649982427e-06,1.0435186209178936e-05
129,8.675253e-06,1.3136602e-05,-1.6431166557140386e-06,1.0496387790226436e-05
130,-1.4811181e-07,8.696213e-06,-2.0356805350729703e-06,1.0670680353541684e-05
131,-3.3342433e-06,3.24108e-06,-2.1252750087796813e-06,1.0936665989902395e-05
132,-8.911602e-06,1.13892775e-05,-2.154552188926573e-06,1.1729815309990953e-05
133,-5.3394556e-06,7.649837e-06,-2.0398947384592248e-06,1.1582483352867712e-05
134,-6.8028326e-06,1.3219573e-05,-2.1671517117738404e-06,1.0553543802416243e-05
135,-1.2999135e-06,1.1798497e-05,-3.734485795803266e-06,9.905305410029541e-06
136,-2.233552e-06,1.9230692e-05,-4.312984029297695e-06,9.784220469555294e-06
137,-1.841224e-06,1.3019133e-05,-4.237469275381045e-06,1.0265439186696312e-05
138,-4.358357e-07,4.1545327e-06,-3.2503501785186016e-06,1.011751769510738e-05
139,-6.9980874e-06,6.6542184e-06,-2.259171893115308e-06,1.0344568318032544e-05
140,-5.933094e-06,7.4853633e-06,-1.5847074866570664e-06,9.822256606639712e-06
141,-2.5790957e-06,8.053267e-06,-1.7230641862653328e-06,1.0008895651480998e-05
142,9.59589e-07,9.9100625e-06,-2.1819270461520546e-06,9.446046760785975e-06
143,4.5723273e-06,9.9203435e-06,-1.7519956674760806e-06,9.680258563093957e-06
144,-5.8188494e-08,7.996456e-06,-1.8697190103722504e-06,1.0117263400388765e-05
145,-2.6834805e-06,1.3664888e-05,-1.6042030825502707e-06,1.0841203311429126e-05
146,-6.8221807e-06,1.3602204e-05,-4.53765408181539e-07,1.1208251726202434e-05
147,2.4580897e-06,1.5361251e-05,7.425618900214203e-07,1.2564122152980417e-05
148,-1.6130691e-06,8.524581e-06,1.3262475544451036e-06,1.3914471765019698e-05
149,-4.342928e-06,1.38936175e-05,9.444601698049837e-07,1.4121360072749667e-05
150,5.5712826e-06,1.11558475e-05,9.8243284014643e-07,1.426501412424841e-05
151,9.384177e-06,2.1611972e-05,1.0307577269941248e-06,1.3660275408255984e-05
152,6.7964456e-06,2.3413559e-05,1.4913605866695433e-06,1.329285428255389e-05
153,7.544534e-07,1.1989227e-05,9.034329934820562e-07,1.3576592800745857e-05
154,3.215382e-07,9.432996e-06,8.509543761192617e-07,1.3641366740557714e-05
155,-2.2002316e-06,7.6175006e-06,6.785216385196691e-07,1.3764468940280495e-05
156,-2.216152e-06,9.927992e-06,-4.2822823047572457e-07,1.3429441651169327e-05
157,-3.4211862e-06,1.8198636e-05,-1.362307729024792e-06,1.2387613742248504e-05
158,-2.1378553e-06,9.1723205e-06,-2.315240011441233e-06,1.0941585287582711e-05
159,-6.0672555e-06,1.51246395e-05,-3.169598626229231e-06,1.1386714913896866e-05
160,-5.496216e-06,7.805575e-06,-3.1556625383899473e-06,1.1041840707548545e-05
161,4.338226e-08,1.1193692e-05,-2.8016010372056145e-06,1.1189682845724747e-05
162,-2.7328772e-06,8.953274e-06,-2.177342518550063e-06,1.2227282877574907e-05
163,-7.789133e-06,1.6440523e-05,-1.1042089379742493e-06,1.1645465929177589e-05
164,4.608991e-07,5.984254e-06,-7.235654191362073e-07,1.145812479990127e-05
165,1.3403834e-06,9.095922e-06,3.324481060218432e-07,1.1033663349735435e-05
166,4.026433e-06,2.0303993e-05,1.075387247695403e-06,1.1768292870328878e-05
167,7.3101496e-06,1.2380467e-05,1.7213742495414408e-06,1.1515992400745745e-05
168,1.6685799e-06,7.298909e-06,1.2770665563266447e-06,1.20530241929373e-05
169,4.4928797e-06,1.0880025e-05,2.1876478086824136e-06,1.1210366619707201e-05
170,1.9331753e-06,1.515187e-05,1.9453812797110003e-06,1.1657691857180907e-05
171,6.5032523e-06,8.670688e-06,1.3405792969933827e-06,1.2435404414645745e-05
172,-7.175954e-06,1.4323592e-05,2.595885007394827e-07,1.1654118452497642e-05
173,1.3166798e-06,8.013947e-06,6.655061270066653e-07,1.2992756319363253e-05
174,-1.9617662e-06,1.04575065e-05,4.4376296273185287e-07,1.3339641282072989e-05
175,-4.7076364e-06,1.6873048e-05,-5.825584139529383e-08,1.3398640749073821e-05
176,-6.783475e-06,1.2491133e-05,-3.913189175364096e-07,1.301746369790635e-05
177,1.1369326e-05,2.5766845e-05,-1.701683731880621e-06,1.2943670662934892e-05
178,-5.4885174e-07,1.0767759e-05,-5.224854248808697e-07,1.2842053274653154e-05
179,-5.273083e-07,1.147002e-05,-9.341402346763062e-07,1.343200046903803e-05
180,-1.3974554e-06,1.1340099e-05,-9.727310271046008e-07,1.3612227303383406e-05
181,-6.600396e-06,7.932757e-06,-3.74902299427049e-07,1.3153471627447288e-05
182,4.616029e-06,1.3307418e-05,5.836331979480747e-07,1.3034423682256602e-05
183,-2.7998683e-06,1.3913419e-05,-4.453630708667333e-07,1.159628072855412e-05
184,-2.3476741e-06,1.2259775e-05,-6.713614652653633e-07,1.1539230035850778e-05
185,1.2706508e-06,1.2285491e-05,-1.088080603039998e-06,1.1027875552827027e-05
186,2.80188e-06,1.1300654e-05,-1.8304130435353728e-06,1.0712425228120992e-05
187,1.0793632e-06,1.1385416e-05,-1.5161328519752714e-06,1.0476054330865737e-05
188,-2.8088357e-06,1.0197252e-05,-2.450213332849671e-06,9.735079402162228e-06
189,-4.6944997e-06,6.356475e-06,-1.4553888604496024e-06,9.422414950677194e-06
190,-8.82078e-06,8.185596e-06,-1.0437233640914202e-06,9.176309504255187e-06
191,-3.457594e-06,5.5690484e-06,-1.440914513750613e-06,8.40743086882867e-06
192,-4.724776e-06,5.897669e-06,-2.2453508222497475e-06,8.271962633443763e-06
193,7.1483764e-06,1.07867745e-05,-2.5337030933769713e-06,8.267322846222669e-06
194,1.7689808e-06,9.79872e-06,-1.8921456444331852e-06,8.851827169564786e-06
195,-2.7012607e-06,4.5967045e-06,-1.4106380348266612e-06,9.100523129745852e-06
196,-5.242483e-06,9.945971e-06,-1.7703955279557704e-07,9.83217869361397e-06
197,-1.8041595e-06,1.1339018e-05,1.0897598201609071e-07,1.088930625883222e-05
198,3.6067388e-06,1.6042295e-05,7.175869853881522e-07,1.130987866417854e-05
199,1.205764e-07,8.843434e-06,7.732916259328704e-07,1.146088752648211e-05
200,3.515205e-06,1.5502152e-05,2.2783368365253408e-07,1.1249808812863193e-05
201,-5.974386e-07,1.6140324e-05,1.792648021137211e-07,1.1977486428804695e-05
202,1.3613342e-06,1.0103393e-05,4.866344255560761e-07,1.1710206581483363e-05
203,7.705423e-06,1.2296863e-05,4.726753530803762e-07,1.137566414399771e-05
204,-3.6855986e-06,7.687933e-06,-2.355410799737001e-08,1.0701873907237314e-05
205,-3.1869495e-06,1.1873481e-05,-4.2359322947049807e-07,1.1113353230030043e-05
206,-2.1687868e-06,7.2731727e-06,-1.3528060719636415e-06,1.0462257068866166e-05
207,-1.9437502e-06,7.9935935e-06,-1.9184140342076717e-06,1.0218865099886898e-05
208,-1.3555558e-06,9.304393e-06,-3.0940446890781457e-06,1.1229906340304296e-05
209,-3.879815e-06,1.2958228e-05,-3.94139072454891e-06,1.0797455797728616e-05
210,-5.7769234e-06,8.99119e-06,-3.823603452701718e-06,1.0771079314508824e-05
211,-6.253518e-06,1.3706404e-05,-3.5391866560985364e-06,1.0710344804465422e-05
212,-1.0394972e-05,2.0213805e-05,-3.4893025201654383e-06,1.0476600346009946e-05
213,-7.680375e-07,7.972358e-06,-3.6408475523330708e-06,1.046711222443264e-05
214,-2.5077259e-06,7.4241684e-06,-3.1118104573124583e-06,1.0234114415652585e-05
215,-3.427815e-07,1.12661355e-05,-3.2472086161305925e-06,9.929716998158256e-06
216,-1.6699454e-06,4.935728e-06,-3.0177400333286642e-06,9.77634608716471e-06
217,-3.4592006e-06,7.898712e-06,-2.5583216995528344e-06,9.168956330540822e-06
218,3.934815e-06,6.9744146e-06,-9.370169721023558e-07,8.051035365497228e-06
219,-5.2337964e-06,9.9142535e-06,-6.689787710456585e-07,8.1968283666356e-06
220,-3.4822376e-06,7.457481e-06,7.669285650990787e-08,9.715899386719684e-06
221,-1.6593349e-06,7.632507e-06,-5.436362584987364e-07,9.901314706439735e-06
222,5.818075e-06,9.034596e-06,-4.139467819186393e-07,1.0130919736184297e-05
223,1.9123445e-06,9.430288e-06,-3.5857633520208763e-07,1.0253535447191097e-05
224,4.9489904e-06,2.2614879e-05,-1.1136517287013702e-06,1.0322122352590669e-05
225,-6.5460727e-06,1.3120289e-05,-5.018632180053828e-07,1.0402331145087374e-05
226,-3.7305063e-07,7.2317785e-06,-2.807878615840309e-07,1.058461989487114e-05
227,-2.905496e-06,9.124869e-06,-3.696995179325313e-07,1.0439799871164723e-05
228,-3.6159388e-06,7.660284e-06,-8.970659621354571e-07,1.0241134305033484e-05
229,8.840887e-07,1.0716341e-05,-1.54492277602003e-06,1.0060901013275725e-05
230,-1.271484e-06,9.280368e-06,-3.0688244862631107e-06,9.360922058476718e-06
231,-2.5484514e-06,6.1843066e-06,-2.534363892436886e-06,8.646627065900248e-06
232,5.4441045e-07,7.04794e-06,-1.888689365614482e-06,1.0055264601760427e-05
233,-4.5662237e-06,7.627955e-06,-1.1858704453970859e-06,1.0033255648522754e-05
234,-1.0290027e-05,1.5615089e-05,-3.203511084848287e-07,1.0563014848230523e-05
235,-1.2014667e-06,5.977339e-06,-5.5418558986275456e-08,1.0431783221065415e-05
236,6.0836946e-06,2.1318154e-05,4.9243317334912716e-08,1.1216369466637844e-05
237,4.122693e-06,8.90478e-06,9.65573553912691e-07,1.1448135001046467e-05
238,5.0392546e-06,1.2957876e-05,8.819557194783556e-07,1.1855719321829383e-05
239,3.5334142e-06,9.404025e-06,1.4078684046126e-06,1.1785370588768274e-05
240,-2.2486529e-07,1.712623e-05,2.4032130681916896e-06,1.0896478852373547e-05
241,6.614851e-06,8.501962e-06,2.7324344273438326e-06,1.0870847927435533e-05
242,-2.917679e-07,1.1123783e-05,1.7097355112127843e-06,9.601705733075505e-06
243,6.929032e-07,6.9244675e-06,1.3567323208008019e-06,9.751462039275794e-06
244,-3.3658006e-07,6.7261717e-06,6.734572593813937e-07,9.274419517169008e-06
245,2.0907469e-06,5.7210295e-06,4.8159392918023514e-08,8.717950777281658e-06
246,-4.1432945e-06,8.626732e-06,1.9052403104069527e-07,8.153464978022385e-06
247,5.926612e-07,1.0402343e-05,-6.154040420369711e-07,8.401329750995501e-06
248,-1.793496e-06,8.1874505e-06,-6.776372117656138e-07,8.023013106139842e-06
249,-2.7195645e-06,3.8393378e-06,-3.665776432626444e-07,8.261065750048146e-06
250,1.1987811e-06,1.1481373e-05,4.515890168477199e-08,8.167057330865646e-06
251,-1.4444298e-06,1.098061e-05,3.5729193541556016e-07,9.104463833864429e-06
252,-9.140996e-07,7.340617e-06,1.1564241390260578e-06,9.184184955302044e-06
253,3.8034989e-06,9.304994e-06,3.957138687837869e-07,9.207874472849654e-06
254,3.7807854e-06,5.7860875e-06,7.914662546681938e-07,9.189298589262762e-06
255,5.212077e-06,1.5095095e-05,1.160224860541348e-06,9.908469201036496e-06
256,3.8480275e-06,9.423943e-06,1.3784061820842908e-06,9.827709254750516e-06
257,-7.0144415e-06,1.0639238e-05,1.2048217172377918e-06,9.439483619644307e-06
258,2.1640278e-06,8.001692e-06,1.2744809808395984e-06,9.887352871373877e-06
259,9.680216e-07,1.1031044e-05,6.037624942223374e-07,9.590306490281364e-06
260,3.3805943e-06,1.0673773e-05,-1.3749008047625467e-07,9.701934231998166e-06
261,-3.1802745e-06,7.0983533e-06,-6.592477049593981e-07,8.952074722401449e-06
262,-2.1750695e-07,1.1819309e-05,-1.2916650049987765e-06,9.012364216687274e-06
263,-2.903686e-06,6.33453e-06,-2.059849450120055e-07,9.107512187256362e-06
264,-3.6317404e-06,6.902365e-06,-1.3291830484263301e-06,8.89260236363043e-06
265,-5.4990323e-09,7.5964995e-06,-1.6968831616281931e-06,8.311711326314253e-06
266,-2.4761455e-06,1.0026838e-05,-2.076066378720043e-06,8.519057018929743e-06
267,3.842359e-06,1.1590718e-05,-1.688114490150383e-06,8.394852329729474e-06
268,-9.067953e-06,5.8525934e-06,-1.5664776185531081e-06,8.403477795582149e-06
269,-2.7089795e-06,5.2221335e-06,-1.4333902811358712e-06,9.149536981567508e-06
270,-4.1123786e-07,1.274723e-05,-8.122392102904997e-07,9.307914251621695e-06
271,6.992444e-07,5.8563064e-06,-1.1750796659271146e-06,9.573436727805529e-06
272,9.988618e-07,1.1905564e-05,-1.0070369796721933e-06,9.46468408073997e-06
273,-1.5728126e-06,1.3795122e-05,-1.289581467744938e-06,9.261717332265107e-06
274,2.5797704e-06,8.486138e-06,-5.789878684936412e-07,9.289852368965511e-06
275,-3.6339036e-06,1.0251724e-05,-3.6669940186584424e-07,9.572286990078282e-06
276,-7.957186e-07,8.939312e-06,-4.205061600259796e-07,9.311668463851674e-06
277,1.0169142e-06,9.56105e-06,-7.146584721340333e-07,9.229414672518033e-06
278,-1.9620172e-06,6.1339438e-06,-9.205549417856674e-07,9.067967903320096e-06
279,-5.8609487e-07,8.04648e-06,-9.331629030384647e-07,8.440531155429199e-06
280,-9.4930544e-07,1.0141045e-05,-1.7485540524830867e-06,9.730380634209724e-06
281,-2.2422787e-06,5.0337685e-06,-8.318737741319637e-07,1.0623329808367999e-05
282,-1.0601029e-06,1.0291096e-05,2.4888022380764597e-07,1.260376516256656e-05
283,-1.6988922e-06,7.5207545e-06,1.7595266399439424e-06,1.6022198315113202e-05
284,-5.574141e-06,2.1384632e-05,2.1431500499602406e-06,1.63207158948353e-05
285,5.532899e-06,1.9181216e-05,2.1799645111286736e-06,1.689948494458804e-05
286,1.0011821e-05,2.8743665e-05,1.8398340358771747e-06,1.712841258267872e-05
287,1.6123378e-05,4.3745382e-05,1.7296816309908536e-06,1.7487706190877362e-05
288,1.8742169e-06,9.11912e-06,2.125088909110673e-06,1.768796655596816e-05
289,-2.1795026e-07,1.383417e-05,2.368274968489459e-06,1.766652580954542e-05
290,-4.35061e-06,1.24303215e-05,2.6905099190344116e-06,1.6245402230197213e-05
291,-3.3438027e-06,8.626705e-06,1.8027945458243267e-06,1.525153788861644e-05
292,2.8939698e-06,1.22937e-05,6.904452476419465e-07,1.307629308939795e-05
293,7.329684e-07,7.306347e-06,-8.353864672017153e-07,9.69389311649138e-06
294,-2.3517916e-06,7.1733966e-06,-9.734133840311189e-07,9.330505372417975e-06
295,-3.3442545e-06,9.242573e-06,-1.6307621990563348e-06,9.508817538517177e-06
296,-1.1116716e-06,6.991217e-06,-1.2638048815460935e-06,9.118136904362473e-06
297,8.650612e-07,9.921382e-06,-1.0326940077397417e-06,9.17274049546298e-06
298,4.939477e-07,5.485242e-06,-1.5235269898994375e-06,8.782620568581478e-06
299,-6.7914384e-06,1.5617292e-05,-1.8458834704558415e-06,8.993516790464387e-06
300,-6.81037e-07,8.523515e-06,-1.761565442848223e-06,9.296870151350353e-06
