cid,smiles,_recommend_original_order,_cid_key,excel_cid,excel_formula,excel_SMILES,excel_fingerprint,excel_topological,excel_weight,excel_heavy_atom,excel_label,excel_CAS,excel_price,excel_link,excel__excel_original_order,sim_to_NP1,sim_to_NP2,sim_to_NP3,sim_to_NP4,sim_to_NP5,sim_to_NP6,sim_to_NP7,assigned_prototype,assigned_prototype_label,max_prototype_similarity,similarity_rank,x,x_label
582056,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,62,582056,582056,C18BF15,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,00000371027801C00000000000000000000000000000000000003060C00000000000000150002009000000000008000010080000800000008000004000000200002000000088000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,0.0,511.9853526,34,6,1109-15-5,,,41,-0.21253854,-0.21443161,-0.28972113,-0.18029745,0.09993821,0.81005937,-0.31530058,6,NP6,0.81005937,13,13,582056
10959856,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)Cl,77,10959856,10959856,C12BClF10,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)Cl,,0.0,380.38,24,6,2720-03-8,,,44,-0.21038212,-0.2149513,-0.2879817,-0.17849696,0.09717194,0.8088399,-0.31301,6,NP6,0.8088399,14,14,10959856
4438527,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,54,4438527,4438527,C24BF20-,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,,0.0,679.0,45,6,47855-94-7,,,67,-0.21004215,-0.21284857,-0.28716627,-0.17787835,0.09586864,0.8084469,-0.3150616,6,NP6,0.8084469,15,15,4438527
71428744,B(C1=CC(=C(C(=C1F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,16,71428744,71428744,C18HBF14,B(C1=CC(=C(C(=C1F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,,0.0,494.0,33,6,916442-23-4,,,50,-0.2111309,-0.21018377,-0.28620252,-0.1809621,0.09661711,0.808264,-0.31267977,6,NP6,0.808264,16,16,71428744
25068199,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=C(C1=O)C=CC(=C2OC)F)C3CC3,49,25068199,25068199,C18H17BFNO8,B(OC(=O)C)(OC(=O)C)OC(=O)C1=CN(C2=C(C1=O)C=CC(=C2OC)F)C3CC3,,0.0,405.1,29,1,951163-66-9,,,14,0.8071502,-0.013902567,0.029763117,-0.1021494,-0.25243467,-0.10303772,-0.061016664,1,NP1,0.8071502,17,17,25068199
23115783,B(C1=C(C=C(C=C1C)C)C)(C2=C(C=C(C=C2C)C)C)C3=C4C=CC=CC4=C(C5=CC=CC=C35)C6=CC=CC=C6,50,23115783,23115783,C38H35B,B(C1=C(C=C(C=C1C)C)C)(C2=C(C=C(C=C2C)C)C)C3=C4C=CC=CC4=C(C5=CC=CC=C35)C6=CC=CC=C6,,0.0,502.5,39,3,281668-51-7,,,22,0.06755535,0.042800095,0.80706763,-0.16007702,-0.25805914,-0.21059299,-0.019402103,3,NP3,0.80706763,18,18,23115783
71420187,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F,5,71420187,71420187,C32H13BF10,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F,,0.0,598.2,43,6,820972-26-7,,,51,-0.21837695,-0.22248904,-0.27061403,-0.17197606,0.09538452,0.8070155,-0.30451444,6,NP6,0.8070155,19,19,71420187
11115716,B(C)(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,36,11115716,11115716,C13H3BF10,B(C)(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,,0.0,359.96,24,6,170151-48-1,,,45,-0.2073789,-0.20760663,-0.28533316,-0.17706726,0.09229512,0.8066543,-0.31299117,6,NP6,0.8066543,20,20,11115716
18329245,B(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,30,18329245,18329245,C24H12BF39O3,B(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0.0,1100.1,67,6,213974-85-7,,,62,-0.21484165,-0.20544039,-0.28242072,-0.17344862,0.091286115,0.8066335,-0.3113482,6,NP6,0.8066335,21,21,18329245
57041839,B(C1=CC(=CC=C1)C=C)(O[Si](C)(C)C)O[Si](C)(C)C,41,57041839,57041839,C14H25BO2Si2,B(C1=CC(=CC=C1)C=C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C000000000000000000000000000000000000300000000000000000010000281810000040000C008018007200800000018002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,18.5,292.1486133,19,1,62043-02-1,,,2,0.80600876,-0.03113537,0.04817861,-0.16556872,-0.25500876,-0.191763,0.005944226,1,NP1,0.80600876,22,22,57041839
