cid,smiles,_recommend_original_order,_cid_key,excel_cid,excel_formula,excel_SMILES,excel_fingerprint,excel_topological,excel_weight,excel_heavy_atom,excel_label,excel_CAS,excel_price,excel_link,excel__excel_original_order,sim_to_NP1,sim_to_NP2,sim_to_NP3,sim_to_NP4,sim_to_NP5,sim_to_NP6,sim_to_NP7,assigned_prototype,assigned_prototype_label,max_prototype_similarity,similarity_rank,x,x_label
15877487,B(C1=CC=CC=C1OC)(OC)OC,26,15877487,15877487,C9H13BO3,B(C1=CC=CC=C1OC)(OC)OC,00000371C2703000000000000000000000000000000000000000300000000000000000010000281A000000000008048090023206800004008000204200000208002020000888000608880C262284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,27.7,180.0957744,13,1,253280-01-2,,,1,0.7923679,0.103945695,0.17682128,-0.24727166,-0.38584572,-0.32056388,0.15195423,1,NP1,0.7923679,43,43,15877487
25112575,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C4=CC=CC=C4C(=C3C=C2)C5=CC6=CC=CC=C6C=C5)C7=CC8=CC=CC=C8C=C7,45,25112575,25112575,C40H33BO2,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C4=CC=CC=C4C(=C3C=C2)C5=CC6=CC=CC=C6C=C5)C7=CC8=CC=CC=C8C=C7,00000371F27C30000000000000000000000000000001200000003060C1830000000000C15400281A00000000000C448098003200C00000008002204200000200002000000888000000880920228011108020002080000888070080C00EC0000200001000008000040000200000000000000000,18.5,556.2573605,43,3,624744-67-8,100.9/250mg,624744-67-8 的搜索结果,19,0.05361046,0.014269345,0.7904896,-0.21114212,-0.2308733,-0.20171107,-0.017447714,3,NP3,0.7904896,44,44,25112575
22722373,B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(C(=C(C(=C3F)F)F)F)F,51,22722373,22722373,C18H10BF5,B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(C(=C(C(=C3F)F)F)F)F,,0.0,332.1,24,6,154735-10-1,,,59,-0.22335224,-0.21603777,-0.25857842,-0.20372635,0.07589645,0.7892118,-0.28259817,6,NP6,0.7892118,45,45,22722373
58489416,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C3=CC4=C(C=C3)C5=CC=CC=C5C6=CC=CC=C64,35,58489416,58489416,C30H27BO2,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C3=CC4=C(C=C3)C5=CC=CC=C5C6=CC=CC=C64,00000371E27830000000000000000000000000000001200000003060C1830000000000C15400281A00000000000C448098003200C00000008002204200000200002000000888000000880920228011108020002080000888070080C00EC0000200001000008000040000200000000000000000,18.5,430.2104103,33,3,1115639-92-3,319.9/200mg,1115639-92-3 的搜索结果,21,0.047723643,0.014093167,0.78825617,-0.19844158,-0.24217354,-0.18267064,-0.01757213,3,NP3,0.78825617,46,46,58489416
144241,B(N=C(C(F)(F)F)C(F)(F)F)(N(C)C)N(C)C,55,144241,144241,C7H12BF6N3,B(N=C(C(F)(F)F)C(F)(F)F)(N(C)C)N(C)C,,0.0,262.99,17,6,67395-53-3,,,58,-0.14098646,-0.19640361,-0.2776422,-0.1460722,0.04945047,0.78481096,-0.3124605,6,NP6,0.78481096,47,47,144241
58050304,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=CC3=C(C4=CC=CC=C24)C5=CC=CC6=CC=CC=C65,0,58050304,58050304,C30H27BO2,B1(OC(C(O1)(C)C)(C)C)C2=C3C=CC=CC3=C(C4=CC=CC=C24)C5=CC=CC6=CC=CC=C65,00000371E27830000000000000000000000000000001200000003060C1830000000000C15400281A00000000000C448098003200C00000008002204200000200002000000888000000880920228011108020002080000888070080C00EC0000200001000008000040000200000000000000000,18.5,430.2104103,33,3,1149804-35-2,198.8/250mg,1149804-35-2 的搜索结果,20,0.03848269,0.0054847286,0.78383,-0.21046406,-0.22234567,-0.20162728,-0.013829724,3,NP3,0.78383,48,48,58050304
4072412,B(B(N1CCCC1)N2CCCC2)(N3CCCC3)N4CCCC4,17,4072412,4072412,C16H32B2N4,B(B(N1CCCC1)N2CCCC2)(N3CCCC3)N4CCCC4,,0.0,302.1,22,6,158752-98-8,,,57,-0.103709966,-0.29820955,-0.30368295,-0.18781987,0.12448334,0.78145653,-0.37798065,6,NP6,0.78145653,49,49,4072412
71384845,B(C(CC)CCCCC)(C(CC)CCCCC)C(CC)CCCCC,66,71384845,71384845,C24H51B,B(C(CC)CCCCC)(C(CC)CCCCC)C(CC)CCCCC,,0.0,350.5,25,5,62594-02-9,,,28,-0.44768274,-0.5192916,-0.3820463,-0.24379808,0.7499092,0.027352192,-0.21080099,5,NP5,0.7499092,50,50,71384845
122587,B(C(C)C(C)C)(C(C)C(C)C)C(C)C(C)C,63,122587,122587,C15H33B,B(C(C)C(C)C)(C(C)C(C)C)C(C)C(C)C,,0.0,224.2,16,5,32327-52-9,,,25,-0.4245366,-0.53329736,-0.36805016,-0.31710798,0.74952817,0.063559376,-0.21907532,5,NP5,0.74952817,51,51,122587
71346374,[B](N(C(C)C)C(C)C)N(C(C)C)C(C)C,23,71346374,71346374,C12H28BN2,[B](N(C(C)C)C(C)C)N(C(C)C)C(C)C,,0.0,211.18,15,5,151293-65-1,,,33,-0.40310907,-0.5657559,-0.3768328,-0.3079538,0.7494205,0.068316035,-0.22983006,5,NP5,0.7494205,52,52,71346374
108841,B(OCCCCCCCCCCC(C)C)(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C,59,108841,108841,C39H81BO3,B(OCCCCCCCCCCC(C)C)(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C,,0.0,608.9,43,5,59802-06-1,,,38,-0.453499,-0.53876215,-0.38791507,-0.23436633,0.7489742,0.036311455,-0.21393959,5,NP5,0.7489742,53,53,108841
219443,B(OC(CC(C)C)CC(C)C)(OC(CC(C)C)CC(C)C)OC(CC(C)C)CC(C)C,73,219443,219443,C27H57BO3,B(OC(CC(C)C)CC(C)C)(OC(CC(C)C)CC(C)C)OC(CC(C)C)CC(C)C,,0.0,440.6,31,5,3088-77-5,1609/g,3088-77-5_3088-77-5厂家、报价、现货 - 百灵威,37,-0.42584792,-0.5146949,-0.36367443,-0.2805981,0.748165,0.04225349,-0.21006975,5,NP5,0.748165,54,54,219443
71384846,B(C(C)CCCCCC)(C(C)CCCCCC)C(C)CCCCCC,68,71384846,71384846,C24H51B,B(C(C)CCCCCC)(C(C)CCCCCC)C(C)CCCCCC,,0.0,350.5,25,5,62594-01-8,,,27,-0.4493913,-0.52330816,-0.38079998,-0.24363749,0.7469909,0.027079374,-0.20607027,5,NP5,0.7469909,55,55,71384846
21424,B(OC(C)CC(C)C)(OC(C)CC(C)C)OC(C)CC(C)C,46,21424,21424,C18H39BO3,B(OC(C)CC(C)C)(OC(C)CC(C)C)OC(C)CC(C)C,,0.0,314.3,22,5,5337-37-1,,,35,-0.40211877,-0.5204838,-0.35432386,-0.29126397,0.7407378,0.037443984,-0.2057218,5,NP5,0.7407378,56,56,21424
13680388,B(CCCCCC)(C(C)C(C)C)C(C)C(C)C,40,13680388,13680388,C16H35B,B(CCCCCC)(C(C)C(C)C)C(C)C(C)C,,0.0,238.3,17,5,16413-17-5,,,26,-0.42284825,-0.52197874,-0.36162698,-0.2999754,0.7400968,0.038848855,-0.19437066,5,NP5,0.7400968,57,57,13680388
71334465,B(CCCCCCCCCCC(C)C)(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,58,71334465,71334465,C39H81B,B(CCCCCCCCCCC(C)C)(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,,0.0,560.9,40,5,106787-52-4,,,29,-0.4578751,-0.53713423,-0.38177216,-0.21061108,0.73744935,0.020476615,-0.20334804,5,NP5,0.73744935,58,58,71334465
352104,B(CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC,37,352104,352104,C36H75B,B(CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC,,0.0,518.799,37,5,14245-38-6,,,32,-0.47556406,-0.5419354,-0.39150855,-0.12667114,0.7332117,0.020268999,-0.21376672,5,NP5,0.7332117,59,59,352104
71386315,B(CCCCCCCC)(CCCCCCCC)C(=CCCCCCC)CCCCCCCC,61,71386315,71386315,C32H65B,B(CCCCCCCC)(CCCCCCCC)C(=CCCCCCC)CCCCCCCC,,0.0,460.7,33,5,62444-57-9,,,30,-0.45701566,-0.5265123,-0.3800854,-0.19105634,0.7300816,0.0051055597,-0.19521044,5,NP5,0.7300816,60,60,71386315
17177,B(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,56,17177,17177,C24H51BO3,B(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,,0.0,398.5,28,5,2467-13-2,2086.67/250mg,TRIS(2-ETHYLHEXYL) BORATE AldrichCPR | Sigma-Aldrich,34,-0.39046335,-0.5095167,-0.35476258,-0.24665338,0.7240414,-0.0090418495,-0.18309963,5,NP5,0.7240414,61,61,17177
21425,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC,75,21425,21425,C54H111BO3,B(OCCCCCCCCCCCCCCCCCC)(OCCCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC,00000371F27C3000000000000000000000000000000000000000000000000000000000000000081A00000000000800A0800202000000000000000000000000000000000000000000000000000200000000000004000000000180C0A00000000000000000000000000000000000000000000000,27.7,818.8626276,58,5,5337-41-7,189.9/5g,5337-41-7 的搜索结果,24,-0.4378493,-0.53264624,-0.37757418,-0.2629725,0.7137601,0.016143305,-0.18751912,5,NP5,0.7137601,62,62,21425
