stage,epoch_range,mean_normalized_drift_rate,std_within_stage
Stage I,2-50,1.0131025543584244,0.021851821004752647
Stage II,51-250,0.9789164389371873,0.03722558722074438
Stage III,251-300,0.9211335565277144,0.004411615540249377
