Removed component,Prototype similarity,Assignment entropy,High similarity ratio >0.75,Silhouette
w/o EMA,0.5401478619265989,0.044884216854937625,0.09539878633480357,0.6020225376551963
w/o top-K,0.44361573879447225,0.6023246962310673,0.046684486063462795,1.0
w/o decorrelation,0.5906217800127417,0.5714584196712981,0.09935437903662696,1.0
