x,y,group
1.731998,12.984285,Unlabeled
-1.5939487,10.215073,Unlabeled
0.8075716,16.643528,Unlabeled
2.3915462,13.927871,Unlabeled
-5.80608,18.051834,Unlabeled
12.73088,10.556107,Unlabeled
-1.0102566,8.835,Unlabeled
1.5422164,11.560409,Unlabeled
-1.2199693,11.902995,Unlabeled
-7.6740117,9.820762,Unlabeled
-2.6846786,12.560616,Unlabeled
1.1021565,10.337059,Unlabeled
-2.0120382,7.5993414,Unlabeled
-0.12536149,9.563462,Unlabeled
-1.1067232,8.402718,Unlabeled
-1.640941,3.3985891,Unlabeled
-0.758164,11.645202,Unlabeled
0.6620933,12.407687,Unlabeled
-1.8162249,3.3104222,Unlabeled
0.23002341,11.129574,Unlabeled
-1.7650994,8.639779,Unlabeled
1.1405945,11.713814,Unlabeled
-1.0136913,13.195686,Unlabeled
2.3581574,12.150122,Unlabeled
-2.4604268,8.1649685,Unlabeled
13.915401,8.291376,Unlabeled
-1.9888765,8.315294,Unlabeled
0.84306204,13.191195,Unlabeled
-4.860609,12.649755,Unlabeled
-1.6063076,6.4863954,Unlabeled
2.6074684,9.514597,Unlabeled
1.1607659,10.519337,Unlabeled
1.2027467,12.065329,Unlabeled
2.3897593,9.867391,Unlabeled
-3.6268775,19.329405,Unlabeled
2.3176172,11.549925,Unlabeled
0.35109496,8.199858,Unlabeled
0.5298016,9.237777,Unlabeled
-7.1281056,10.16886,Unlabeled
-3.7938633,10.353221,Unlabeled
0.84729975,4.198259,Unlabeled
-1.4877927,10.961601,Unlabeled
-2.821008,3.826551,Unlabeled
-1.9444515,9.312997,Unlabeled
2.9285553,11.762087,Unlabeled
-2.853194,4.7992887,Unlabeled
-5.675197,5.1802864,Unlabeled
-1.2067316,9.574877,Unlabeled
1.0446278,17.839466,Unlabeled
13.42565,10.967134,Unlabeled
0.9705625,13.122586,Unlabeled
-2.7717586,5.3680315,Unlabeled
-1.690367,6.3705316,Unlabeled
0.548558,7.81739,Unlabeled
-3.117231,20.813751,Unlabeled
4.139585,12.059389,Unlabeled
-3.4401412,20.777445,Unlabeled
1.6976761,12.512882,Unlabeled
2.882361,8.634082,Unlabeled
-0.4884669,12.495034,Unlabeled
12.906906,11.177367,Unlabeled
-2.1791475,8.791768,Unlabeled
-0.7787155,10.199633,Unlabeled
-0.29290333,9.079303,Unlabeled
-0.5162956,9.529462,Unlabeled
-5.983609,17.859804,Unlabeled
-7.8475904,9.661911,Unlabeled
1.052562,16.899097,Unlabeled
-2.1806161,8.171573,Unlabeled
-1.2518682,8.377165,Unlabeled
0.5583183,11.036933,Unlabeled
2.8221905,8.991161,Unlabeled
-0.22920124,9.297559,Unlabeled
1.8264642,12.426256,Unlabeled
-6.6588154,7.4235983,Unlabeled
-0.056935407,11.956379,Unlabeled
1.0707893,16.848364,Unlabeled
-2.7956762,7.146229,Unlabeled
1.6614966,10.686596,Unlabeled
-2.2401268,8.725308,Unlabeled
0.104914136,9.886211,Unlabeled
-0.98514223,9.039697,Unlabeled
-7.670012,9.851051,Unlabeled
-1.4512467,8.506458,Unlabeled
0.5069485,13.5465355,Unlabeled
0.7125238,7.5226297,Unlabeled
-2.8798146,4.800538,Unlabeled
-1.6694928,8.880111,Unlabeled
2.216696,9.645051,Unlabeled
-6.766194,10.098404,Unlabeled
1.534468,9.215347,Unlabeled
-1.973083,13.053718,Unlabeled
-1.6180344,10.429623,Unlabeled
0.02466519,11.906989,Unlabeled
0.67922115,7.5482736,Unlabeled
-4.732309,5.6401205,Unlabeled
-3.0259457,12.646162,Unlabeled
-1.1743734,8.746843,Unlabeled
