similarity_rank,cid,prototype,prototype_label,x_center,bar_width,similarity,assigned_prototype,assigned_prototype_label,max_prototype_similarity
4,68979,5,NP5,3.117142857142857,0.10777142857142856,-0.2886374592781067,1,NP1,0.821772038936615
4,68979,6,NP6,3.2342857142857144,0.10777142857142856,-0.11572291702032089,1,NP1,0.821772038936615
4,68979,7,NP7,3.3514285714285714,0.10777142857142856,-0.0359131321310997,1,NP1,0.821772038936615
5,66709077,1,NP1,3.6485714285714286,0.10777142857142856,0.005507954861968756,2,NP2,0.8216898441314697
5,66709077,2,NP2,3.7657142857142856,0.10777142857142856,0.8216898441314697,2,NP2,0.8216898441314697
5,66709077,3,NP3,3.882857142857143,0.10777142857142856,0.008636617101728916,2,NP2,0.8216898441314697
5,66709077,4,NP4,4.0,0.10777142857142856,0.04658675938844681,2,NP2,0.8216898441314697
5,66709077,5,NP5,4.117142857142857,0.10777142857142856,-0.29089978337287903,2,NP2,0.8216898441314697
5,66709077,6,NP6,4.234285714285714,0.10777142857142856,-0.09084627777338028,2,NP2,0.8216898441314697
5,66709077,7,NP7,4.351428571428571,0.10777142857142856,-0.06171835958957672,2,NP2,0.8216898441314697
6,11050988,1,NP1,4.648571428571429,0.10777142857142856,-0.22330565750598907,6,NP6,0.8198520541191101
6,11050988,2,NP2,4.765714285714286,0.10777142857142856,-0.2302311360836029,6,NP6,0.8198520541191101
6,11050988,3,NP3,4.882857142857143,0.10777142857142856,-0.30631187558174133,6,NP6,0.8198520541191101
6,11050988,4,NP4,5.0,0.10777142857142856,-0.17692624032497406,6,NP6,0.8198520541191101
6,11050988,5,NP5,5.117142857142857,0.10777142857142856,0.11827585101127625,6,NP6,0.8198520541191101
6,11050988,6,NP6,5.234285714285714,0.10777142857142856,0.8198520541191101,6,NP6,0.8198520541191101
6,11050988,7,NP7,5.351428571428571,0.10777142857142856,-0.33038878440856934,6,NP6,0.8198520541191101
7,138247,1,NP1,5.648571428571429,0.10777142857142856,0.8198220133781433,1,NP1,0.8198220133781433
7,138247,2,NP2,5.765714285714286,0.10777142857142856,0.01962047442793846,1,NP1,0.8198220133781433
7,138247,3,NP3,5.882857142857143,0.10777142857142856,0.029609087854623795,1,NP1,0.8198220133781433
