epoch,mean_step_movement,std_step_movement,smooth_mean_step_movement,smooth_std_step_movement
2,0.026779244,0.023819169,0.028681551665067674,0.026668678596615793
3,0.027302155,0.02129717,0.027962003834545612,0.02538306483378013
4,0.029024173,0.030113043,0.028060383030346463,0.02436700968870095
5,0.03129166,0.033693284,0.0288810757920146,0.02433857647702098
6,0.029010527,0.024420727,0.029808902078204684,0.024914692880378828
7,0.024364265,0.018954996,0.029945590905845164,0.024757870845496653
8,0.028650658,0.018270679,0.031162265315651895,0.025124558620154856
9,0.034625925,0.024139544,0.03255178276449442,0.026176051050424576
10,0.037231512,0.029523624,0.033913135342299935,0.02556954137980938
11,0.03117579,0.023346473,0.034940250031650064,0.0247572073712945
12,0.038945988,0.027486047,0.03577311839908361,0.024697139859199524
13,0.04119733,0.031812094,0.037257354333996774,0.02534705251455307
14,0.0426377,0.024047947,0.03912373427301645,0.026036326587200165
15,0.041562807,0.025569944,0.039525910280644894,0.025824949704110624
16,0.03733921,0.023820052,0.03998148869723082,0.025466081500053406
17,0.039206624,0.025454123,0.041606733575463295,0.02572208046913147
18,0.047314458,0.02516342,0.042068195343017575,0.02558102775365114
19,0.038647685,0.022025775,0.042929840832948686,0.02518178801983595
20,0.041787297,0.025934942,0.04256858490407467,0.025037894025444984
21,0.04742824,0.025906462,0.043223386630415916,0.025197356566786767
22,0.043560605,0.02607552,0.04394119046628475,0.025253511592745782
23,0.049813785,0.027819697,0.04429098293185234,0.025086324103176592
24,0.03902514,0.022609007,0.04424280151724815,0.025255861319601537
25,0.048110824,0.02716457,0.044945770502090455,0.025911587104201318
26,0.04451725,0.024381602,0.04570216611027718,0.026090598106384276
27,0.04270455,0.023782248,0.04538299404084682,0.02604898940771818
28,0.046832643,0.026858792,0.045535244047641754,0.026247367449104785
29,0.045677375,0.028583033,0.045770174264907836,0.02690179701894522
30,0.049351253,0.027725052,0.047013689577579496,0.02776426784694195
31,0.04423652,0.025490375,0.04633939787745476,0.027292584255337714
32,0.045083106,0.0280593,0.04629879891872406,0.027530812472105027
33,0.052163087,0.034363993,0.04657408744096756,0.027945787645876408
34,0.051460292,0.031233715,0.04628766290843487,0.027556313946843148
35,0.041367907,0.022447733,0.046213492006063464,0.02765615042299032
36,0.04411126,0.026763884,0.04582618623971939,0.027011088840663434
37,0.045457434,0.027932,0.04627934880554676,0.026948224380612375
38,0.043968398,0.022964055,0.04627251587808132,0.02663442101329565
39,0.044935666,0.029581398,0.04596261158585548,0.026160025037825108
40,0.045478195,0.021274436,0.04512683302164078,0.025328926742076874
41,0.048768144,0.02486173,0.04579411894083023,0.025578532926738264
