prototype,prototype_label,prototype_rank,x_center,bar_width,cid,similarity,similarity_column,assigned_prototype,assigned_prototype_label,max_prototype_similarity
1,NP1,62,61,0.72,352104,-0.47556406259536743,sim_to_NP1,5,NP5,0.7332116961479187
2,NP2,1,0,0.72,11522786,0.832434356212616,sim_to_NP2,2,NP2,0.832434356212616
2,NP2,2,1,0.72,15158954,0.8277093172073364,sim_to_NP2,2,NP2,0.8277093172073364
2,NP2,3,2,0.72,22663171,0.8276228308677673,sim_to_NP2,2,NP2,0.8276228308677673
2,NP2,4,3,0.72,66709077,0.8216898441314697,sim_to_NP2,2,NP2,0.8216898441314697
2,NP2,5,4,0.72,15877487,0.10394569486379623,sim_to_NP2,1,NP1,0.7923678755760193
2,NP2,6,5,0.72,13789232,0.0619608610868454,sim_to_NP2,1,NP1,0.8051366806030273
2,NP2,7,6,0.72,23115783,0.042800094932317734,sim_to_NP2,3,NP3,0.8070676326751709
2,NP2,8,7,0.72,68979,0.025345008820295334,sim_to_NP2,1,NP1,0.821772038936615
2,NP2,9,8,0.72,138247,0.01962047442793846,sim_to_NP2,1,NP1,0.8198220133781433
2,NP2,10,9,0.72,25112575,0.014269345439970493,sim_to_NP2,3,NP3,0.7904896140098572
2,NP2,11,10,0.72,58489416,0.014093167148530483,sim_to_NP2,3,NP3,0.7882561683654785
2,NP2,12,11,0.72,22338812,0.008170411922037601,sim_to_NP2,1,NP1,0.8051332235336304
2,NP2,13,12,0.72,78020,0.0062999664805829525,sim_to_NP2,1,NP1,0.814348578453064
2,NP2,14,13,0.72,58050304,0.00548472860828042,sim_to_NP2,3,NP3,0.7838299870491028
2,NP2,15,14,0.72,11090867,-0.012759133242070675,sim_to_NP2,1,NP1,0.8114612698554993
2,NP2,16,15,0.72,25068199,-0.013902567327022552,sim_to_NP2,1,NP1,0.8071501851081848
2,NP2,17,16,0.72,517955,-0.014451860450208187,sim_to_NP2,1,NP1,0.8028914332389832
2,NP2,18,17,0.72,425307,-0.022534621879458427,sim_to_NP2,1,NP1,0.8049940466880798
2,NP2,19,18,0.72,71390453,-0.025850458070635796,sim_to_NP2,1,NP1,0.8121702075004578
2,NP2,20,19,0.72,57041839,-0.03113536909222603,sim_to_NP2,1,NP1,0.8060087561607361
2,NP2,21,20,0.72,12418354,-0.04087764397263527,sim_to_NP2,1,NP1,0.797303318977356
2,NP2,22,21,0.72,3599767,-0.19087687134742737,sim_to_NP2,6,NP6,0.7924919128417969
2,NP2,23,22,0.72,15887311,-0.19490496814250946,sim_to_NP2,6,NP6,0.7973729968070984
2,NP2,24,23,0.72,18373965,-0.19515414535999298,sim_to_NP2,6,NP6,0.7956426739692688
2,NP2,25,24,0.72,144241,-0.1964036077260971,sim_to_NP2,6,NP6,0.7848109602928162
2,NP2,26,25,0.72,71447200,-0.20079362392425537,sim_to_NP2,6,NP6,0.8052476048469543
2,NP2,27,26,0.72,54472851,-0.201096311211586,sim_to_NP2,6,NP6,0.8043332099914551
2,NP2,28,27,0.72,12626668,-0.20154684782028198,sim_to_NP2,6,NP6,0.8006173372268677
2,NP2,29,28,0.72,75360847,-0.20158350467681885,sim_to_NP2,6,NP6,0.8046560287475586
2,NP2,30,29,0.72,2736203,-0.2029721587896347,sim_to_NP2,6,NP6,0.804841160774231
2,NP2,31,30,0.72,11727684,-0.20385847985744476,sim_to_NP2,6,NP6,0.8056676983833313
2,NP2,32,31,0.72,15520532,-0.2054165005683899,sim_to_NP2,6,NP6,0.8046156764030457
2,NP2,33,32,0.72,18329245,-0.20544038712978363,sim_to_NP2,6,NP6,0.806633472442627
2,NP2,34,33,0.72,11115716,-0.20760662853717804,sim_to_NP2,6,NP6,0.8066542744636536
2,NP2,35,34,0.72,71428744,-0.2101837694644928,sim_to_NP2,6,NP6,0.8082640171051025
2,NP2,36,35,0.72,52915087,-0.2112686187028885,sim_to_NP2,6,NP6,0.8018889427185059
2,NP2,37,36,0.72,15605783,-0.21251989901065826,sim_to_NP2,6,NP6,0.8044784069061279
2,NP2,38,37,0.72,4438527,-0.21284857392311096,sim_to_NP2,6,NP6,0.8084468841552734
2,NP2,39,38,0.72,11327649,-0.21330025792121887,sim_to_NP2,6,NP6,0.8051684498786926
