epoch,prototype,mean_umap_1,mean_umap_2,std_umap_1,std_umap_2
16,3,2.2942328,4.6095133,9.219135,9.5724125
16,4,6.0005703,5.828764,7.598455,6.905407
16,5,7.0589952,5.3279805,9.993848,8.956186
16,6,3.7886536,3.500785,3.4070823,7.2181916
16,7,5.639996,4.424075,7.1400394,7.6292076
17,1,1.780418,3.1646237,9.130863,9.362946
17,2,3.1591563,5.5385303,9.486089,7.065286
17,3,2.2852821,4.6022253,9.224206,9.569994
17,4,5.9970675,5.831709,7.5752587,6.897955
17,5,7.06318,5.34712,9.999417,8.956783
17,6,3.788636,3.519701,3.391907,7.2297516
17,7,5.650559,4.4061036,7.141518,7.64022
18,1,1.7700579,3.1708286,9.152131,9.350978
18,2,3.153683,5.5433707,9.48856,7.087778
18,3,2.2889874,4.6034184,9.211877,9.556402
18,4,6.0075,5.841632,7.57016,6.889741
18,5,7.047452,5.346432,9.993164,8.955891
18,6,3.7998054,3.5125222,3.4073153,7.227589
18,7,5.6413794,4.3958554,7.128361,7.6392155
19,1,1.786066,3.1629968,9.158956,9.348647
19,2,3.1454186,5.554087,9.492802,7.098257
19,3,2.2694552,4.613618,9.197524,9.559055
19,4,5.9988623,5.8507485,7.5500894,6.886841
19,5,7.044024,5.355691,9.992129,8.9569235
19,6,3.8226612,3.5113792,3.403051,7.2325964
19,7,5.6492834,4.3838606,7.127761,7.641499
20,1,1.7845097,3.1754684,9.189431,9.337551
20,2,3.1561668,5.5615935,9.4946375,7.1112223
20,3,2.2578914,4.6087685,9.192349,9.5457115
20,4,5.9975176,5.850954,7.553269,6.881321
20,5,7.04407,5.3499403,9.992883,8.933872
20,6,3.8246956,3.5059104,3.41674,7.232345
20,7,5.664725,4.367607,7.116182,7.6342864
21,1,1.7852663,3.1850715,9.217214,9.338023
21,2,3.1512353,5.570485,9.5012245,7.1361213
21,3,2.2505562,4.599393,9.184406,9.536469
21,4,6.014483,5.8462205,7.527966,6.8813634
21,5,7.0381317,5.3592467,9.990644,8.936749
21,6,3.8389797,3.5064087,3.418487,7.243898
21,7,5.668204,4.359545,7.105893,7.643625
22,1,1.7885689,3.1840527,9.232639,9.300002
22,2,3.157352,5.576958,9.502516,7.142578
22,3,2.2519786,4.6153736,9.177594,9.52726
22,4,6.019122,5.8598647,7.5191574,6.895506
22,5,7.0248384,5.357063,9.990617,8.9277935
22,6,3.8430912,3.502355,3.4153988,7.247803
22,7,5.681236,4.3317275,7.098697,7.642597
23,1,1.7811359,3.165998,9.252371,9.301715
23,2,3.1569533,5.5714655,9.513747,7.1664658
23,3,2.2165303,4.5963283,9.160337,9.516634
23,4,6.021967,5.8615937,7.5136204,6.8855247
23,5,7.016332,5.3660207,9.989399,8.919739
23,6,3.850507,3.5215049,3.4167888,7.262148
23,7,5.693541,4.3027763,7.087083,7.645557
24,1,1.7848438,3.168297,9.284535,9.298778
24,2,3.161429,5.585883,9.517096,7.1780367
24,3,2.2189891,4.6045923,9.148017,9.522498
24,4,6.02694,5.874713,7.4982467,6.9004354
24,5,7.010362,5.378362,9.990317,8.9079075
24,6,3.8603814,3.5213418,3.4203477,7.262652
