id,label
114000,1
94010,1
14000,1
10010,1
114010,1
43011,1
59100,1
12100,1
14010,1
14100,1
24011,1
10100,1
97100,1
59001,1
24100,1
24000,1
24,1
59,1
82000,1
24001,1
43,1
114,1
114100,1
114011,1
59010,1
24100,2
114000,2
24011,2
24,2
24001,2
43011,2
59000,2
59100,2
43,2
43001,2
43100,2
59010,2
94010,2
59001,2
59,2
24000,2
114010,2
14100,2
19011,2
19010,2
10100,2
24010,2
19100,2
43000,2
19001,2
10100,3
6000,3
43,3
43001,3
94010,3
24000,3
43100,3
6010,3
10000,3
65000,3
43000,3
19010,3
65100,3
43011,3
19001,3
19100,3
19,3
10010,3
19000,3
6001,3
94100,3
6,3
10,3
6100,3
10001,3
44010,4
33000,4
33010,4
89010,4
77000,4
122010,4
77010,4
11011,4
58010,4
77011,4
119011,4
77,4
119000,4
102100,4
944011,4
109011,4
44011,4
119010,4
109010,4
33001,4
11010,4
109100,4
33100,4
73010,4
73000,4
15,5
15001,5
15010,5
111100,5
15011,5
111000,5
88000,5
8000,5
28100,5
50001,5
23011,5
111001,5
111,5
23001,5
28001,5
5000,5
28011,5
18000,5
8001,5
8010,5
8011,5
8,5
50,5
50000,5
28,5
89011,6
89000,6
89,6
89001,6
33011,6
33,6
944100,6
33001,6
77000,6
77,6
77011,6
944,6
944000,6
33000,6
944001,6
77001,6
35,6
35000,6
73011,6
35100,6
57010,6
44000,6
44100,6
44,6
89100,6
30000,7
4011,7
30,7
30001,7
30011,7
30100,7
4,7
4001,7
61010,7
68010,7
4010,7
100100,7
4100,7
104001,7
36001,7
68011,7
61011,7
110001,7
104,7
100011,7
61001,7
36010,7
68001,7
61,7
110,7
68954191,1
119009036,1
168598443,1
174047394,1
21598072,1
173076795,1
170984912,1
57346713,1
159542804,1
173032957,1
172827968,1
159765092,1
140006453,1
158862675,1
141172676,1
25058192,1
173076887,1
140074053,1
159100650,1
133617671,1
161941286,1
5136269,1
140074068,1
23093011,1
140712378,1
140523757,2
54969431,2
86710608,2
174155892,2
65610025,2
65610024,2
58343753,2
133555212,2
87300950,2
81527114,2
67041942,2
61532727,2
54969129,2
105061994,2
61533021,2
161069190,2
157849398,2
140755753,2
160594185,2
140755769,2
165996995,2
164649902,2
176278110,2
167736132,2
133555105,2
157284285,3
101346921,3
154703249,3
143481289,3
141674856,3
142704830,3
158118303,3
141185067,3
173923201,3
168795559,3
142358935,3
87618543,3
141700176,3
158388519,3
133675718,3
175617538,3
161861409,3
168437549,3
154706167,3
154007012,3
141693532,3
159163444,3
57746270,3
160853238,3
173833932,3
160878085,4
160074269,4
107900814,4
70873189,4
90077492,4
11151646,4
175159386,4
161243101,4
23946058,4
67307103,4
174317091,4
133630449,4
101468862,4
173834846,4
114747656,4
24057969,4
157427099,4
24978303,4
101090938,4
173834665,4
168567770,4
158083229,4
23776221,4
160355276,4
173834515,4
89760221,5
159631113,5
173836526,5
159021569,5
174137302,5
157783501,5
145957693,5
58301919,5
86302052,5
99771035,5
167646275,5
44138042,5
137348333,5
15568383,5
145074708,5
168489438,5
140880293,5
174000729,5
156025003,5
164001798,5
57655549,5
165382085,5
11671170,5
159411341,5
169258161,5
141042350,6
164957255,6
141598125,6
45788908,6
158593874,6
133554654,6
102591224,6
133553722,6
10906118,6
133553759,6
163196683,6
139621627,6
133553682,6
133553765,6
139621643,6
172400089,6
160996470,6
138958581,6
133553433,6
15887311,6
133553431,6
141042767,6
87785291,6
133553557,6
88022747,6
161572304,7
168616436,7
89986404,7
14292371,7
144406313,7
23268466,7
153385048,7
168614253,7
144279226,7
143743376,7
102295990,7
145548748,7
167452963,7
89814083,7
24057978,7
135787344,7
23973962,7
158066177,7
161185390,7
24828915,7
140728271,7
165407074,7
160968368,7
160565803,7
135048736,7
57750114,1
140276045,1
140521321,1
166490046,1
167721647,1
68378812,1
165984011,1
168598838,1
59672737,1
165769236,1
133677062,1
173575244,1
92027460,1
139036614,1
173343540,1
157968346,1
160488468,1
173076787,1
142765675,1
168574565,1
173643805,1
21598071,1
173718200,1
162107684,1
142785525,1
169402401,2
75486037,2
162682431,2
59788255,2
65602619,2
133555178,2
61534534,2
61532842,2
69380386,2
133635971,2
44518631,2
157191205,2
142770117,2
167706322,2
114273977,2
80429369,2
139986328,2
143877870,2
45158819,2
65328024,2
158256148,2
65844912,2
162033504,2
159156942,2
90102168,2
68312743,3
140262341,3
153322118,3
173868098,3
174072168,3
164784194,3
123906589,3
164784183,3
159581865,3
160740531,3
160919037,3
157865943,3
158557125,3
165107638,3
141700059,3
154006986,3
160327155,3
158096166,3
90125802,3
160469030,3
102449664,3
157165214,3
125469679,3
160441853,3
160144565,3
158120327,4
174029130,4
11695861,4
23918705,4
23834356,4
23834430,4
161075224,4
165986091,4
140869010,4
173660955,4
139821180,4
81223585,4
17750436,4
10956166,4
153327699,4
133678059,4
133675577,4
133674891,4
133617365,4
133638484,4
133672366,4
141572332,4
102350714,4
133625229,4
142491268,4
57805257,5
74765845,5
57805078,5
57805353,5
53362663,5
174249427,5
173678331,5
145982840,5
89283528,5
153396452,5
129403727,5
69585606,5
137654413,5
140880278,5
164524621,5
74765723,5
15949100,5
68063954,5
157770004,5
158525934,5
71364285,5
141397946,5
74765687,5
10481842,5
174049924,5
124202941,6
59954646,6
161156124,6
158194795,6
172858816,6
15639619,6
141052299,6
133553334,6
172843451,6
133553439,6
139621655,6
158777934,6
172400085,6
133553620,6
139621609,6
22456523,6
139672707,6
139621744,6
141052202,6
171404766,6
160535290,6
133555381,6
133553555,6
176266540,6
133550982,6
173976629,7
102172656,7
174019314,7
171505254,7
168614233,7
143320783,7
141481620,7
172953856,7
134903638,7
153598542,7
142965974,7
144731239,7
176229601,7
160855563,7
10540838,7
162169573,7
153353933,7
173774475,7
170567752,7
144435726,7
162045654,7
172050561,7
144358161,7
174121482,7
23890590,7
175131723,1
86756181,1
87714816,1
44754756,1
157693601,1
152031179,1
156741515,1
85627227,1
170651066,1
21122284,1
79873438,1
173586231,1
140983787,1
102298478,1
157120481,1
173005569,1
149788011,1
175324031,1
162117304,1
23676685,1
173227342,1
154882430,1
138987214,1
145751220,1
141075688,1
80429127,2
157263815,2
46739018,2
75486100,2
159101355,2
45791109,2
121228997,2
164858834,2
44119545,2
123918606,2
63696787,2
68122568,2
159783883,2
157642840,2
56973076,2
161027038,2
140881628,2
164839177,2
101907056,2
145962033,2
160106944,2
65327446,2
161970223,2
140755586,2
70382651,2
59861471,3
159394438,3
173621712,3
155761893,3
158491496,3
87867962,3
164818114,3
176409627,3
70293498,3
162377229,3
159910484,3
160217950,3
161542132,3
159362457,3
174312434,3
175622286,3
160949821,3
140922441,3
91869276,3
168795531,3
164981409,3
71406682,3
158174380,3
162217055,3
168845061,3
142448963,4
24001888,4
12987390,4
166001904,4
158671663,4
81222805,4
24112449,4
171588009,4
23890764,4
10771983,4
23946705,4
106951577,4
170871623,4
11644746,4
23918535,4
145488185,4
53363148,4
88927269,4
16217749,4
20645159,4
139252237,4
163962976,4
55255167,4
101945377,4
139252238,4
148552012,5
58301864,5
74765881,5
175863489,5
168310872,5
140880217,5
58301876,5
86577648,5
145983830,5
145402684,5
173732573,5
122296,5
13173752,5
168413675,5
50913211,5
44591660,5
139922404,5
173897185,5
149111632,5
144427168,5
5326105,5
154157221,5
145054059,5
171350087,5
444282,5
169280041,6
172400090,6
172406654,6
176450595,6
162237427,6
173245350,6
87528711,6
133554605,6
172403960,6
139193069,6
133553736,6
159319365,6
142657754,6
139672667,6
133551831,6
167655745,6
23431873,6
139179895,6
159995803,6
140862754,6
161499976,6
160437260,6
45785582,6
173193344,6
139978257,6
161156881,7
173679896,7
144537608,7
147759119,7
70863913,7
174093616,7
12737523,7
147194434,7
154647025,7
142000030,7
9989582,7
172924410,7
173680032,7
156682082,7
157528939,7
142315581,7
161371222,7
101885303,7
144269042,7
145204067,7
23747595,7
135787292,7
135049095,7
23918263,7
145306689,7
134715765,1
175413157,1
173368311,1
123967670,1
158355079,1
129811035,1
160575064,1
159850413,1
74891163,1
91595582,1
160084181,1
164974260,1
144085018,1
79849770,1
17775904,1
158740639,1
175298338,1
124707522,1
69679163,1
20781179,1
174402900,1
142764355,1
173395852,1
173570952,1
144647197,1
44518972,2
124019939,2
65602830,2
168987294,2
55041046,2
133555074,2
166586313,2
164651753,2
58343817,2
81510655,2
160809332,2
62268399,2
166432524,2
133627077,2
129915574,2
62850860,2
159793629,2
80054268,2
132342263,2
169006325,2
121226458,2
68341687,2
174053645,2
77134450,2
2763087,2
175929024,3
141673867,3
101958195,3
173488963,3
142609856,3
123687567,3
164785062,3
161302582,3
159604510,3
157519748,3
168829259,3
164784186,3
159970501,3
158596252,3
131741326,3
159906178,3
159112473,3
162097068,3
89982527,3
157704994,3
140857097,3
158560115,3
160323962,3
157901492,3
174312431,3
161154854,4
81222720,4
23805757,4
24139130,4
140038469,4
81896434,4
71037591,4
153556686,4
163467429,4
23747605,4
71310488,4
160423460,4
6294465,4
44478138,4
173854063,4
148707621,4
173771135,4
22171963,4
81223499,4
160106827,4
114735874,4
24085277,4
157571414,4
23805016,4
174143814,4
89829157,5
89760240,5
147729840,5
157762072,5
159613710,5
58627345,5
163728985,5
58301670,5
101837948,5
161623183,5
175584467,5
159613706,5
87487218,5
140880201,5
142772033,5
559297,5
12567886,5
152931317,5
123927764,5
174051640,5
90165090,5
57805119,5
11424019,5
174051310,5
44583020,5
22456526,6
18505975,6
133555718,6
172400081,6
162342216,6
158002756,6
164575274,6
45788902,6
157785727,6
129669173,6
86750431,6
167713648,6
155622382,6
9855190,6
166071947,6
172686388,6
101452182,6
159907581,6
22500998,6
139621680,6
23396044,6
133554894,6
133551827,6
57416341,6
133553531,6
144583301,7
165997951,7
173800202,7
57416261,7
89213386,7
157248765,7
159260922,7
10446979,7
145148609,7
142365754,7
160200758,7
163475493,7
167646557,7
163429992,7
135569274,7
10834021,7
23776434,7
23946241,7
158912382,7
24002168,7
172257313,7
161096268,7
159456759,7
161000115,7
102531836,7
10899259,1
129697639,1
90103163,1
133054533,1
75486137,1
157996988,1
59568546,1
165773552,1
133675119,1
53375462,1
176344426,1
172756273,1
172798616,1
158210388,1
134979116,1
23271067,1
161686907,1
173006659,1
19864131,1
142760070,1
18980142,1
175377997,1
160512167,1
44129774,1
57415675,1
140751874,2
63216731,2
174104295,2
165985590,2
114674781,2
173850074,2
162054580,2
159845036,2
127263203,2
162127305,2
140755494,2
161366282,2
68431559,2
160826597,2
160491682,2
154881555,2
46739739,2
67998025,2
174118455,2
61533234,2
82694377,2
81526893,2
176334369,2
130121739,2
75485939,2
18795392,3
140288378,3
140958346,3
145850095,3
155682770,3
158860413,3
173594887,3
175477308,3
154633239,3
172337510,3
173567976,3
140251325,3
161596600,3
145743706,3
159071212,3
157218137,3
161907598,3
160823143,3
157830837,3
154506580,3
173891110,3
123391241,3
140745841,3
140857104,3
145563784,3
173656375,4
102709256,4
74890228,4
159542353,4
158263067,4
16217940,4
162146547,4
173834748,4
86573309,4
133616235,4
173850921,4
12653835,4
153516143,4
155715525,4
102452680,4
103397007,4
143559292,4
145702965,4
23946089,4
74891422,4
143882317,4
24769036,4
5326225,4
140769776,4
23890243,4
57805101,5
68535048,5
74765892,5
53362658,5
168300408,5
53362788,5
160149204,5
57805180,5
21356257,5
87338978,5
74765801,5
88576339,5
2724176,5
73896629,5
173758143,5
155582842,5
174091836,5
68710634,5
88908531,5
87926718,5
60011361,5
142533512,5
163503286,5
175396803,5
68064236,5
162070900,6
133553348,6
140589442,6
45788911,6
140727427,6
157727457,6
141052490,6
159207441,6
133553461,6
133553709,6
